# stan_version_major = 2
# stan_version_minor = 24
# stan_version_patch = 0
# model = mice_scfa_producer_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /Users/liaoc/Documents/cmdstan-2.24.1/examples/mice_scfa_producer/mice_scfa_producer.data.json
# init = 2 (Default)
# random
#   seed = 864825864 (Default)
# output
#   file = output_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta__Muribaculaceae,beta__Akkermansia_dash_muciniphila,beta__Bacteroides_dash_acidifaciens,beta__Bacteroides_dash_uniformis,beta__Parasutterella,beta__Faecalibaculum,beta__Bacteroides,beta__Clostridia_dash_UCG_dash_014,beta__Lachnospiraceae_dash_NK4A136_dash_group,beta__Alloprevotella,beta__Lachnospiraceae,beta__Escherichia_dash_Shigella,beta__Parabacteroides_dash_goldsteinii,beta__Desulfovibrionaceae,beta__Helicobacter_dash_ganmani,beta__Oscillospiraceae,beta__Mucispirillum_dash_schaedleri,beta__Lachnospiraceae_dash_bacterium_dash_10_dash_1,beta__Muribaculum,beta__Roseburia,beta__Bacteroides_dash_vulgatus_dash_ATCC_dash_8482,beta__Clostridia_dash_vadinBB60_dash_group,beta__Colidextribacter,beta__Ruminococcus_dash_sp_dot__dash_N15_dot_MGS_dash_57,beta__Oscillibacter,beta__Lachnospiraceae_dash_bacterium_dash_28_dash_4,beta__Rikenellaceae_dash_RC9_dash_gut_dash_group,beta__Parabacteroides,beta__Desulfovibrio,beta__Lactobacillus,beta__Ruminococcaceae,beta__Anaerotruncus,beta__Gastranaerophilales,beta__Helicobacter_dash_mastomyrinus,beta__Alistipes,beta__Bilophila,beta__Lachnoclostridium,beta__Peptococcaceae,beta__Lachnospiraceae_dash_UCG_dash_006,beta__Bacteroides_dash_caecimuris
# Adaptation terminated
# Step size = 0.373977
# Diagonal elements of inverse mass matrix:
# 0.0210511, 1.82043, 0.136385, 0.581051, 0.285891, 0.371914, 0.843244, 0.891372, 0.920548, 0.997793, 0.933215, 0.943373, 1.09702, 0.75231, 0.96573, 0.904686, 0.947076, 0.804305, 0.81007, 0.876024, 0.981599, 1.06153, 0.973217, 0.900225, 1.03705, 1.10776, 0.980944, 1.01494, 1.01561, 1.09343, 0.861208, 0.96794, 0.862674, 0.986777, 0.951009, 0.840794, 0.922123, 0.946595, 0.883483, 0.960308, 1.04123, 0.820458
-1391.51,0.852569,0.373977,4,15,0,1417.91,2.0324,0.999826,-2.12248,-0.81341,1.67844,-2.10167,-1.6582,-0.451007,0.71694,-0.14944,-3.71549,-1.9889,-0.121238,-1.84282,1.55886,2.51005,1.3656,-0.990917,0.343483,-1.2751,-1.17341,-0.611004,0.855371,-1.38241,0.0638704,0.130111,1.1607,1.87187,-0.00816988,-0.267233,-0.34009,0.490672,1.50958,-0.0936776,-0.131023,0.41704,1.25879,-0.0799819,0.169948,0.956045,-0.648855,-0.892646
-1396.72,0.778856,0.373977,4,15,0,1411.33,1.82832,0.99946,-2.16747,-1.72832,1.83573,-1.01887,-1.22202,1.6392,-0.925101,-0.454218,-1.62147,0.0263896,1.25603,-1.20999,3.33193,0.927549,0.688097,0.250394,0.0248951,0.226143,1.45772,1.98124,-1.47605,1.53845,-0.577404,-1.77513,-1.48621,2.51226,0.60205,0.632411,0.352246,0.5189,-1.67281,0.364008,0.896409,-0.625335,-1.24993,0.130052,-0.390968,0.173946,1.22288,1.30604
-1397.21,0.702352,0.373977,4,15,0,1418.02,1.99718,0.999738,-2.20609,0.106527,1.41054,-1.53937,-2.00725,-0.21708,1.16461,0.755038,-4.76682,-1.97247,-1.36118,-0.527544,1.8044,2.41772,1.32268,-0.507568,-0.545091,-1.72143,-1.0613,-0.0645704,1.11039,-1.49057,-0.0804196,1.22624,0.672742,-0.473951,-0.29869,0.185609,0.194372,-0.000867975,1.72709,0.262611,-0.371252,0.340292,0.761907,-0.977836,0.308586,0.556967,-0.196524,-0.935607
-1400.44,0.950717,0.373977,4,15,0,1416.25,1.88328,0.999644,-2.16356,-0.590131,1.3698,-0.96081,-1.34248,0.634718,-0.395612,-1.30699,-1.91268,-0.0366524,1.99385,-1.42762,3.01421,1.38204,2.50217,1.00955,0.0245213,0.663002,1.2755,-0.575224,-1.63631,0.963373,-1.04998,-1.74449,-0.38236,3.98727,0.233021,-0.957875,-0.0033848,0.684792,-1.27056,-0.942001,-1.07319,-1.30487,-1.59446,-0.0664025,1.18394,-1.33989,0.382315,0.327489
-1401.98,0.994294,0.373977,4,15,0,1415.44,2.10489,0.999555,-2.29242,-0.987967,1.68035,-1.35118,-1.82004,1.03695,-0.332759,1.04928,-4.89117,-1.41475,-1.20562,-1.09061,1.44406,2.19568,-0.323724,-2.25281,-0.0382307,-1.02374,-0.54051,0.695438,1.86886,-0.664833,0.679032,1.40098,-0.0973512,0.232014,-0.995065,1.21348,0.463508,0.123311,2.25121,1.46631,0.842536,0.216471,1.67875,-0.771298,-0.825626,2.41029,-0.453618,0.343135
-1397.5,0.926028,0.373977,4,15,0,1424.88,1.96816,0.99992,-2.30118,0.347278,1.29303,-2.26338,-1.74218,-0.398653,-0.598665,-0.686834,-1.53715,-0.429919,0.847035,-1.17717,2.64458,1.5273,2.08326,-0.643039,-1.14474,-0.101305,0.256693,1.07184,-0.678379,-0.887024,0.864138,-1.66527,-1.20556,1.50349,0.80757,0.33465,0.20396,0.213312,-0.721167,-0.557444,-1.18672,-1.50601,-0.746067,2.60616,-0.264134,-1.07757,-1.51452,0.295421
