ID	Acetate	Propionate	Butyrate
Intercept	0.826442639993966	0.482724252327809	0.505401711185935
Actinobacteriota.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Bifidobacterium	4.78579367534808e-05	-0.00366055605430157	0
Actinobacteriota.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Bifidobacterium.Bifidobacterium.choerinum	0	0	-0.000725161200530248
Actinobacteriota.Coriobacteriia.Coriobacteriales.Atopobiaceae.Coriobacteriaceae.UCG.002	0	0	0
Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides	0	-0.00304586055791513	0.00141953254129757
Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.Bacteroides.acidifaciens	0	0.00824270858406001	-0.00256924428059367
Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.Bacteroides.caecimuris	0	0	0
Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.Bacteroides.uniformis	0	0.0188398324915238	-0.00625879229952351
Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.Bacteroides.vulgatus.ATCC.8482	0	0	0.000126881925814721
Bacteroidota.Bacteroidia.Bacteroidales.Marinifilaceae.Butyricimonas	0	0	0
Bacteroidota.Bacteroidia.Bacteroidales.Marinifilaceae.Odoribacter	0	0	0
Bacteroidota.Bacteroidia.Bacteroidales.Muribaculaceae	0	0	-0.00253107286633968
Bacteroidota.Bacteroidia.Bacteroidales.Muribaculaceae.Muribaculum	0	0	0
Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Alloprevotella	0	0	0
Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotellaceae.UCG.001	0	0	-0.000352085147732812
Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes	0.00448617357451102	-9.08060122399657e-05	0
Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes.Alistipes.shahii	0	0	0
Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes.Alistipes.sp..cv1	0	0	0
Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.Rikenella	0	0	0
Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.Rikenellaceae.RC9.gut.group	0	0	0
Bacteroidota.Bacteroidia.Bacteroidales.Tannerellaceae	0	0	-0.00035496695281188
Bacteroidota.Bacteroidia.Bacteroidales.Tannerellaceae.Parabacteroides	0	-0.00951322878376643	0
Bacteroidota.Bacteroidia.Bacteroidales.Tannerellaceae.Parabacteroides.Parabacteroides.distasonis	0	0	0
Bacteroidota.Bacteroidia.Bacteroidales.Tannerellaceae.Parabacteroides.Parabacteroides.goldsteinii	0	0	0
Bacteroidota.Bacteroidia.Bacteroidales.Tannerellaceae.Parabacteroides.Parabacteroides.merdae	0	0	0
Campilobacterota.Campylobacteria.Campylobacterales.Helicobacteraceae.Helicobacter.Helicobacter.ganmani	0	0	0.00092805317697164
Campilobacterota.Campylobacteria.Campylobacterales.Helicobacteraceae.Helicobacter.Helicobacter.mastomyrinus	0	0	0
Cyanobacteria.Vampirivibrionia.Gastranaerophilales	0	0	0
Deferribacterota.Deferribacteres.Deferribacterales.Deferribacteraceae.Mucispirillum.Mucispirillum.schaedleri	0	0	0
Desulfobacterota.Desulfovibrionia.Desulfovibrionales.Desulfovibrionaceae	0	0	0
Desulfobacterota.Desulfovibrionia.Desulfovibrionales.Desulfovibrionaceae.Bilophila	0	0	0
Desulfobacterota.Desulfovibrionia.Desulfovibrionales.Desulfovibrionaceae.Desulfovibrio	0	0	-0.00401520239611247
Desulfobacterota.Desulfovibrionia.Desulfovibrionales.Desulfovibrionaceae.Desulfovibrio.Desulfovibrio.fairfieldensis	0	0	0
Firmicutes.Bacilli.Erysipelotrichales.Erysipelatoclostridiaceae.Erysipelatoclostridium	0	0	0
