SampleID,Muribaculaceae,Akkermansia_dash_muciniphila,Bacteroides_dash_acidifaciens,Faecalibaculum,Parasutterella,Bacteroides_dash_uniformis,Bacteroides,Alloprevotella,Clostridia_dash_UCG_dash_014,Lachnospiraceae_dash_NK4A136_dash_group,Lachnospiraceae,Escherichia_dash_Shigella,Parabacteroides_dash_goldsteinii,Desulfovibrionaceae,Helicobacter_dash_ganmani,Mucispirillum_dash_schaedleri,Oscillospiraceae,Muribaculum,Lachnospiraceae_dash_bacterium_dash_10_dash_1,Roseburia,Colidextribacter,Lachnoclostridium,Clostridia_dash_vadinBB60_dash_group,Bacteroides_dash_vulgatus_dash_ATCC_dash_8482,Lachnospiraceae_dash_bacterium_dash_28_dash_4,Oscillibacter,Rikenellaceae_dash_RC9_dash_gut_dash_group,Alistipes,Dubosiella_dash_newyorkensis,Ruminococcus_dash_sp_dot__dash_N15_dot_MGS_dash_57,Parabacteroides,Bacteroides_dash_caecimuris,Lactobacillus,Anaerotruncus,Ruminococcaceae,Bilophila,Desulfovibrio,Gastranaerophilales,mouse_dash_gut_dash_metagenome,Helicobacter_dash_mastomyrinus
sample141,25580567.3915693,2803564.186431445,731117.1952439181,15034841.93332337,6520313.663420469,19913.69792493162,379782.6675683388,684177.764420865,187757.7232922124,578919.6468176551,1514863.449289441,24180.91890884555,25603.32590348351,217628.2701796099,9956.84896246581,472239.1222198071,1039779.513080358,445213.3893216855,51206.65180696703,482195.9711822729,460859.8662627033,371248.225600511,374093.039589787,38404.98885522527,129439.0365120556,140818.2924691594,4127825.098439398,1473613.64644494,116637.3735603138,9956.84896246581,193447.3512707643,120904.5945442277,1069650.059967756,344222.4927023895,641505.5545817259,236119.5611099036,0.0,247498.8170670073,207671.4212171441,0.0
sample142,12217695.66402239,124022.6010347698,1518836.024046659,8628681.436921425,1957323.513961059,17045.760331793,269793.2411135513,1537645.138895534,520777.3673782275,946921.3756730525,687708.2616619935,24686.96323914848,7641.202907355483,161640.8307325198,0.0,161053.0458934925,710631.87038406,362663.2456798718,37030.44485872273,214541.4662449809,414388.3115142781,122259.2465176877,2041376.745941969,17633.54517082035,1921468.63878039,347968.6247041881,2091338.457259293,1714568.375442765,18221.33000984769,3526.70903416407,98747.85295659392,114030.2587713049,606006.1690371926,161053.0458934925,432021.8566850985,317403.8130747663,4114.493873191414,39969.36905385945,108152.4103810315,0.0
sample143,27650502.23289305,372148.6085382823,19190045.10245345,7158633.908062239,401418.7238165742,27876.30026503987,2028000.844281651,39828264.00367571,1076025.190230539,1998730.729003359,6340464.49528332,98960.86594089156,117080.4611131675,6668011.023397538,3607193.25429616,257855.7774516188,1266977.847046063,381905.3136310462,158894.9115107273,485047.6246116938,827926.1178716843,419538.3189888501,2080965.814785226,61327.86058308772,238342.3672660909,568676.5254068135,5711853.92430667,9869604.108837368,0.0,25088.67023853589,7668770.202912469,489229.0696514498,565888.8953803094,970095.2492233876,682969.3564934769,96173.23591438757,33451.56031804785,231373.2921998309,271793.9275841388,1063480.855111271
sample144,20189747.63144723,59678.65375370943,5359602.173650444,2648814.093530026,103289.9776506509,34429.99255021698,1315225.715418288,2598316.771123041,1407039.028885534,3550879.898345712,8983932.722769953,199693.9567912585,64269.31942707169,28349655.86584866,14800306.13091994,2419280.809861913,3445294.587858379,174445.295587766,87222.64779388302,936495.7973659018,1744452.95587766,596786.5375370943,142310.6358742302,50497.3224069849,229533.2836681132,2189747.5261938,2336648.827741392,6002295.367921161,4590.665673362264,0.0,573833.209170283,172149.9627510849,59678.65375370943,2947207.362298573,1223412.401951043,218056.6194847075,135424.6373641868,48201.98957030378,0.0,518745.2210899358
sample145,44612502.02988564,627965.7065227876,3589337.49680049,10757911.16536357,79127.04613021718,40405.30015160027,3833452.851883075,21337365.58839091,1880530.011222396,2452938.430036732,2707155.110157218,89228.37116811726,63975.05857336709,7579360.886771017,3591021.050973474,629649.2606957707,1769415.435805495,267685.1135043518,6638254.104073327,750865.1611505717,1070740.454017407,331660.1720777188,1114512.862514974,38721.74597861692,95962.58786005064,309773.9678289354,4708901.021834414,7808324.254296753,0.0,8417.770864916722,486547.1559921866,127950.1171467342,31987.52928668354,582509.7438522372,590927.514717154,114481.6837628674,43772.40849756695,1188589.246126241,74076.38361126716,474762.2767813031
sample156,62930191.39783816,252027.99972435,63283030.59745228,57628002.33697066,8175308.257725106,67207.46659315999,1785798.398046823,184820.53313119,81609.06657740856,10227536.25548053,3497188.529508362,103211.4665537814,50405.59994487,352839.19961409,33603.73329657999,4738126.394817781,2138637.597660913,806489.59911792,96010.66656165714,1502566.931689934,703278.1325641385,1188131.998700507,31203.46663253857,96010.66656165714,6286298.393124501,412845.8662151257,184820.53313119,211223.4664356457,33603.73329658,0.0,45605.06661678715,4728525.328161614,453650.39950383,1032114.665537814,228025.3330839357,1644182.664868379,14401.59998424857,16801.86664829,1101722.398795016,0.0
sample157,99956825.00972195,424301.5026558482,33289220.06706427,59140865.24337132,8455283.567417268,2902468.250051599,4442867.183606528,4246089.675128452,199852.1570480445,5214603.974668975,3163813.378499043,153732.4284984957,92239.45709909743,107612.699948947,15373.24284984958,3511248.666905643,728691.7110828699,1890908.870531498,116836.6456588568,501167.7169050961,578033.931154344,396629.665526119,1383591.856486462,249046.5341675631,153732.4284984957,304390.2084270216,1097649.53947926,876274.8424414257,0.0,18447.89141981949,344360.6398366304,37304711.09944498,488869.1226252164,236747.9398876835,473495.8797753669,393555.0169561491,0.0,43045.0799795788,172180.3199183152,0.0
sample158,71545994.19082692,33549.41633498892,68731570.93161395,193841.0721577138,193841.0721577138,41004.84218720868,4264503.587469703,1293516.385360128,85737.39730052724,6784437.525519983,5971796.107628029,141653.0911921755,186385.646305494,342949.5892021089,0.0,6061261.217854666,3530144.141026056,361588.1538326584,78281.97144830748,1218962.126837931,1017665.628827997,3798539.471705968,22366.27755665928,119286.8136355162,6754615.822111104,909561.9539708109,689626.8913303278,670988.3266997784,0.0,0.0,1588005.706522809,11246509.89807351,0.0,2087519.238621533,559156.9389164821,1602916.558227248,0.0,26093.99048276916,1476174.318739512,0.0
sample171,118385915.2996804,16002807.2713411,26425959.90078297,74746273.63067076,11998665.46913968,38986.48948306087,412798.1239382916,4155501.114312135,36693.16657229259,169705.8953968532,339411.7907937065,75679.65605535345,100906.2080738046,73386.33314458517,27519.87492921944,100906.2080738046,82559.62478765831,1582392.808430118,80266.30187689002,119252.7913599509,57333.07276920717,199519.0932368409,16053.26037537801,0.0,321065.2075075601,103199.5309845729,135306.0517353289,431144.7072244379,472424.5196182671,0.0,188052.4786829995,421971.4155813648,1135194.840830302,75679.65605535345,22933.22910768287,75679.65605535345,0.0,0.0,220158.9994337555,0.0
sample172,156657662.6674103,1967482.699156758,2789365.325769773,88660813.14966089,15067248.67782022,35968.60510341422,314725.2946548745,6121856.5886011,59348.19842063347,1480108.100005496,2215666.074370316,39565.46561375564,62945.05893097489,77332.50097234058,14387.44204136569,787712.4517647716,257175.5264894117,1746275.777770761,109704.2455654134,133083.8388826326,196028.8978136075,188835.1767929247,32371.7445930728,0.0,143874.4204136569,197827.3280687783,131285.4086274619,221206.9213859975,339903.3182272644,32371.7445930728,242788.084448046,1294869.783722912,1061073.85055072,151068.1414343397,46759.18663443849,113301.1060757548,0.0,79130.93122751129,857851.2317164293,0.0
