# stan_version_major = 2
# stan_version_minor = 24
# stan_version_patch = 0
# model = mice_scfa_producer_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /Users/liaoc/Documents/cmdstan-2.24.1/examples/mice_scfa_producer/mice_scfa_producer.data.json
# init = 2 (Default)
# random
#   seed = 3197451085 (Default)
# output
#   file = output_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta__Muribaculaceae,beta__Bacteroides,beta__Akkermansia_dash_muciniphila,beta__Parasutterella,beta__Bacteroides_dash_acidifaciens,beta__Faecalibaculum,beta__Lachnospiraceae_dash_NK4A136_dash_group,beta__Parabacteroides_dash_goldsteinii,beta__Bacteroides_dash_uniformis,beta__Clostridia_dash_UCG_dash_014,beta__Lachnospiraceae,beta__Alloprevotella,beta__Escherichia_dash_Shigella,beta__Desulfovibrionaceae,beta__Helicobacter_dash_ganmani,beta__Bacteroides_dash_vulgatus_dash_ATCC_dash_8482,beta__Oscillospiraceae,beta__Lachnospiraceae_dash_bacterium_dash_28_dash_4,beta__Clostridia_dash_vadinBB60_dash_group,beta__Mucispirillum_dash_schaedleri,beta__Colidextribacter,beta__Muribaculum,beta__Lachnospiraceae_dash_bacterium_dash_10_dash_1,beta__Roseburia,beta__Oscillibacter,beta__Desulfovibrio,beta__Peptococcaceae,beta__Parabacteroides,beta__Ruminococcaceae,beta__Ruminococcus_dash_sp_dot__dash_N15_dot_MGS_dash_57,beta__Anaerotruncus,beta__Rikenellaceae_dash_RC9_dash_gut_dash_group,beta__Lactobacillus,beta__Alistipes,beta__Lachnoclostridium,beta__Helicobacter_dash_mastomyrinus,beta__Gastranaerophilales,beta__Lachnospiraceae_dash_UCG_dash_006,beta__Blautia,beta__Bilophila
# Adaptation terminated
# Step size = 0.227731
# Diagonal elements of inverse mass matrix:
# 0.0823218, 1.37702, 0.170559, 0.509911, 0.407534, 0.765305, 0.291858, 0.704703, 0.628116, 0.799155, 0.389706, 0.755013, 1.06665, 0.852003, 0.445123, 0.784009, 1.0792, 0.825705, 0.76028, 1.12365, 0.910654, 0.934274, 0.923347, 0.992995, 0.851219, 0.982874, 1.10603, 0.944114, 0.874549, 0.903691, 1.03246, 0.763794, 0.861151, 0.80026, 0.977502, 0.928672, 1.01678, 1.01861, 1.00292, 0.969151, 1.09092, 1.13774
-543.358,0.919573,0.227731,4,15,0,561.273,2.80098,0.99993,-3.32607,-3.02294,-0.377377,-2.45859,1.79174,0.369805,-4.18646,2.31271,-2.03368,-1.18889,1.74523,1.42801,-1.81922,7.29618,1.9527,0.566408,0.203793,1.40498,-1.86479,0.203054,1.2593,0.94304,0.589503,-0.49885,0.809621,0.421603,2.33511,2.39003,1.36822,-0.0570121,0.0196382,1.4905,-0.502805,-1.33005,1.8515,0.315356,0.058526,-0.0910169,0.690412,-0.941424
-541.346,0.791968,0.227731,4,15,0,570.16,2.73238,0.999856,-2.48877,-3.42389,-1.60918,-4.00043,0.666808,-0.592641,-1.65323,2.26217,-1.93849,0.0761204,1.4789,-0.205213,-0.0219254,6.02762,3.98052,1.15184,-1.21815,0.21988,0.596927,-0.879426,1.94331,0.331565,0.0173902,-0.457053,-1.10642,0.879216,-0.325166,2.74908,1.40006,-1.15121,0.160148,0.141291,-0.38884,-0.776156,1.98306,0.0960023,0.0758366,0.903672,1.21616,-1.15826
-530.806,0.947686,0.227731,4,15,0,555.73,2.80035,0.997224,-2.74588,-3.31295,-1.85185,-1.46348,1.72519,-1.54025,-1.89089,1.71995,-2.66015,-1.58059,-0.0695044,0.90964,-0.115436,6.57616,2.61976,0.945033,0.710785,1.95957,0.84343,-0.185529,0.968623,-0.796298,0.155832,1.47356,0.548382,1.10441,-0.709004,1.3735,-0.218036,-2.33949,0.967206,0.557787,-0.00770742,-0.598247,0.895415,0.920902,-0.010596,1.0289,-0.971567,-1.71364
-535.795,0.856144,0.227731,4,15,0,555.987,2.95476,0.996501,-3.30594,-3.22487,-1.43972,-2.73519,1.36304,-0.0132743,-1.84381,1.89939,-3.02217,-1.63918,0.394871,0.675989,0.178922,6.379,2.37287,-0.708964,1.32533,3.19859,0.428691,-0.147846,1.65153,-0.0584215,-0.794141,1.35627,-1.10966,-0.310504,-0.87886,1.65372,-0.629174,-1.08895,1.21731,0.99883,1.08545,-0.465835,0.174567,-1.38986,-0.960952,1.28471,-0.3332,-1.19235
-537.451,0.968962,0.227731,4,15,0,555.837,2.51173,0.99953,-2.28713,-4.84896,-2.4363,0.217305,1.40812,-0.625643,-3.34539,1.08288,-2.52682,-0.121143,2.96849,1.24766,-2.54707,7.42995,2.27992,1.37375,0.46736,0.550487,1.46543,-0.211084,0.00463763,-1.94652,-1.00035,1.82275,0.499923,0.348876,0.859281,2.1202,0.715423,-1.74049,0.971108,0.963385,0.253256,0.244386,-0.82671,0.430342,0.0669651,0.586506,-0.212235,-0.451232
-534.938,1,0.227731,4,15,0,552.549,2.63153,0.999768,-2.46013,-4.20343,-2.41925,0.425077,1.20302,-0.122822,-2.552,1.45892,-2.08459,-0.647793,2.82058,-0.514611,-1.47372,5.97829,2.6035,1.21733,0.0913511,-0.389328,1.55407,-0.505121,1.42978,-0.978909,-0.347333,3.02107,1.731,0.862807,0.629611,1.46859,0.0839254,-0.492836,1.49486,0.698217,0.57524,0.553,-1.60837,0.305545,0.0867032,0.633071,0.0367355,-0.53999
