# stan_version_major = 2
# stan_version_minor = 24
# stan_version_patch = 0
# model = mice_scfa_producer_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /Users/liaoc/Documents/cmdstan-2.24.1/examples/mice_scfa_producer/mice_scfa_producer.data.json
# init = 2 (Default)
# random
#   seed = 3197750751 (Default)
# output
#   file = output_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta__Muribaculaceae,beta__Bacteroides,beta__Akkermansia_dash_muciniphila,beta__Parasutterella,beta__Bacteroides_dash_acidifaciens,beta__Faecalibaculum,beta__Lachnospiraceae_dash_NK4A136_dash_group,beta__Parabacteroides_dash_goldsteinii,beta__Bacteroides_dash_uniformis,beta__Clostridia_dash_UCG_dash_014,beta__Lachnospiraceae,beta__Alloprevotella,beta__Escherichia_dash_Shigella,beta__Desulfovibrionaceae,beta__Helicobacter_dash_ganmani,beta__Bacteroides_dash_vulgatus_dash_ATCC_dash_8482,beta__Oscillospiraceae,beta__Lachnospiraceae_dash_bacterium_dash_28_dash_4,beta__Clostridia_dash_vadinBB60_dash_group,beta__Mucispirillum_dash_schaedleri,beta__Colidextribacter,beta__Muribaculum,beta__Lachnospiraceae_dash_bacterium_dash_10_dash_1,beta__Roseburia,beta__Oscillibacter,beta__Desulfovibrio,beta__Peptococcaceae,beta__Parabacteroides,beta__Ruminococcaceae,beta__Ruminococcus_dash_sp_dot__dash_N15_dot_MGS_dash_57,beta__Anaerotruncus,beta__Rikenellaceae_dash_RC9_dash_gut_dash_group,beta__Lactobacillus,beta__Alistipes,beta__Lachnoclostridium,beta__Helicobacter_dash_mastomyrinus,beta__Gastranaerophilales,beta__Lachnospiraceae_dash_UCG_dash_006,beta__Blautia,beta__Bilophila
# Adaptation terminated
# Step size = 0.226531
# Diagonal elements of inverse mass matrix:
# 0.0955562, 1.25781, 0.191978, 0.573469, 0.47228, 0.711372, 0.305619, 0.712718, 0.747751, 0.846048, 0.46945, 0.868893, 0.879867, 0.815539, 0.624956, 0.757942, 0.832626, 0.891764, 1.15046, 0.85998, 1.09495, 1.02011, 1.16437, 0.933333, 1.0951, 1.00681, 1.00472, 0.888813, 0.874933, 0.944975, 1.07029, 1.00479, 1.01173, 0.794897, 0.852429, 1.18945, 0.897547, 0.941796, 0.882326, 0.977129, 1.01649, 1.1128
-311.392,0.990258,0.226531,4,15,0,331.999,2.11372,0.999314,-2.00969,0.12202,-1.13567,-3.93037,1.04685,-0.185908,-3.89802,4.28515,-1.90563,-2.19484,-1.22405,-1.02337,-0.972469,2.61778,1.67447,-1.65029,-0.471972,3.14175,0.783811,-0.216023,-0.0839076,-0.980946,-1.5704,-0.939375,-1.00985,-0.407067,2.32496,-1.17738,0.329334,-1.16306,1.5788,-1.45774,-0.535311,-0.475493,-0.850159,-0.0374278,0.625476,-1.3073,-0.614475,-1.87986
-315.054,0.965824,0.226531,4,15,0,333.234,1.87733,0.995577,-1.89093,-0.709965,-1.1727,-1.47137,0.00192164,-1.50176,-4.5243,5.05529,-0.222739,-0.643585,1.54461,1.86132,-1.86944,0.862235,0.660751,0.137968,1.45143,4.31447,0.802318,-0.0183958,0.620862,0.234896,0.523805,0.547174,0.744498,0.463026,1.26853,1.77216,1.2403,0.217805,-0.401899,1.96037,1.0806,-0.105577,0.473545,0.770428,-0.984322,0.449881,0.0586926,2.0781
-314.273,0.916497,0.226531,4,15,0,335.8,2.38505,0.998544,-2.14414,-0.433285,-2.5201,-2.73346,0.696103,-1.29347,-3.8127,4.45333,-1.75813,-1.67151,-1.14668,1.96012,-1.78183,1.1465,-0.00227546,1.01454,1.62597,3.90574,0.997722,0.0746495,0.116441,-0.81061,-1.43572,0.439285,1.13964,0.556087,0.696467,-1.58759,-0.116166,-1.55799,-0.493115,-0.449694,-0.0281556,0.0921007,1.93793,0.534515,-0.765206,-0.0552344,-1.46891,1.28133
-312.558,0.838873,0.226531,4,15,0,331.893,2.14842,0.998622,-2.22389,0.0791705,-0.111551,-3.65731,-0.0719219,-0.589296,-4.23791,3.8237,-1.59077,-1.96463,-0.857159,-0.24979,-1.90548,1.31777,0.0276993,-0.976092,0.405002,3.30463,1.91676,0.236371,-0.675212,0.0177222,1.53827,2.61247,-0.387677,0.520321,1.08449,0.413894,-1.59857,-1.21967,-1.10008,-0.235768,-0.541561,0.66717,0.0654298,1.39597,-1.32124,0.1447,-0.128495,-0.227397
-311.428,0.987608,0.226531,4,15,0,334.62,1.82684,0.998774,-2.07448,0.108463,-0.550907,-4.30502,0.16944,0.349643,-2.98612,4.72442,-1.53852,-2.0446,1.59663,2.14967,-0.781335,0.194115,0.51587,-0.708755,0.421526,4.16539,0.973824,0.68201,0.0953176,0.10102,0.198557,0.797942,-0.852732,-0.636173,0.820328,1.30759,2.53713,-1.86501,0.68478,-1.77503,0.669182,-0.322419,-0.036994,0.888627,-1.25799,0.439344,0.707655,-0.0155702
-316.99,0.880008,0.226531,4,15,0,342.307,1.97645,0.997824,-1.89093,-0.0106453,-1.00041,-3.79714,0.660242,-1.00029,-4.45234,6.49217,-0.850013,-0.436715,1.49709,0.348985,-0.844284,0.0747342,0.199688,-1.90289,0.469893,3.89823,0.495549,1.65852,-1.05033,1.34659,1.19605,0.0165864,0.609125,0.0304765,2.1342,0.672683,2.09164,-0.212878,2.7674,-0.829803,0.958633,-2.11896,0.980475,1.60539,-0.197233,-0.202971,0.148627,0.636597
