# stan_version_major = 2
# stan_version_minor = 24
# stan_version_patch = 0
# model = mice_scfa_producer_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /Users/liaoc/Documents/cmdstan-2.24.1/examples/mice_scfa_producer/mice_scfa_producer.data.json
# init = 2 (Default)
# random
#   seed = 3198172374 (Default)
# output
#   file = output_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta__Muribaculaceae,beta__Bacteroides,beta__Akkermansia_dash_muciniphila,beta__Parasutterella,beta__Bacteroides_dash_acidifaciens,beta__Faecalibaculum,beta__Lachnospiraceae_dash_NK4A136_dash_group,beta__Parabacteroides_dash_goldsteinii,beta__Bacteroides_dash_uniformis,beta__Clostridia_dash_UCG_dash_014,beta__Lachnospiraceae,beta__Alloprevotella,beta__Escherichia_dash_Shigella,beta__Desulfovibrionaceae,beta__Helicobacter_dash_ganmani,beta__Bacteroides_dash_vulgatus_dash_ATCC_dash_8482,beta__Oscillospiraceae,beta__Lachnospiraceae_dash_bacterium_dash_28_dash_4,beta__Clostridia_dash_vadinBB60_dash_group,beta__Mucispirillum_dash_schaedleri,beta__Colidextribacter,beta__Muribaculum,beta__Lachnospiraceae_dash_bacterium_dash_10_dash_1,beta__Roseburia,beta__Oscillibacter,beta__Desulfovibrio,beta__Peptococcaceae,beta__Parabacteroides,beta__Ruminococcaceae,beta__Ruminococcus_dash_sp_dot__dash_N15_dot_MGS_dash_57,beta__Anaerotruncus,beta__Rikenellaceae_dash_RC9_dash_gut_dash_group,beta__Lactobacillus,beta__Alistipes,beta__Lachnoclostridium,beta__Helicobacter_dash_mastomyrinus,beta__Gastranaerophilales,beta__Lachnospiraceae_dash_UCG_dash_006,beta__Blautia,beta__Bilophila
# Adaptation terminated
# Step size = 0.216264
# Diagonal elements of inverse mass matrix:
# 0.110843, 1.37519, 0.222994, 0.532938, 0.45184, 0.713151, 0.350766, 0.824136, 0.504059, 0.810689, 0.447625, 0.732548, 1.06186, 0.825231, 0.519089, 0.835957, 0.929378, 1.03831, 1.04694, 0.945725, 0.993884, 0.782997, 0.987562, 0.917197, 0.873676, 0.842905, 1.24172, 1.00393, 1.07795, 0.939451, 0.941424, 0.932706, 1.1842, 1.09483, 1.01153, 0.974863, 0.892253, 0.973565, 0.963735, 0.929551, 1.03068, 0.875734
-1292.94,0.859262,0.216264,4,15,0,1315.95,2.72748,0.999017,-1.97022,-2.28156,-1.06704,-5.55805,0.283207,2.1131,-7.68432,7.04315,-0.736697,1.62869,-0.0174119,-1.83466,-2.91926,4.09441,1.16489,0.94319,1.29045,6.76583,-1.46277,0.591489,-0.76343,-0.245625,1.44407,3.17585,-0.958497,0.146274,2.71593,1.11071,0.288187,-1.25252,-2.14867,1.37481,2.23617,0.0994969,0.71434,-1.96142,-0.286308,-0.0540955,-0.796778,1.0728
-1281.67,0.858437,0.216264,4,15,0,1313.17,2.49938,0.999687,-2.12099,-2.40199,-1.18404,-5.42084,1.13249,2.91438,-7.65107,7.04701,-1.35946,1.02296,0.862113,-1.87995,-3.49988,3.79964,1.68201,-0.0789926,1.77885,6.40974,-1.38521,1.42184,-0.434962,-0.906328,-0.461546,2.63472,-1.14826,-0.40679,2.17426,0.523252,0.800056,-1.15501,-1.05681,0.33133,1.1409,0.467989,0.777002,-2.47148,-0.257935,-0.139153,-0.658647,1.01754
-1282.29,0.981057,0.216264,4,15,0,1306.78,2.3084,0.999414,-1.79651,-1.7124,-0.689581,-4.3167,0.855765,2.42078,-5.32188,5.86407,-2.10656,0.37375,0.842097,-1.12023,-1.45955,3.95563,1.51838,-0.570946,0.218982,5.67356,-0.36306,1.02966,0.829032,1.78364,1.68319,1.93477,0.75963,0.449534,1.36017,-0.759079,1.20526,0.289401,4.31112,-1.36217,0.0386436,-0.531318,-0.518914,0.915262,-1.30926,-1.40162,-1.27209,-0.326838
-1277.94,0.978105,0.216264,4,15,0,1303.89,2.42198,0.999876,-1.67337,-1.37257,0.438302,-4.78574,0.824447,1.05053,-7.12473,7.18595,-2.79322,-0.944537,-0.77142,-1.72532,-1.36876,3.77392,3.6536,0.0396096,0.0601779,5.94241,0.365333,1.3777,2.44635,-0.461057,-0.551493,0.7938,-0.456996,1.21425,1.14256,-0.348791,0.700804,-0.274202,2.9467,1.83191,-0.939377,1.05484,-0.947556,0.221013,-1.33909,0.365133,-0.443747,-1.41392
-1280.51,0.991002,0.216264,4,15,0,1293.21,2.19638,0.999855,-1.5816,-1.25265,0.743934,-4.71041,0.372737,0.906436,-7.13515,7.0521,-2.86294,-0.986751,-0.490425,-1.88674,-1.33252,3.9076,3.43358,-0.404114,-0.0390961,5.90712,0.725422,0.985467,2.25635,-0.230192,-1.2502,0.855522,0.00748779,0.782626,1.83908,0.0737923,1.06976,-0.393688,2.87354,2.17829,-0.904543,1.65311,-0.683507,0.204142,-1.69032,0.747578,-0.152863,-1.99428
-1276.27,0.985652,0.216264,4,15,0,1303.98,2.07526,0.999783,-1.47994,-0.600976,0.75469,-4.19375,0.791663,1.09747,-7.70372,6.8213,-2.46356,-0.481597,0.748734,-1.53894,-1.06917,4.64105,3.24911,0.79237,-0.325876,5.75032,1.31795,1.44372,0.204408,0.197836,-0.179304,0.371475,1.54896,1.0176,1.02639,0.479424,1.05864,-0.137425,2.96719,1.45175,-0.683363,1.63953,0.45396,0.144004,-0.461659,1.23159,0.0323452,-0.958359
