SampleID,Muribaculaceae,Akkermansia_dash_muciniphila,Bacteroides_dash_acidifaciens,Faecalibaculum,Parasutterella,Bacteroides_dash_uniformis,Bacteroides,Alloprevotella,Clostridia_dash_UCG_dash_014,Lachnospiraceae_dash_NK4A136_dash_group,Lachnospiraceae,Parabacteroides_dash_goldsteinii,Escherichia_dash_Shigella,Mucispirillum_dash_schaedleri,Bacteroides_dash_vulgatus_dash_ATCC_dash_8482,Oscillospiraceae,Dubosiella_dash_newyorkensis,Lachnospiraceae_dash_bacterium_dash_28_dash_4,Lachnoclostridium,Roseburia,Lactobacillus,Colidextribacter,Bifidobacterium_dash_choerinum,Bacteroides_dash_caecimuris,Oscillibacter,Desulfovibrio,mouse_dash_gut_dash_metagenome,Clostridia_dash_vadinBB60_dash_group,Alistipes,Peptococcaceae,Muribaculum,Desulfovibrionaceae,Parabacteroides,Helicobacter_dash_mastomyrinus,Anaerotruncus,Clostridiales_dash_bacterium_dash_CIEAF_dash_020,Rikenellaceae_dash_RC9_dash_gut_dash_group,Ruminococcaceae,Candidatus_dash_Saccharimonas,Lachnospiraceae_dash_UCG_dash_006
sample141,25580567.3915693,2803564.186431445,731117.1952439181,15034841.93332337,6520313.663420469,19913.69792493162,379782.6675683388,684177.764420865,187757.7232922124,578919.6468176551,1514863.449289441,25603.32590348351,24180.91890884555,472239.1222198071,38404.98885522527,1039779.513080358,116637.3735603138,129439.0365120556,371248.225600511,482195.9711822729,1069650.059967756,460859.8662627033,98146.08263002014,120904.5945442277,140818.2924691594,0.0,207671.4212171441,374093.039589787,1473613.64644494,46939.43082305311,445213.3893216855,217628.2701796099,193447.3512707643,0.0,344222.4927023895,0.0,4127825.098439398,641505.5545817259,0.0,516333.7390535843
sample142,12217695.66402239,124022.6010347698,1518836.024046659,8628681.436921425,1957323.513961059,17045.760331793,269793.2411135513,1537645.138895534,520777.3673782275,946921.3756730525,687708.2616619935,7641.202907355483,24686.96323914848,161053.0458934925,17633.54517082035,710631.87038406,18221.33000984769,1921468.63878039,122259.2465176877,214541.4662449809,606006.1690371926,414388.3115142781,38206.01453677742,114030.2587713049,347968.6247041881,4114.493873191414,108152.4103810315,2041376.745941969,1714568.375442765,17633.54517082035,362663.2456798718,161640.8307325198,98747.85295659392,0.0,161053.0458934925,0.0,2091338.457259293,432021.8566850985,47022.78712218759,144007.2855616995
sample143,27650502.23289305,372148.6085382823,19190045.10245345,7158633.908062239,401418.7238165742,27876.30026503987,2028000.844281651,39828264.00367571,1076025.190230539,1998730.729003359,6340464.49528332,117080.4611131675,98960.86594089156,257855.7774516188,61327.86058308772,1266977.847046063,0.0,238342.3672660909,419538.3189888501,485047.6246116938,565888.8953803094,827926.1178716843,0.0,489229.0696514498,568676.5254068135,33451.56031804785,271793.9275841388,2080965.814785226,9869604.108837368,131018.6112456874,381905.3136310462,6668011.023397538,7668770.202912469,1063480.855111271,970095.2492233876,0.0,5711853.92430667,682969.3564934769,2097691.59494425,288519.7077431626
sample144,20189747.63144723,59678.65375370943,5359602.173650444,2648814.093530026,103289.9776506509,34429.99255021698,1315225.715418288,2598316.771123041,1407039.028885534,3550879.898345712,8983932.722769953,64269.31942707169,199693.9567912585,2419280.809861913,50497.3224069849,3445294.587858379,4590.665673362264,229533.2836681132,596786.5375370943,936495.7973659018,59678.65375370943,1744452.95587766,0.0,172149.9627510849,2189747.5261938,135424.6373641868,0.0,142310.6358742302,6002295.367921161,144605.9687109113,174445.295587766,28349655.86584866,573833.209170283,518745.2210899358,2947207.362298573,52792.65524366603,2336648.827741392,1223412.401951043,4932670.266027753,454475.9016628641
sample145,44612502.02988564,627965.7065227876,3589337.49680049,10757911.16536357,79127.04613021718,40405.30015160027,3833452.851883075,21337365.58839091,1880530.011222396,2452938.430036732,2707155.110157218,63975.05857336709,89228.37116811726,629649.2606957707,38721.74597861692,1769415.435805495,0.0,95962.58786005064,331660.1720777188,750865.1611505717,31987.52928668354,1070740.454017407,0.0,127950.1171467342,309773.9678289354,43772.40849756695,74076.38361126716,1114512.862514974,7808324.254296753,109431.0212439174,267685.1135043518,7579360.886771017,486547.1559921866,474762.2767813031,582509.7438522372,85861.26282215057,4708901.021834414,590927.514717154,15936523.80146034,254216.680120485
sample156,62930191.39783816,252027.99972435,63283030.59745228,57628002.33697066,8175308.257725106,67207.46659315999,1785798.398046823,184820.53313119,81609.06657740856,10227536.25548053,3497188.529508362,50405.59994487,103211.4665537814,4738126.394817781,96010.66656165714,2138637.597660913,33603.73329658,6286298.393124501,1188131.998700507,1502566.931689934,453650.39950383,703278.1325641385,48005.33328082857,4728525.328161614,412845.8662151257,14401.59998424857,1101722.398795016,31203.46663253857,211223.4664356457,110412.2665459057,806489.59911792,352839.19961409,45605.06661678715,0.0,1032114.665537814,0.0,184820.53313119,228025.3330839357,26402.93330445571,1497766.398361851
sample157,99956825.00972195,424301.5026558482,33289220.06706427,59140865.24337132,8455283.567417268,2902468.250051599,4442867.183606528,4246089.675128452,199852.1570480445,5214603.974668975,3163813.378499043,92239.45709909743,153732.4284984957,3511248.666905643,249046.5341675631,728691.7110828699,0.0,153732.4284984957,396629.665526119,501167.7169050961,488869.1226252164,578033.931154344,0.0,37304711.09944498,304390.2084270216,0.0,172180.3199183152,1383591.856486462,876274.8424414257,153732.4284984958,1890908.870531498,107612.699948947,344360.6398366304,0.0,236747.9398876835,0.0,1097649.53947926,473495.8797753669,218300.048467864,116836.6456588568
sample158,71545994.19082692,33549.41633498892,68731570.93161395,193841.0721577138,193841.0721577138,41004.84218720868,4264503.587469703,1293516.385360128,85737.39730052724,6784437.525519983,5971796.107628029,186385.646305494,141653.0911921755,6061261.217854666,119286.8136355162,3530144.141026056,0.0,6754615.822111104,3798539.471705968,1218962.126837931,0.0,1017665.628827997,0.0,11246509.89807351,909561.9539708109,0.0,1476174.318739512,22366.27755665928,670988.3266997784,562884.6518425919,361588.1538326584,342949.5892021089,1588005.706522809,0.0,2087519.238621533,8734031.385875449,689626.8913303278,559156.9389164821,41004.84218720868,864829.3988574923
sample171,118385915.2996804,16002807.2713411,26425959.90078297,74746273.63067076,11998665.46913968,38986.48948306087,412798.1239382916,4155501.114312135,36693.16657229259,169705.8953968532,339411.7907937065,100906.2080738046,75679.65605535345,100906.2080738046,0.0,82559.62478765831,472424.5196182671,321065.2075075601,199519.0932368409,119252.7913599509,1135194.840830302,57333.07276920717,1467726.662891703,421971.4155813648,103199.5309845729,0.0,220158.9994337555,16053.26037537801,431144.7072244379,103199.5309845729,1582392.808430118,73386.33314458517,188052.4786829995,0.0,75679.65605535345,0.0,135306.0517353289,22933.22910768287,259145.4889168164,410504.8010275233
sample172,156657662.6674103,1967482.699156758,2789365.325769773,88660813.14966089,15067248.67782022,35968.60510341422,314725.2946548745,6121856.5886011,59348.19842063347,1480108.100005496,2215666.074370316,62945.05893097489,39565.46561375564,787712.4517647716,0.0,257175.5264894117,339903.3182272644,143874.4204136569,188835.1767929247,133083.8388826326,1061073.85055072,196028.8978136075,956764.8957508184,1294869.783722912,197827.3280687783,0.0,857851.2317164293,32371.7445930728,221206.9213859975,113301.1060757548,1746275.777770761,77332.50097234058,242788.084448046,0.0,151068.1414343397,0.0,131285.4086274619,46759.18663443849,35968.60510341422,48557.6168896092
