SampleID,Muribaculaceae,Faecalibaculum,Parasutterella,Bacteroides_dash_acidifaciens,Bacteroides,Akkermansia_dash_muciniphila,Alloprevotella,Clostridia_dash_UCG_dash_014,Lachnospiraceae_dash_NK4A136_dash_group,Lachnospiraceae,Desulfovibrionaceae,Parabacteroides_dash_goldsteinii,Helicobacter_dash_ganmani,Mucispirillum_dash_schaedleri,Oscillospiraceae,Muribaculum,Lachnospiraceae_dash_bacterium_dash_10_dash_1,Bacteroides_dash_vulgatus_dash_ATCC_dash_8482,Colidextribacter,Lachnoclostridium,Rikenellaceae_dash_RC9_dash_gut_dash_group,Alistipes,Lachnospiraceae_dash_bacterium_dash_28_dash_4,Clostridia_dash_vadinBB60_dash_group,Dubosiella_dash_newyorkensis,Ruminococcus_dash_sp_dot__dash_N15_dot_MGS_dash_57,Oscillibacter,Bacteroides_dash_caecimuris,Roseburia,Bilophila,Parabacteroides,Gastranaerophilales,Ruminococcaceae,Anaerotruncus,Bacteroides_dash_uniformis,Bifidobacterium_dash_choerinum,mouse_dash_gut_dash_metagenome,Odoribacter,Peptococcaceae,Lachnospiraceae_dash_UCG_dash_006
sample141,25580567.3915693,15034841.93332337,6520313.663420469,731117.1952439181,379782.6675683388,2803564.186431445,684177.764420865,187757.7232922124,578919.6468176551,1514863.449289441,217628.2701796099,25603.32590348351,9956.84896246581,472239.1222198071,1039779.513080358,445213.3893216855,51206.65180696703,38404.98885522527,460859.8662627033,371248.225600511,4127825.098439398,1473613.64644494,129439.0365120556,374093.039589787,116637.3735603138,9956.84896246581,140818.2924691594,120904.5945442277,482195.9711822729,236119.5611099036,193447.3512707643,247498.8170670073,641505.5545817259,344222.4927023895,19913.69792493162,98146.08263002014,207671.4212171441,1627233.601865841,46939.43082305311,516333.7390535843
sample142,12217695.66402239,8628681.436921425,1957323.513961059,1518836.024046659,269793.2411135513,124022.6010347698,1537645.138895534,520777.3673782275,946921.3756730525,687708.2616619935,161640.8307325198,7641.202907355483,0.0,161053.0458934925,710631.87038406,362663.2456798718,37030.44485872273,17633.54517082035,414388.3115142781,122259.2465176877,2091338.457259293,1714568.375442765,1921468.63878039,2041376.745941969,18221.33000984769,3526.70903416407,347968.6247041881,114030.2587713049,214541.4662449809,317403.8130747663,98747.85295659392,39969.36905385945,432021.8566850985,161053.0458934925,17045.760331793,38206.01453677742,108152.4103810315,1997292.883014918,17633.54517082035,144007.2855616995
sample143,27650502.23289305,7158633.908062239,401418.7238165742,19190045.10245345,2028000.844281651,372148.6085382823,39828264.00367571,1076025.190230539,1998730.729003359,6340464.49528332,6668011.023397538,117080.4611131675,3607193.25429616,257855.7774516188,1266977.847046063,381905.3136310462,158894.9115107273,61327.86058308772,827926.1178716843,419538.3189888501,5711853.92430667,9869604.108837368,238342.3672660909,2080965.814785226,0.0,25088.67023853589,568676.5254068135,489229.0696514498,485047.6246116938,96173.23591438757,7668770.202912469,231373.2921998309,682969.3564934769,970095.2492233876,27876.30026503987,0.0,271793.9275841388,1115052.010601595,131018.6112456874,288519.7077431626
sample144,20189747.63144723,2648814.093530026,103289.9776506509,5359602.173650444,1315225.715418288,59678.65375370943,2598316.771123041,1407039.028885534,3550879.898345712,8983932.722769953,28349655.86584866,64269.31942707169,14800306.13091994,2419280.809861913,3445294.587858379,174445.295587766,87222.64779388302,50497.3224069849,1744452.95587766,596786.5375370943,2336648.827741392,6002295.367921161,229533.2836681132,142310.6358742302,4590.665673362264,0.0,2189747.5261938,172149.9627510849,936495.7973659018,218056.6194847075,573833.209170283,48201.98957030378,1223412.401951043,2947207.362298573,34429.99255021698,0.0,0.0,1613618.984186836,144605.9687109113,454475.9016628641
sample145,44612502.02988564,10757911.16536357,79127.04613021718,3589337.49680049,3833452.851883075,627965.7065227876,21337365.58839091,1880530.011222396,2452938.430036732,2707155.110157218,7579360.886771017,63975.05857336709,3591021.050973474,629649.2606957707,1769415.435805495,267685.1135043518,6638254.104073327,38721.74597861692,1070740.454017407,331660.1720777188,4708901.021834414,7808324.254296753,95962.58786005064,1114512.862514974,0.0,8417.770864916722,309773.9678289354,127950.1171467342,750865.1611505717,114481.6837628674,486547.1559921866,1188589.246126241,590927.514717154,582509.7438522372,40405.30015160027,0.0,74076.38361126716,3328386.599988072,109431.0212439174,254216.680120485
sample156,62930191.39783816,57628002.33697066,8175308.257725106,63283030.59745228,1785798.398046823,252027.99972435,184820.53313119,81609.06657740856,10227536.25548053,3497188.529508362,352839.19961409,50405.59994487,33603.73329657999,4738126.394817781,2138637.597660913,806489.59911792,96010.66656165714,96010.66656165714,703278.1325641385,1188131.998700507,184820.53313119,211223.4664356457,6286298.393124501,31203.46663253857,33603.73329658,0.0,412845.8662151257,4728525.328161614,1502566.931689934,1644182.664868379,45605.06661678715,16801.86664829,228025.3330839357,1032114.665537814,67207.46659315999,48005.33328082857,1101722.398795016,182420.2664671486,110412.2665459057,1497766.398361851
sample157,99956825.00972195,59140865.24337132,8455283.567417268,33289220.06706427,4442867.183606528,424301.5026558482,4246089.675128452,199852.1570480445,5214603.974668975,3163813.378499043,107612.699948947,92239.45709909743,15373.24284984958,3511248.666905643,728691.7110828699,1890908.870531498,116836.6456588568,249046.5341675631,578033.931154344,396629.665526119,1097649.53947926,876274.8424414257,153732.4284984957,1383591.856486462,0.0,18447.89141981949,304390.2084270216,37304711.09944498,501167.7169050961,393555.0169561491,344360.6398366304,43045.0799795788,473495.8797753669,236747.9398876835,2902468.250051599,0.0,172180.3199183152,676422.6853933813,153732.4284984958,116836.6456588568
sample158,71545994.19082692,193841.0721577138,193841.0721577138,68731570.93161395,4264503.587469703,33549.41633498892,1293516.385360128,85737.39730052724,6784437.525519983,5971796.107628029,342949.5892021089,186385.646305494,0.0,6061261.217854666,3530144.141026056,361588.1538326584,78281.97144830748,119286.8136355162,1017665.628827997,3798539.471705968,689626.8913303278,670988.3266997784,6754615.822111104,22366.27755665928,0.0,0.0,909561.9539708109,11246509.89807351,1218962.126837931,1602916.558227248,1588005.706522809,26093.99048276916,559156.9389164821,2087519.238621533,41004.84218720868,0.0,1476174.318739512,372771.292610988,562884.6518425919,864829.3988574923
sample171,118385915.2996804,74746273.63067076,11998665.46913968,26425959.90078297,412798.1239382916,16002807.2713411,4155501.114312135,36693.16657229259,169705.8953968532,339411.7907937065,73386.33314458517,100906.2080738046,27519.87492921944,100906.2080738046,82559.62478765831,1582392.808430118,80266.30187689002,0.0,57333.07276920717,199519.0932368409,135306.0517353289,431144.7072244379,321065.2075075601,16053.26037537801,472424.5196182671,0.0,103199.5309845729,421971.4155813648,119252.7913599509,75679.65605535345,188052.4786829995,0.0,22933.22910768287,75679.65605535345,38986.48948306087,1467726.662891703,220158.9994337555,293545.3325783407,103199.5309845729,410504.8010275233
sample172,156657662.6674103,88660813.14966089,15067248.67782022,2789365.325769773,314725.2946548745,1967482.699156758,6121856.5886011,59348.19842063347,1480108.100005496,2215666.074370316,77332.50097234058,62945.05893097489,14387.44204136569,787712.4517647716,257175.5264894117,1746275.777770761,109704.2455654134,0.0,196028.8978136075,188835.1767929247,131285.4086274619,221206.9213859975,143874.4204136569,32371.7445930728,339903.3182272644,32371.7445930728,197827.3280687783,1294869.783722912,133083.8388826326,113301.1060757548,242788.084448046,79130.93122751129,46759.18663443849,151068.1414343397,35968.60510341422,956764.8957508184,857851.2317164293,347097.0392479473,113301.1060757548,48557.6168896092
sample173,76648038.66869481,59168126.58897698,3637907.137054782,178439924.357113,1396075.828073571,63721.3033560551,14192472.11112136,86892.6863946206,1036919.390975806,6815283.036218075,304124.4023811721,139028.298231393,8689.26863946206,49239.18895695167,379431.3972565099,2983315.566215307,338881.4769390203,0.0,249092.367664579,364949.2828574065,104271.2236735447,240403.099025117,324399.3625399169,0.0,14482.11439910343,34757.07455784824,179578.2185488826,477909.7751704133,101374.800793724,897891.0927444127,251988.7905443997,269367.3278233238,28964.22879820687,327295.7854197376,81099.84063497922,0.0,608248.8047623441,40549.92031748961,367845.7057372272,147717.566870855
sample175,141721859.1643604,76802596.9765133,14666854.90357101,22963033.88569254,682788.219213207,20610536.42244468,12860185.19078562,96677.97794169303,525686.5050579559,4503582.472450534,545827.7504624752,100706.2270225969,0.0,1703949.36122234,300104.5565273388,1871121.698079851,181271.2086406744,0.0,491446.3878702729,962751.5303360265,104734.4761035008,449149.7725207822,189327.7068024822,38268.36626858683,696887.0909963707,14098.87178316357,416923.7798735512,424980.278035359,255793.8166373961,561940.7467860908,336358.7982554737,0.0,70494.35891581784,223567.8239901651,34240.11718768295,394768.4099285799,1158121.610759865,80564.98161807752,505545.2596534365,892257.1714202086
sample186,204296806.0441246,41739026.7264883,11787317.5573004,751422.708710183,0.0,7328876.152286652,26765676.88425672,3000681.350115998,1137153.032514744,4688877.702351542,220417.3278883204,105199.1792194256,30056.90834840732,26941008.84962243,1001896.944946911,1743300.684207625,240455.2667872586,0.0,1653129.959162403,3702009.211578835,115218.1486688947,345654.4460066842,4894266.576065659,25047.42362367277,631195.0753165537,30056.90834840732,796508.071232794,170322.4806409748,1507854.902145101,671270.9531144302,220417.3278883203,85161.24032048741,611157.1364176155,736394.2545359795,0.0,1643110.989712934,345654.4460066842,651233.0142154921,75142.2708710183,1051991.792194256
sample187,175617507.3120857,48241027.83597487,16858510.02721614,2315235.377071017,542683.4656380053,863797.9423468843,14646031.28269196,80278.61917721972,9755457.80241574,15747453.93780342,250469.2918329255,93123.19824557487,0.0,7677847.138109295,2292757.363701395,1856041.67537732,305058.752873435,0.0,1428959.421354511,1730807.029460857,89912.05347848608,497727.4388987623,346803.6348455892,57800.6058075982,658284.6772532017,44956.02673924304,2588182.682273563,401393.0958860986,452771.4121595192,606906.3609797811,244047.0022987479,28900.3029037991,404604.2406531874,1088578.076043099,205513.2650936825,1066100.062673478,2225323.323592531,651862.3877190242,802786.1917721973,937654.2719899263
sample188,149128421.9246854,77540235.41902263,23561309.06682822,9542315.299379488,294479.1816205017,6410127.640325063,7079398.507644384,591932.9004290893,553263.916983973,4732488.666244629,154675.9337804655,65439.81813788928,17847.22312851526,252835.6609872994,202268.5287898396,2290393.634826124,226064.8262945266,0.0,139803.2478400362,1752002.403782581,38668.98344511638,374791.6856988204,205243.0659779254,20821.76031660113,823946.8010997876,26770.83469277288,211192.1403540972,220115.7519183548,56516.20657363164,240937.512234956,208217.6031660113,44618.05782128814,68414.35532597515,193344.9172255819,0.0,1656817.213763833,487824.0988460836,184421.3056613243,145752.3222162079,377766.2228869063
sample189,189917904.1219087,66102183.11967216,15667907.07561556,2284191.971989704,824926.1169078633,910263.3014155733,5606653.022156548,3282637.030729912,756656.3693016954,4568383.943979409,290146.427326214,139384.0680292597,0.0,5495714.682296525,2838883.67128982,1996890.117480414,236099.5438046643,0.0,978533.0490217413,1561670.476491093,62580.60197232067,1302814.350151039,295835.5729600613,79648.03887386266,910263.3014155733,0.0,631495.165357054,287301.8545092903,1857506.049451154,722521.4954986114,625806.0197232066,133694.9223954123,341348.7380308401,841993.5538094053,51202.310704626,989911.340289436,341348.7380308401,99560.04859232834,14222.86408461833,1140673.699586391
sample190,167256867.7635484,71120861.37486665,21446554.98093337,1345151.271593236,259692.9786806898,17653286.75301318,14356061.29335948,1540650.480262969,1032936.117449036,4671555.717615554,233431.8909489347,49604.27682664862,14589.49318430842,916220.1719745685,323886.7486916468,1957909.98533419,207170.8032171795,0.0,566072.3355511666,3352665.533754074,102126.4522901589,405587.910523774,248021.3841332431,0.0,1520225.189804937,0.0,350147.836423402,373491.0255182955,177991.8168485627,446438.4914398375,399752.1132500506,131305.4386587757,110880.148200744,233431.8909489347,40850.58091606357,1998760.566250253,452274.2887135609,452274.288713561,32096.88500547852,767407.3414946226
sample201,137016658.1504475,19375096.9686587,18767841.04973744,1531115.351126257,432518.4607701291,2224874.962201544,2856351.914925933,12164149.19069911,541513.1128842017,2366741.017334146,60552.58450781807,60552.58450781807,5190.221529241549,520752.2267672354,164357.0150926491,1155689.327177785,117645.0213294751,0.0,256050.9287759165,7605404.614181952,181657.7535234542,916939.1368326739,2138371.270047518,31141.3291754493,1823497.830606864,20760.88611696619,193768.2704250179,110724.725957153,299302.7748529293,147056.2766618439,349474.9163022643,2454974.783331253,133215.6859171998,129755.5382310387,185117.9012096153,2081278.833225861,230099.8211297087,742201.6786815416,342554.6209299422,342554.6209299422
sample202,142401328.8162226,15832031.79437812,18044612.82752385,2040598.751966715,1453153.65670357,2517897.89186802,17947993.56843452,16400153.0378234,2075381.685238875,5511162.538455559,139131.7330886397,61836.32581717319,7729.540727146648,1068609.005528024,888897.1836218644,1111121.479527331,255074.8439958394,0.0,705320.5913521318,3905350.452390844,210629.9848147461,743968.2949878647,519811.6139006121,83092.56281682647,1750740.974698716,27053.39254501327,685996.739534265,170049.8959972263,409665.6585387723,805804.620805038,173914.6663607996,139131.7330886397,309181.6290858659,326573.0957219459,90822.1035439731,2597125.684321274,991313.5982565576,278263.4661772793,767156.9171693047,1134310.10170877
sample203,36104214.45755277,28916463.73957343,42491874.79574796,2055198.145622445,306973.4518355559,1265993.349236708,14751054.06320432,321124.710253507,268873.9099410721,8634444.751629889,74021.96710928298,57693.59201164703,10885.58339842397,33745.3085351143,228597.2513669034,2283795.396989349,155663.8425974628,0.0,278670.9349996536,1294295.86607261,784850.5630263682,729334.0876944057,140424.0258396692,51162.24197259265,371198.3938862573,14151.25841795116,205737.526230213,104501.6006248701,77287.64212881017,170903.6593552563,343984.4353901974,31568.19185542951,74021.967109283,116475.7423631365,26125.40015621753,696677.337499134,107767.2756443973,566050.3367180463,250368.4181637513,89261.78386707655
sample205,141675875.2229587,15165619.07148554,23618221.46573997,903246.4299928887,506582.6538584455,966967.5185285421,12914671.61896358,8372951.033584873,858641.6680179313,1835167.349826821,121070.0682177417,89209.52394991492,17523.29934730472,406221.9394147912,143372.4492052204,939886.0559008894,176826.0206864385,0.0,246919.2180756574,8530660.727710616,47790.81640174014,520919.8987789675,248512.2452890487,15930.27213391338,1701353.063901949,0.0,374361.3951469644,100360.7144436543,125849.1498579157,266035.5446363534,802885.7155492343,363210.204653225,170453.9118328732,111511.9049373937,57348.97968208817,1962609.526898128,460384.8646700967,156116.6669123511,423745.2387620959,264442.5174229621
sample216,154480291.0753072,17605117.96116867,31633783.9227296,2135753.315878907,6781181.743413668,4995155.283584962,17387363.50362797,10439016.72210226,2709833.249395276,10494005.22148122,470701.5546839198,162765.9581617293,0.0,18396952.35222572,3418085.121396315,1645255.901418561,640066.1327711246,0.0,2263326.6344381,11743343.92737125,527889.5940380408,1060178.268026399,2951782.646662712,147369.1783356198,3699626.238216603,387119.0356278967,1865209.898934411,162765.9581617293,1678249.001045938,2474482.472053317,252947.0971432279,292538.816696081,851221.970386341,560882.6936654184,90181.13898149865,1528680.28273516,2714232.329345594,202357.6777145823,2232533.074785881,587277.1733673204
sample217,169199301.974709,20630686.9857591,22446663.76228335,1089235.829313485,490331.2414916009,462312.3134063666,16622229.08656527,13732777.12777548,486828.8754809466,2120682.619451174,49033.12414916009,141845.8234314988,0.0,483326.5094702923,609411.6858538468,1376429.842187137,197883.6796019675,0.0,355490.1500814107,731994.4962267469,1246842.299792928,1409702.319288353,112075.7123409373,190878.9475806589,7030999.766388491,178620.6665433689,229404.9736978561,117329.2613569188,336227.137022812,201386.0456126218,246916.8037511276,194381.3135913132,227653.790692529,105070.9803196288,106822.1633249559,2057640.031259397,1304631.338968724,486828.8754809466,171615.9345220603,208390.7776339304
sample218,78472063.44359718,22515853.55888126,55541784.55846066,1831006.441455121,1710446.346544496,3540196.953677632,6498942.616275894,4455700.174405192,286330.225412735,5284550.82691574,57768.37881134127,106745.9173687828,5023.33728794272,522427.0779460428,223538.509313451,1784540.571541651,173305.1364340238,0.0,475961.2080325727,696988.0487020523,1993009.068991274,1416581.115199847,105490.0830467971,91675.90550495464,3783828.812142853,141909.2783843818,185863.4796538806,52745.04152339856,59024.21313332696,283818.5567687636,528706.2495559712,501077.8944722863,193398.4855857947,85396.73389502623,13814.17754184248,818803.9779346633,216003.503381537,1661468.807987055,498566.225828315,202189.3258396945
