SampleID,Muribaculaceae,Bacteroides_dash_acidifaciens,Akkermansia_dash_muciniphila,Faecalibaculum,Parasutterella,Bacteroides_dash_uniformis,Bacteroides,Alloprevotella,Clostridia_dash_UCG_dash_014,Lachnospiraceae_dash_NK4A136_dash_group,Lachnospiraceae,Escherichia_dash_Shigella,Parabacteroides_dash_goldsteinii,Desulfovibrionaceae,Mucispirillum_dash_schaedleri,Helicobacter_dash_ganmani,Oscillospiraceae,Lachnospiraceae_dash_bacterium_dash_10_dash_1,Muribaculum,Roseburia,Lachnoclostridium,Lachnospiraceae_dash_bacterium_dash_28_dash_4,Ruminococcus_dash_sp_dot__dash_N15_dot_MGS_dash_57,Rikenellaceae_dash_RC9_dash_gut_dash_group,Colidextribacter,Clostridia_dash_vadinBB60_dash_group,Oscillibacter,Alistipes,Bacteroides_dash_vulgatus_dash_ATCC_dash_8482,Parabacteroides,Dubosiella_dash_newyorkensis,Lactobacillus,Gastranaerophilales,Anaerotruncus,Desulfovibrio,Ruminococcaceae,Helicobacter_dash_mastomyrinus,Peptococcaceae,mouse_dash_gut_dash_metagenome,Bifidobacterium_dash_choerinum
sample141,25580567.3915693,731117.1952439181,2803564.186431445,15034841.93332337,6520313.663420469,19913.69792493162,379782.6675683388,684177.764420865,187757.7232922124,578919.6468176551,1514863.449289441,24180.91890884555,25603.32590348351,217628.2701796099,472239.1222198071,9956.84896246581,1039779.513080358,51206.65180696703,445213.3893216855,482195.9711822729,371248.225600511,129439.0365120556,9956.84896246581,4127825.098439398,460859.8662627033,374093.039589787,140818.2924691594,1473613.64644494,38404.98885522527,193447.3512707643,116637.3735603138,1069650.059967756,247498.8170670073,344222.4927023895,0.0,641505.5545817259,0.0,46939.43082305311,207671.4212171441,98146.08263002014
sample143,27650502.23289305,19190045.10245345,372148.6085382823,7158633.908062239,401418.7238165742,27876.30026503987,2028000.844281651,39828264.00367571,1076025.190230539,1998730.729003359,6340464.49528332,98960.86594089156,117080.4611131675,6668011.023397538,257855.7774516188,3607193.25429616,1266977.847046063,158894.9115107273,381905.3136310462,485047.6246116938,419538.3189888501,238342.3672660909,25088.67023853589,5711853.92430667,827926.1178716843,2080965.814785226,568676.5254068135,9869604.108837368,61327.86058308772,7668770.202912469,0.0,565888.8953803094,231373.2921998309,970095.2492233876,33451.56031804785,682969.3564934769,1063480.855111271,131018.6112456874,271793.9275841388,0.0
sample144,20189747.63144723,5359602.173650444,59678.65375370943,2648814.093530026,103289.9776506509,34429.99255021698,1315225.715418288,2598316.771123041,1407039.028885534,3550879.898345712,8983932.722769953,199693.9567912585,64269.31942707169,28349655.86584866,2419280.809861913,14800306.13091994,3445294.587858379,87222.64779388302,174445.295587766,936495.7973659018,596786.5375370943,229533.2836681132,0.0,2336648.827741392,1744452.95587766,142310.6358742302,2189747.5261938,6002295.367921161,50497.3224069849,573833.209170283,4590.665673362264,59678.65375370943,48201.98957030378,2947207.362298573,135424.6373641868,1223412.401951043,518745.2210899358,144605.9687109113,0.0,0.0
sample145,44612502.02988564,3589337.49680049,627965.7065227876,10757911.16536357,79127.04613021718,40405.30015160027,3833452.851883075,21337365.58839091,1880530.011222396,2452938.430036732,2707155.110157218,89228.37116811726,63975.05857336709,7579360.886771017,629649.2606957707,3591021.050973474,1769415.435805495,6638254.104073327,267685.1135043518,750865.1611505717,331660.1720777188,95962.58786005064,8417.770864916722,4708901.021834414,1070740.454017407,1114512.862514974,309773.9678289354,7808324.254296753,38721.74597861692,486547.1559921866,0.0,31987.52928668354,1188589.246126241,582509.7438522372,43772.40849756695,590927.514717154,474762.2767813031,109431.0212439174,74076.38361126716,0.0
sample156,62930191.39783816,63283030.59745228,252027.99972435,57628002.33697066,8175308.257725106,67207.46659315999,1785798.398046823,184820.53313119,81609.06657740856,10227536.25548053,3497188.529508362,103211.4665537814,50405.59994487,352839.19961409,4738126.394817781,33603.73329657999,2138637.597660913,96010.66656165714,806489.59911792,1502566.931689934,1188131.998700507,6286298.393124501,0.0,184820.53313119,703278.1325641385,31203.46663253857,412845.8662151257,211223.4664356457,96010.66656165714,45605.06661678715,33603.73329658,453650.39950383,16801.86664829,1032114.665537814,14401.59998424857,228025.3330839357,0.0,110412.2665459057,1101722.398795016,48005.33328082857
sample158,71545994.19082692,68731570.93161395,33549.41633498892,193841.0721577138,193841.0721577138,41004.84218720868,4264503.587469703,1293516.385360128,85737.39730052724,6784437.525519983,5971796.107628029,141653.0911921755,186385.646305494,342949.5892021089,6061261.217854666,0.0,3530144.141026056,78281.97144830748,361588.1538326584,1218962.126837931,3798539.471705968,6754615.822111104,0.0,689626.8913303278,1017665.628827997,22366.27755665928,909561.9539708109,670988.3266997784,119286.8136355162,1588005.706522809,0.0,0.0,26093.99048276916,2087519.238621533,0.0,559156.9389164821,0.0,562884.6518425919,1476174.318739512,0.0
sample171,118385915.2996804,26425959.90078297,16002807.2713411,74746273.63067076,11998665.46913968,38986.48948306087,412798.1239382916,4155501.114312135,36693.16657229259,169705.8953968532,339411.7907937065,75679.65605535345,100906.2080738046,73386.33314458517,100906.2080738046,27519.87492921944,82559.62478765831,80266.30187689002,1582392.808430118,119252.7913599509,199519.0932368409,321065.2075075601,0.0,135306.0517353289,57333.07276920717,16053.26037537801,103199.5309845729,431144.7072244379,0.0,188052.4786829995,472424.5196182671,1135194.840830302,0.0,75679.65605535345,0.0,22933.22910768287,0.0,103199.5309845729,220158.9994337555,1467726.662891703
sample173,76648038.66869481,178439924.357113,63721.3033560551,59168126.58897698,3637907.137054782,81099.84063497922,1396075.828073571,14192472.11112136,86892.6863946206,1036919.390975806,6815283.036218075,130339.0295919309,139028.298231393,304124.4023811721,49239.18895695167,8689.26863946206,379431.3972565099,338881.4769390203,2983315.566215307,101374.800793724,364949.2828574065,324399.3625399169,34757.07455784824,104271.2236735447,249092.367664579,0.0,179578.2185488826,240403.099025117,0.0,251988.7905443997,14482.11439910343,23171.38303856549,269367.3278233238,327295.7854197376,0.0,28964.22879820687,0.0,367845.7057372272,608248.8047623441,0.0
sample175,141721859.1643604,22963033.88569254,20610536.42244468,76802596.9765133,14666854.90357101,34240.11718768295,682788.219213207,12860185.19078562,96677.97794169303,525686.5050579559,4503582.472450534,0.0,100706.2270225969,545827.7504624752,1703949.36122234,0.0,300104.5565273388,181271.2086406744,1871121.698079851,255793.8166373961,962751.5303360265,189327.7068024822,14098.87178316357,104734.4761035008,491446.3878702729,38268.36626858683,416923.7798735512,449149.7725207822,0.0,336358.7982554737,696887.0909963707,370598.9154431567,0.0,223567.8239901651,0.0,70494.35891581784,0.0,505545.2596534365,1158121.610759865,394768.4099285799
sample186,204296806.0441246,751422.708710183,7328876.152286652,41739026.7264883,11787317.5573004,0.0,0.0,26765676.88425672,3000681.350115998,1137153.032514744,4688877.702351542,90170.72504522196,105199.1792194256,220417.3278883204,26941008.84962243,30056.90834840732,1001896.944946911,240455.2667872586,1743300.684207625,1507854.902145101,3702009.211578835,4894266.576065659,30056.90834840732,115218.1486688947,1653129.959162403,25047.42362367277,796508.071232794,345654.4460066842,0.0,220417.3278883203,631195.0753165537,1092067.669992133,85161.24032048741,736394.2545359795,0.0,611157.1364176155,0.0,75142.2708710183,345654.4460066842,1643110.989712934
