SampleID,Muribaculaceae,Akkermansia_dash_muciniphila,Bacteroides_dash_acidifaciens,Faecalibaculum,Parasutterella,Bacteroides_dash_uniformis,Bacteroides,Alloprevotella,Clostridia_dash_UCG_dash_014,Lachnospiraceae_dash_NK4A136_dash_group,Lachnospiraceae,Parabacteroides_dash_goldsteinii,Desulfovibrionaceae,Mucispirillum_dash_schaedleri,Oscillospiraceae,Helicobacter_dash_ganmani,Lachnospiraceae_dash_bacterium_dash_10_dash_1,Muribaculum,Colidextribacter,Escherichia_dash_Shigella,Lachnoclostridium,Clostridia_dash_vadinBB60_dash_group,Bacteroides_dash_vulgatus_dash_ATCC_dash_8482,Oscillibacter,Roseburia,Alistipes,Rikenellaceae_dash_RC9_dash_gut_dash_group,Dubosiella_dash_newyorkensis,Bacteroides_dash_caecimuris,Lachnospiraceae_dash_bacterium_dash_28_dash_4,Parabacteroides,Lactobacillus,Ruminococcaceae,Bilophila,Gastranaerophilales,Anaerotruncus,mouse_dash_gut_dash_metagenome,Ruminococcus_dash_sp_dot__dash_N15_dot_MGS_dash_57,Desulfovibrio,Bifidobacterium_dash_choerinum
sample141,25580567.3915693,2803564.186431445,731117.1952439181,15034841.93332337,6520313.663420469,19913.69792493162,379782.6675683388,684177.764420865,187757.7232922124,578919.6468176551,1514863.449289441,25603.32590348351,217628.2701796099,472239.1222198071,1039779.513080358,9956.84896246581,51206.65180696703,445213.3893216855,460859.8662627033,24180.91890884555,371248.225600511,374093.039589787,38404.98885522527,140818.2924691594,482195.9711822729,1473613.64644494,4127825.098439398,116637.3735603138,120904.5945442277,129439.0365120556,193447.3512707643,1069650.059967756,641505.5545817259,236119.5611099036,247498.8170670073,344222.4927023895,207671.4212171441,9956.84896246581,0.0,98146.08263002014
sample142,12217695.66402239,124022.6010347698,1518836.024046659,8628681.436921425,1957323.513961059,17045.760331793,269793.2411135513,1537645.138895534,520777.3673782275,946921.3756730525,687708.2616619935,7641.202907355483,161640.8307325198,161053.0458934925,710631.87038406,0.0,37030.44485872273,362663.2456798718,414388.3115142781,24686.96323914848,122259.2465176877,2041376.745941969,17633.54517082035,347968.6247041881,214541.4662449809,1714568.375442765,2091338.457259293,18221.33000984769,114030.2587713049,1921468.63878039,98747.85295659392,606006.1690371926,432021.8566850985,317403.8130747663,39969.36905385945,161053.0458934925,108152.4103810315,3526.70903416407,4114.493873191414,38206.01453677742
sample143,27650502.23289305,372148.6085382823,19190045.10245345,7158633.908062239,401418.7238165742,27876.30026503987,2028000.844281651,39828264.00367571,1076025.190230539,1998730.729003359,6340464.49528332,117080.4611131675,6668011.023397538,257855.7774516188,1266977.847046063,3607193.25429616,158894.9115107273,381905.3136310462,827926.1178716843,98960.86594089156,419538.3189888501,2080965.814785226,61327.86058308772,568676.5254068135,485047.6246116938,9869604.108837368,5711853.92430667,0.0,489229.0696514498,238342.3672660909,7668770.202912469,565888.8953803094,682969.3564934769,96173.23591438757,231373.2921998309,970095.2492233876,271793.9275841388,25088.67023853589,33451.56031804785,0.0
sample145,44612502.02988564,627965.7065227876,3589337.49680049,10757911.16536357,79127.04613021718,40405.30015160027,3833452.851883075,21337365.58839091,1880530.011222396,2452938.430036732,2707155.110157218,63975.05857336709,7579360.886771017,629649.2606957707,1769415.435805495,3591021.050973474,6638254.104073327,267685.1135043518,1070740.454017407,89228.37116811726,331660.1720777188,1114512.862514974,38721.74597861692,309773.9678289354,750865.1611505717,7808324.254296753,4708901.021834414,0.0,127950.1171467342,95962.58786005064,486547.1559921866,31987.52928668354,590927.514717154,114481.6837628674,1188589.246126241,582509.7438522372,74076.38361126716,8417.770864916722,43772.40849756695,0.0
sample156,62930191.39783816,252027.99972435,63283030.59745228,57628002.33697066,8175308.257725106,67207.46659315999,1785798.398046823,184820.53313119,81609.06657740856,10227536.25548053,3497188.529508362,50405.59994487,352839.19961409,4738126.394817781,2138637.597660913,33603.73329657999,96010.66656165714,806489.59911792,703278.1325641385,103211.4665537814,1188131.998700507,31203.46663253857,96010.66656165714,412845.8662151257,1502566.931689934,211223.4664356457,184820.53313119,33603.73329658,4728525.328161614,6286298.393124501,45605.06661678715,453650.39950383,228025.3330839357,1644182.664868379,16801.86664829,1032114.665537814,1101722.398795016,0.0,14401.59998424857,48005.33328082857
sample157,99956825.00972195,424301.5026558482,33289220.06706427,59140865.24337132,8455283.567417268,2902468.250051599,4442867.183606528,4246089.675128452,199852.1570480445,5214603.974668975,3163813.378499043,92239.45709909743,107612.699948947,3511248.666905643,728691.7110828699,15373.24284984958,116836.6456588568,1890908.870531498,578033.931154344,153732.4284984957,396629.665526119,1383591.856486462,249046.5341675631,304390.2084270216,501167.7169050961,876274.8424414257,1097649.53947926,0.0,37304711.09944498,153732.4284984957,344360.6398366304,488869.1226252164,473495.8797753669,393555.0169561491,43045.0799795788,236747.9398876835,172180.3199183152,18447.89141981949,0.0,0.0
sample158,71545994.19082692,33549.41633498892,68731570.93161395,193841.0721577138,193841.0721577138,41004.84218720868,4264503.587469703,1293516.385360128,85737.39730052724,6784437.525519983,5971796.107628029,186385.646305494,342949.5892021089,6061261.217854666,3530144.141026056,0.0,78281.97144830748,361588.1538326584,1017665.628827997,141653.0911921755,3798539.471705968,22366.27755665928,119286.8136355162,909561.9539708109,1218962.126837931,670988.3266997784,689626.8913303278,0.0,11246509.89807351,6754615.822111104,1588005.706522809,0.0,559156.9389164821,1602916.558227248,26093.99048276916,2087519.238621533,1476174.318739512,0.0,0.0,0.0
sample171,118385915.2996804,16002807.2713411,26425959.90078297,74746273.63067076,11998665.46913968,38986.48948306087,412798.1239382916,4155501.114312135,36693.16657229259,169705.8953968532,339411.7907937065,100906.2080738046,73386.33314458517,100906.2080738046,82559.62478765831,27519.87492921944,80266.30187689002,1582392.808430118,57333.07276920717,75679.65605535345,199519.0932368409,16053.26037537801,0.0,103199.5309845729,119252.7913599509,431144.7072244379,135306.0517353289,472424.5196182671,421971.4155813648,321065.2075075601,188052.4786829995,1135194.840830302,22933.22910768287,75679.65605535345,0.0,75679.65605535345,220158.9994337555,0.0,0.0,1467726.662891703
sample172,156657662.6674103,1967482.699156758,2789365.325769773,88660813.14966089,15067248.67782022,35968.60510341422,314725.2946548745,6121856.5886011,59348.19842063347,1480108.100005496,2215666.074370316,62945.05893097489,77332.50097234058,787712.4517647716,257175.5264894117,14387.44204136569,109704.2455654134,1746275.777770761,196028.8978136075,39565.46561375564,188835.1767929247,32371.7445930728,0.0,197827.3280687783,133083.8388826326,221206.9213859975,131285.4086274619,339903.3182272644,1294869.783722912,143874.4204136569,242788.084448046,1061073.85055072,46759.18663443849,113301.1060757548,79130.93122751129,151068.1414343397,857851.2317164293,32371.7445930728,0.0,956764.8957508184
sample173,76648038.66869481,63721.3033560551,178439924.357113,59168126.58897698,3637907.137054782,81099.84063497922,1396075.828073571,14192472.11112136,86892.6863946206,1036919.390975806,6815283.036218075,139028.298231393,304124.4023811721,49239.18895695167,379431.3972565099,8689.26863946206,338881.4769390203,2983315.566215307,249092.367664579,130339.0295919309,364949.2828574065,0.0,0.0,179578.2185488826,101374.800793724,240403.099025117,104271.2236735447,14482.11439910343,477909.7751704133,324399.3625399169,251988.7905443997,23171.38303856549,28964.22879820687,897891.0927444127,269367.3278233238,327295.7854197376,608248.8047623441,34757.07455784824,0.0,0.0
