,Mouse,Vendor_stringent,Vendor_loose
Lachnospiraceae-bacterium-3-2,0.0,0.0,0.0
Bacteroides-sp.-Smarlab-3302398,0.0,0.0,0.0
Turicimonas-muris,0.0,0.0,0.0
Rikenellaceae-bacterium-DTU002,0.017241379310344827,0.0,0.25
Clostridium-sp.-Clone-49,0.017241379310344827,0.0,0.25
Endozoicomonas,0.017241379310344827,0.0,0.25
Pseudomonas,0.017241379310344827,0.0,0.25
Elizabethkingia,0.017241379310344827,0.0,0.25
Nostoc-PCC-73102,0.017241379310344827,0.0,0.25
Bosea,0.017241379310344827,0.0,0.25
Bradyrhizobium,0.017241379310344827,0.0,0.25
Burkholderiales,0.017241379310344827,0.0,0.25
Dialister-sp.-Marseille-P5638,0.017241379310344827,0.0,0.25
Dialister-invisus-DSM-15470,0.017241379310344827,0.0,0.25
Lachnospiraceae-bacterium-COE1,0.017241379310344827,0.0,0.25
Vagococcus,0.017241379310344827,0.0,0.25
Nostocaceae,0.017241379310344827,0.0,0.25
Rhodococcus,0.017241379310344827,0.0,0.25
Candidatus-Stoquefichus,0.017241379310344827,0.0,0.25
Catenibacterium,0.017241379310344827,0.0,0.25
Desmonostoc-PCC-7422,0.017241379310344827,0.0,0.25
Corynebacterium-tuberculostearicum,0.017241379310344827,0.0,0.25
Coprococcus,0.017241379310344827,0.0,0.25
[Clostridium]-aldenense,0.017241379310344827,0.0,0.25
Clostridiales-bacterium-CIEAF-026,0.017241379310344827,0.0,0.25
Clostridium-isatidis,0.017241379310344827,0.0,0.25
Xanthobacteraceae,0.017241379310344827,0.0,0.25
Muribaculum-intestinale,0.017241379310344827,0.0,0.25
Bacteroides-coprocola-DSM-17136,0.017241379310344827,0.0,0.25
Oxalobacter-formigenes,0.017241379310344827,0.0,0.25
metagenome,0.017241379310344827,0.0,0.25
Megasphaera,0.017241379310344827,0.0,0.25
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.017241379310344827,0.0,0.25
Alteromonas,0.017241379310344827,0.0,0.25
Klebsiella,0.017241379310344827,0.0,0.25
Sphingopyxis,0.017241379310344827,0.0,0.25
Subgroup-2,0.017241379310344827,0.0,0.25
Providencia,0.017241379310344827,0.0,0.25
Lachnospiraceae-AC2044-group,0.017241379310344827,0.0,0.25
Anaerotruncus-sp.-G3(2012),0.017241379310344827,0.0,0.25
Faecalitalea,0.017241379310344827,0.0,0.25
Mucilaginibacter,0.017241379310344827,0.0,0.25
UCG-007,0.017241379310344827,0.0,0.25
human-gut-metagenome,0.017241379310344827,0.0,0.25
Ruminiclostridium,0.017241379310344827,0.0,0.25
Streptococcus-danieliae,0.017241379310344827,0.0,0.25
Erysipelatoclostridium-ramosum,0.017241379310344827,0.0,0.25
Acetatifactor-muris,0.034482758620689655,0.0,0.5
Adlercreutzia-mucosicola,0.034482758620689655,0.0,0.5
Corynebacterium-propinquum,0.034482758620689655,0.0,0.5
Cetobacterium,0.034482758620689655,0.0,0.5
Clostridium-sp.-ND2,0.034482758620689655,0.0,0.25
Collinsella,0.034482758620689655,0.0,0.5
Bacteroides-caccae,0.034482758620689655,0.0,0.25
Leuconostoc,0.034482758620689655,0.0,0.5
Morganella,0.034482758620689655,0.0,0.25
Dielma,0.034482758620689655,0.0,0.25
[Eubacterium]-hallii-group,0.034482758620689655,0.0,0.5
[Eubacterium]-oxidoreducens-group,0.034482758620689655,0.0,0.5
Parabacteroides-sp.-CT06,0.034482758620689655,0.0,0.25
Candidatus-Soleaferrea,0.05172413793103448,0.0,0.5
Anaerofustis,0.05172413793103448,0.0,0.5
Chloroplast,0.05172413793103448,0.0,0.25
Romboutsia,0.05172413793103448,0.0,0.25
Akkermansia,0.05172413793103448,0.0,0.5
Lactobacillus-mucosae-LM1,0.05172413793103448,0.0,0.75
Paraprevotella,0.05172413793103448,0.0,0.5
Anaerovoracaceae,0.05172413793103448,0.0,0.75
UCG-003,0.06896551724137931,0.0,0.25
Micrococcaceae,0.06896551724137931,0.0,0.75
Rikenella-sp.-Marseille-P3215,0.06896551724137931,0.0,0.5
