,PerturbationType,SCFA,Permutation,PredictionType,SampleID,Day,ObservedValue,PredictedValue
0,intrapolation,Acetate,A,train,sample428,1,17.811333800000003,18.867939709573022
1,intrapolation,Acetate,A,train,sample533,31,20.08448772,19.104907124363773
2,intrapolation,Acetate,A,train,sample504,19,20.94268574,22.13741977254018
3,intrapolation,Acetate,A,train,sample232,19,12.61188283,15.307709486177359
4,intrapolation,Acetate,A,train,sample306,3,8.261241245,11.661814703286083
5,intrapolation,Acetate,A,train,sample114,25,7.618579932,10.12979195611995
6,intrapolation,Acetate,A,train,sample384,25,9.721254351,12.045013841949991
7,intrapolation,Acetate,A,train,sample442,3,16.81866277,17.731712690120265
8,intrapolation,Acetate,A,train,sample444,3,18.8995687,18.712956747050285
9,intrapolation,Acetate,A,train,sample129,31,17.35060173,18.033678296888887
10,intrapolation,Acetate,A,train,sample235,19,10.87206938,13.11261193643446
11,intrapolation,Acetate,A,train,sample189,5,19.45946,18.910236743337226
12,intrapolation,Acetate,A,train,sample263,31,20.04828756,19.58537408403316
13,intrapolation,Acetate,A,train,sample111,25,9.462275293,11.246850027349087
14,intrapolation,Acetate,A,train,sample233,19,21.57232377,20.08979635732631
15,intrapolation,Acetate,A,train,sample100,19,11.96629649,12.279494467545582
16,intrapolation,Acetate,A,train,sample190,5,17.0320859,16.717576616471277
17,intrapolation,Acetate,A,train,sample203,8,17.18006479,16.240655149931104
18,intrapolation,Acetate,A,train,sample234,19,15.65832907,16.468119664262193
19,intrapolation,Acetate,A,train,sample50,2,19.72580406,19.580591792903718
20,intrapolation,Acetate,A,train,sample534,31,16.09628442,17.238797758421793
21,intrapolation,Acetate,A,train,sample49,2,24.84679066,23.371092016479466
22,intrapolation,Acetate,A,train,sample474,8,24.88397714,23.69566531412716
23,intrapolation,Acetate,A,train,sample340,8,15.30084467,17.042143308006196
24,intrapolation,Acetate,A,train,sample173,3,39.04876247,29.564082461850084
25,intrapolation,Acetate,A,train,sample217,13,24.02425479,21.098745337962296
26,intrapolation,Acetate,A,train,sample188,5,9.663097181,12.10911635115523
27,intrapolation,Acetate,A,train,sample295,1,13.62001579,14.42495743799982
28,intrapolation,Acetate,A,train,sample248,25,14.55195495,17.048810947513218
29,intrapolation,Acetate,A,train,sample489,13,28.78480452,26.60575632659173
30,intrapolation,Acetate,A,train,sample355,13,15.27822304,15.663979105443138
31,intrapolation,Acetate,A,train,sample187,5,19.99590757,19.009796888181366
32,intrapolation,Acetate,A,train,sample46,2,22.54448084,23.900017213068114
33,intrapolation,Acetate,A,train,sample77,10,20.82558616,20.866918172596865
34,intrapolation,Acetate,A,train,sample294,1,10.42595445,12.796699924456908
35,intrapolation,Acetate,A,train,sample130,31,20.42398697,17.444994245414954
36,intrapolation,Acetate,A,train,sample85,13,11.69306023,12.807579847690638
37,intrapolation,Acetate,A,train,sample115,25,8.540466251,10.131519914324775
38,intrapolation,Acetate,A,train,sample443,3,28.75503596,26.08785282926775
39,intrapolation,Acetate,A,train,sample220,13,16.04894579,16.149169465435126
40,intrapolation,Acetate,A,train,sample400,31,13.71700614,13.579526968500396
41,intrapolation,Acetate,A,train,sample429,1,16.72714724,19.508323316082944
42,intrapolation,Acetate,A,train,sample325,5,26.87123811,23.560768895373073
43,intrapolation,Acetate,A,train,sample503,19,22.54397974,22.81204230023608
44,intrapolation,Acetate,A,train,sample79,10,33.25644024,28.337975682854328
45,intrapolation,Acetate,A,train,sample99,19,14.54726157,14.007320651961308
46,intrapolation,Acetate,A,train,sample381,25,25.93236886,20.56802355040621
47,intrapolation,Acetate,A,train,sample457,5,22.8096488,24.111366056998616
48,intrapolation,Acetate,A,train,sample310,3,18.55502879,17.14977392260608
49,intrapolation,Acetate,A,train,sample218,13,17.07292161,16.796646131651958
50,intrapolation,Acetate,A,train,sample64,5,15.46261501,16.969983418738295
51,intrapolation,Acetate,A,train,sample321,5,10.13818134,13.019826871190581
52,intrapolation,Acetate,A,train,sample81,13,8.742147761,12.258616491884721
53,intrapolation,Acetate,A,train,sample264,31,22.83638541,21.009434430436265
54,intrapolation,Acetate,A,train,sample324,5,10.32813501,12.239263252482411
55,intrapolation,Acetate,A,train,sample61,5,34.21815823,29.12407973126876
56,intrapolation,Acetate,A,train,sample309,3,15.74001749,15.252601660372784
57,intrapolation,Acetate,A,train,sample339,8,23.14334656,19.954735388348432
58,intrapolation,Acetate,A,train,sample80,10,21.94218769,20.40976840722235
59,intrapolation,Acetate,A,train,sample265,31,11.09942031,13.67153905397622
60,intrapolation,Acetate,A,train,sample369,19,20.16950965,17.64261197801423
61,intrapolation,Acetate,A,train,sample219,13,19.24264988,18.090563062823627
62,intrapolation,Acetate,A,train,sample427,1,11.41002514,13.685282122357005
63,intrapolation,Acetate,A,train,sample472,8,12.14457736,13.588294933123258
64,intrapolation,Acetate,A,train,sample488,13,14.790116399999999,17.19362464271777
65,intrapolation,Acetate,A,train,sample127,31,19.74850845,17.366030769430537
66,intrapolation,Acetate,A,train,sample291,1,19.0853365,17.872939187497412
67,intrapolation,Acetate,A,train,sample502,19,23.61627417,23.163197110262693
68,intrapolation,Acetate,A,train,sample458,5,36.58682027,30.22880195564326
69,intrapolation,Acetate,A,train,sample385,25,13.40507666,14.194290759653812
70,intrapolation,Acetate,A,train,sample157,1,21.18045108,20.56407111802808
71,intrapolation,Acetate,A,train,sample459,5,33.14642625,29.31724057355014
72,intrapolation,Acetate,A,train,sample47,2,26.39183115,25.2253937475019
73,intrapolation,Acetate,A,train,sample112,25,8.043746032,10.536399139471552
74,intrapolation,Acetate,A,train,sample82,13,8.847588219,13.021592449191392
75,intrapolation,Acetate,A,train,sample336,8,26.51985873,22.269318962193918
76,intrapolation,Acetate,A,train,sample473,8,13.65093667,15.774583068275478
77,intrapolation,Acetate,A,train,sample205,8,16.86592811,17.032392860452354
78,intrapolation,Acetate,A,train,sample517,25,20.395614899999998,22.289149076476612
79,intrapolation,Acetate,A,train,sample354,13,9.770949957000001,12.90591235638041
80,intrapolation,Acetate,A,train,sample126,31,10.42483248,12.532065690723051
81,intrapolation,Acetate,A,train,sample351,13,16.1720715,15.708177767416368
82,intrapolation,Acetate,A,train,sample158,1,36.22477671,30.8746701326083
83,intrapolation,Acetate,A,train,sample175,3,18.56934828,17.898068226085538
84,intrapolation,Acetate,A,train,sample202,8,16.02339091,16.168589577640653
85,intrapolation,Acetate,A,train,sample262,31,13.88256768,14.930521301250822
86,intrapolation,Acetate,A,train,sample518,25,28.13967236,24.85322906163913
87,intrapolation,Acetate,A,train,sample84,13,9.274994238,13.087837770877409
88,intrapolation,Acetate,A,train,sample76,10,33.06675175,28.543266645149156
89,intrapolation,Acetate,A,train,sample97,19,14.34710811,14.109997170650539
90,intrapolation,Acetate,A,train,sample519,25,21.66765592,22.178606575719954
91,intrapolation,Acetate,A,train,sample532,31,12.0489757,15.359729238819376
92,intrapolation,Acetate,A,train,sample96,19,11.23065592,11.871126325266703
93,intrapolation,Acetate,A,train,sample65,5,19.02693735,19.916283142134894
94,intrapolation,Acetate,A,train,sample487,13,14.65566869,16.121619874077695
