,MiceID,Vendor,SCFA,k1,k2,D,H,Ai,R2,zeta
0,HC5,Hunan,Acetate,0.999999985,0.999999955,6.18337E-08,5.629655058,13.45431439,0.209433315,1
1,BC1,Beijing,Acetate,0.999999991,0.999999986,18.61544129,7.258625941,20.20574092,0.796974037,1
2,BC4,Beijing,Acetate,0.378002619,0.378001773,5.79405E-09,1.473896928,16.98093878,0.476754313,1
3,GC5,Guangdong,Acetate,0.498813592,0.498813646,7.052675208,2.49917331,6.596743282,0.240359177,1
4,BC2,Beijing,Acetate,0.241484957,0.241484885,2.147856448,0.381386667,15.78955016,0.45087022,1
5,HC3,Hunan,Acetate,0.142641349,0.142641342,2.827023953,0.058230956,8.04422658,0.326107063,1
6,GC4,Guangdong,Acetate,0.553167064,0.553167228,11.80479565,3.024962562,7.833991732,0.340842198,1
7,SC5,Shanghai,Acetate,1.17914E-08,0.999999996,1.345325973,0.085992274,2.748731818,0.694404585,4604.550852
8,BC5,Beijing,Acetate,0.999999982,0.999999991,3.22489E-07,9.645711336,21.80126454,0.599257432,1
9,SC3,Shanghai,Acetate,0.999999971,0.999999968,4.43013E-08,5.566967441,9.597360306,0.152541617,1
10,BC3,Beijing,Acetate,0.999999977,0.999999954,9.725255389,9.026528516,25.06492835,0.686003431,1
11,SC2,Shanghai,Acetate,1.36812E-06,7.81332E-07,1.02974E-06,0.003150934,5.60243034,0.086816893,1.039484373
12,GC2,Guangdong,Acetate,8.85496E-07,1.13109E-06,0.250532585,0.015413537,7.774054034,0.439798025,1.00749959
13,SC4,Shanghai,Acetate,8.65038E-07,1.36203E-06,6.066E-07,0.020295294,3.767728437,0.689938497,1.025870479
14,HC2,Hunan,Acetate,0.478282477,0.478282472,8.855288012,1.901559065,12.20430058,0.45266625,1
15,HC4,Hunan,Acetate,0.681220355,0.681220347,28.86266816,4.376150066,12.17608755,0.833972412,1
16,SC1,Shanghai,Acetate,0.999999971,0.999999975,1.05416E-08,2.900318397,4.39951647,0.059746845,1
17,HC1,Hunan,Acetate,0.112190743,0.112189702,5.98056E-09,0.062174797,13.56542527,0.093319925,1
18,GC1,Guangdong,Acetate,0.999999937,0.999999935,4.96609E-07,8.747827812,21.06662135,0.151350359,1
19,GC3,Guangdong,Acetate,0.120432296,0.120432329,1.664720294,0.007430188,11.28533398,0.420550536,1
20,HC5,Hunan,Propionate,0.99999997,0.999999972,3.27881E-08,1.515331865,4.196724996,0.402912639,1
21,BC1,Beijing,Propionate,0.999999964,0.999999972,5.315462904,2.264861075,3.297965653,0.754936507,1
22,BC4,Beijing,Propionate,1,0.040017331,0.364717292,0.025288552,3.224844389,0.866897953,2.599480239
23,GC5,Guangdong,Propionate,0.670842037,0.670841997,2.378939934,0.951527428,1.500794639,0.311506244,1
24,BC2,Beijing,Propionate,0.051360862,0.435110568,0.896508437,1.79312E-11,2.520569987,0.458635227,1.627089247
25,HC3,Hunan,Propionate,0.25162147,0.251621426,0.780769256,0.106324039,1.976301111,0.338316197,1
26,GC4,Guangdong,Propionate,0.999999958,0.999999978,4.73667702,2.331390949,1.700130281,0.326104191,1
27,SC5,Shanghai,Propionate,1.43582E-05,0.000171617,4.43963E-09,0.000732914,1.205416254,0.172378578,1.873244294
28,BC5,Beijing,Propionate,0.999999994,0.556107773,4.68314E-09,0.976912836,4.224118899,0.769465661,1.043350415
29,SC3,Shanghai,Propionate,0.999999989,0.999999995,3.68637E-08,1.214509504,2.165910962,0.180368834,1
30,BC3,Beijing,Propionate,0.999999956,0.999999988,2.569878371,1.890820461,5.569482317,0.806844049,1
31,SC2,Shanghai,Propionate,7.3939E-07,3.76368E-07,1.48681E-07,0.001190591,1.296641954,0.126278618,1.05754031
