,MiceID,Vendor,SCFA,k1,k2,D,H,Ai,R2,zeta
0,GI4,Guangdong,Acetate,0.030230439,0.289549076,7.935547409,0.016769895,8.486632204,0.800049328,1.708981351
1,GI3,Guangdong,Acetate,0.426949852,0.426950301,18.90834302,3.734907983,8.612628299,0.499111103,1
2,BI1,Beijing,Acetate,0.574800792,0.574800412,23.76109175,5.388600225,5.233899217,0.476976665,1
3,HI5,Hunan,Acetate,0.235227463,0.23522739,4.650638962,0.662961649,13.79321843,0.544591854,1
4,HI2,Hunan,Acetate,0.390038519,0.390038646,15.52487899,2.133488482,2.061242664,0.924341518,1
5,SI1,Shanghai,Acetate,0.222561148,0.222561155,17.03300103,0.37051636,3.651461181,0.797527854,1
6,SI4,Shanghai,Acetate,0.078489097,0.999999997,18.87516684,0.863936229,7.91718273,0.321107003,1.924780001
7,SI5,Shanghai,Acetate,0.289977203,0.289977207,7.695341602,1.129618413,10.29078305,0.402932624,1
8,HI4,Hunan,Acetate,0.088151698,0.088153014,1.315288092,0.07215377,11.09616374,0.162222313,1
9,GI1,Guangdong,Acetate,3.73339E-09,0.346384662,2.629723636,0.074184121,12.46677302,0.701170983,4816.122891
10,BI4,Beijing,Acetate,3.73769E-09,0.999999982,4.931231263,0.111894517,12.58036796,0.655479303,8178.40469
11,BI2,Beijing,Acetate,0.081103855,0.081103674,1.402770116,0.051137755,13.45982298,0.131237895,1
12,HI1,Hunan,Acetate,0.056068317,0.055967584,1.71015967,5.99787E-10,9.126347802,0.089877595,1.000000404
13,BI3,Beijing,Acetate,0.778250964,0.778252319,45.88832973,10.19195487,18.07537795,0.659019263,1
14,SI2,Shanghai,Acetate,0.306867057,0.30686706,8.59156445,1.202226583,20.0154278,0.65444524,1
15,GI2,Guangdong,Acetate,0.004110715,0.601971524,6.370991986,4.35498E-10,8.106015595,0.404484482,6.091929911
16,SI3,Shanghai,Acetate,0.435770741,0.435770953,16.09861265,1.796866222,5.055756599,0.868570429,1
17,BI5,Beijing,Acetate,1,0.063958356,11.96316115,0.663003274,8.06512734,0.854900063,2.103516811
18,GI4,Guangdong,Propionate,0.01278866,1,10.03110959,2.51761E-10,2.035314656,0.722755114,4.477919874
19,GI3,Guangdong,Propionate,0.373380789,0.373380829,12.66267044,1.361326384,1.962431063,0.676010128,1
20,BI1,Beijing,Propionate,0.245213568,0.846270628,16.61493525,1.071075129,1.930933382,0.945324041,1.198010361
21,HI5,Hunan,Propionate,0.690999339,0.01886406,6.152384857,0.111130049,3.734325454,0.727489619,3.108768564
22,HI2,Hunan,Propionate,0.272388687,0.272388691,7.756707963,0.863733654,1.140311557,0.861352721,1
23,SI1,Shanghai,Propionate,8.51805E-09,0.999999995,2.690372931,0.082091183,0.721203306,0.725644384,5417.513128
24,SI4,Shanghai,Propionate,1.01925E-09,0.999989807,1.672195052,0.073454021,2.166153562,0.610366968,15661.27594
25,SI5,Shanghai,Propionate,1.24583E-06,8.03398E-07,0.040862795,0.011079687,2.170059978,0.877974425,1.024154853
26,HI4,Hunan,Propionate,0.107191101,0.22479782,4.849530248,0.186326865,4.156311869,0.790237331,1.069345834
27,GI1,Guangdong,Propionate,0.328589426,0.328589441,7.188780001,0.91220946,2.244245835,0.85133976,1
28,BI4,Beijing,Propionate,0.173922546,0.031913341,1.810403284,9.609E-12,3.14877291,0.824826735,1.381424083
29,BI2,Beijing,Propionate,0.688378926,1,21.04596661,4.512187267,3.621771332,0.69199864,1.017480615
30,HI1,Hunan,Propionate,0.999999995,0.999999909,20.68847365,6.714218804,3.044433897,0.419534203,1
