Diet,Bacteria,R,Pvalue,Pvalue_corrected
Inulin,A2,0.10976239669421493,0.087354,0.19924564044943818
Inulin,ASF356,0.2636880165289257,0.01175,0.04336818181818182
Inulin,Acetatifactor,0.030991735537190167,0.320406,0.5607105000000001
Inulin,Acetatifactor-muris,0.0366735537190082,0.19147,0.37071666666666664
Inulin,Acutalibacter-muris,-0.007231404958677594,0.509869,0.6900227133333333
Inulin,Akkermansia,0.02195247933884299,0.443831,0.6321902657342657
Inulin,Akkermansia-muciniphila,0.27066115702479343,0.004975,0.021954891304347825
Inulin,Alistipes,0.43595041322314043,3.9e-05,0.0007917
Inulin,Alistipes-inops,0.26497933884297525,0.002387,0.014935878787878788
Inulin,Alistipes-obesi,-0.017561983471074315,1.0,1.0
Inulin,Alistipes-shahii,0.516012396694215,1e-06,6.766666666666667e-05
Inulin,Alistipes-sp.-N15.MGS-157,-0.0038739669421488173,0.575401,0.7173621472392638
Inulin,Alistipes-sp.-cv1,0.31482438016528924,0.001687,0.011809
Inulin,Alloprevotella,0.2572314049586776,0.00426,0.020262232558139536
Inulin,Anaerofilum,0.07515495867768597,0.078421,0.18569779069767445
Inulin,Anaeroplasma,-0.017561983471074315,1.0,1.0
Inulin,Anaerotruncus,-0.023760330578512387,0.529812,0.7122638145695364
Inulin,Anaerotruncus-sp.-G3(2012),0.0005165289256198547,0.444421,0.6321902657342657
Inulin,Anaerovoracaceae,-0.017561983471074315,1.0,1.0
Inulin,Anaerovorax,0.14772727272727268,0.086593,0.19924564044943818
Inulin,Arcobacteraceae,-0.008264462809917304,0.836153,0.9766691666666667
Inulin,Bacillus,-0.017561983471074315,1.0,1.0
Inulin,Bacteria,-0.001549586776859564,0.575423,0.7173621472392638
Inulin,Bacteroidales,-0.017561983471074315,1.0,1.0
Inulin,Bacteroides,0.14462809917355374,0.033223,0.10705188888888889
Inulin,Bacteroides-acidifaciens,0.4266528925619834,7.3e-05,0.0013116923076923075
Inulin,Bacteroides-caecimuris,0.5232438016528925,1e-06,6.766666666666667e-05
Inulin,Bacteroides-nordii,-0.017561983471074315,1.0,1.0
Inulin,Bacteroides-sartorii,0.33109504132231404,0.001025,0.008669791666666668
Inulin,Bacteroides-stercorirosoris,0.29338842975206614,0.008463,0.03455872
Inulin,Bacteroides-uniformis,0.6534090909090909,1e-06,6.766666666666667e-05
Inulin,Bacteroides-vulgatus-ATCC-8482,0.3548553719008264,0.000334,0.003568526315789474
Inulin,Bacteroides-xylanisolvens,0.04648760330578506,0.17911,0.3530032038834951
Inulin,Bifidobacterium,0.1415289256198348,0.069164,0.17333693827160493
Inulin,Bifidobacterium-choerinum,-0.0038739669421488173,0.575059,0.7173621472392638
Inulin,Bilophila,0.45247933884297525,1.6e-05,0.000406
Inulin,Blautia,-0.09245867768595045,0.876893,1.0
Inulin,Brevinema,-0.027376033057851183,0.558846,0.7173621472392638
Inulin,Burkholderiales-bacterium-YL45,-0.001549586776859564,0.501783,0.6882564121621622
Inulin,Butyricicoccus,0.05526859504132241,0.251794,0.4646743818181818
Inulin,Butyricimonas,0.4488636363636364,8e-05,0.0013116923076923075
Inulin,Butyricimonas-synergistica,0.005165289256198361,0.370091,0.631331705882353
Inulin,Butyricimonas-virosa,-0.0020661157024794187,0.566718,0.7173621472392638
Inulin,Candidatus-Gastranaerophilales-bacterium-Zag_111,-0.001549586776859564,0.501576,0.6882564121621622
Inulin,Candidatus-Saccharimonas,0.25878099173553715,0.002854,0.01609338888888889
Inulin,Candidatus-Soleaferrea,0.02195247933884299,0.443675,0.6321902657342657
Inulin,Christensenella-minuta,0.27530991735537197,0.000651,0.0057457826086956525
Inulin,Christensenella-sp.-Marseille-P2437,-0.0038739669421488173,0.57601,0.7173621472392638
Inulin,Christensenellaceae,-0.037706611570247905,0.622522,0.765890703030303
Inulin,Christensenellaceae-R-7-group,-0.014979338842975228,0.535089,0.7146254407894738
Inulin,Clostridia,-0.019369834710743713,0.545818,0.7173621472392638
Inulin,Clostridia-UCG-014,0.16115702479338834,0.055715,0.1598638904109589
Inulin,Clostridia-vadinBB60-group,0.06404958677685957,0.208235,0.39506266355140185
Inulin,Clostridiales-bacterium-CIEAF-012,0.0836776859504133,0.176723,0.3517134215686274
Inulin,Clostridiales-bacterium-CIEAF-020,0.2915805785123967,0.00234,0.014935878787878788
Inulin,Clostridiales-bacterium-CIEAF-026,0.02195247933884299,0.444514,0.6321902657342657
Inulin,Clostridium-isatidis,-0.017561983471074315,1.0,1.0
Inulin,Clostridium-sensu-stricto-1,0.14204545454545447,0.071942,0.17810031707317076
Inulin,Clostridium-sp.-Clone-44,0.02195247933884299,0.443987,0.6321902657342657
Inulin,Clostridium-sp.-Clone-49,0.02195247933884299,0.443896,0.6321902657342657
Inulin,Clostridium-sp.-Culture-27,0.11699380165289253,0.062848,0.16685018181818181
Inulin,Clostridium-sp.-Culture-41,-0.04338842975206612,1.0,1.0
Inulin,Clostridium-sp.-Culture-54,0.15960743801652896,0.04175,0.1284128787878788
Inulin,Colidextribacter,0.011880165289256285,0.384957,0.6321902657342657
Inulin,Collinsella,0.0005165289256198547,0.444137,0.6321902657342657
Inulin,Coriobacteriaceae-UCG-002,0.27169421487603296,0.001801,0.012186766666666666
Inulin,Corynebacterium,0.02711776859504135,0.287275,0.5160780973451328
Inulin,Corynebacterium-propinquum,-0.017561983471074315,1.0,1.0
Inulin,Defluviitaleaceae-UCG-011,-0.024535123966942074,0.549069,0.7173621472392638
Inulin,Desulfovibrio,0.516012396694215,4e-06,0.000203
Inulin,Desulfovibrio-fairfieldensis,0.2670454545454545,0.00493,0.021954891304347825
Inulin,Desulfovibrionaceae,0.3282541322314049,0.001614,0.011809
Inulin,Dialister-invisus-DSM-15470,0.02195247933884299,0.445336,0.6321902657342657
Inulin,Dialister-sp.-Marseille-P5638,-0.017561983471074315,1.0,1.0
Inulin,Dielma,-0.017561983471074315,1.0,1.0
Inulin,Dorea-sp.-5-2,0.04287190082644626,0.267468,0.48915318918918915
Inulin,Dubosiella,0.3078512396694215,0.001664,0.011809
Inulin,Dubosiella-newyorkensis,0.2213326446280991,0.003995,0.019780121951219514
Inulin,Eisenbergiella,-0.008264462809917304,0.836426,0.9766691666666667
Inulin,Elizabethkingia,-0.017561983471074315,1.0,1.0
Inulin,Enterobacteriaceae,0.12525826446280983,0.067935,0.173204675
Inulin,Enterococcus,0.13197314049586775,0.125939,0.26630851041666664
Inulin,Enterorhabdus,0.3409090909090909,0.002748,0.01609338888888889
Inulin,Erysipelatoclostridium,0.07308884297520656,0.153981,0.31258143
Inulin,Erysipelatoclostridium-ramosum,-0.017561983471074315,1.0,1.0
Inulin,Erysipelotrichaceae,0.13842975206611566,0.057463,0.1598638904109589
Inulin,Erysipelotrichaceae-UCG-003,0.02324380165289253,0.330838,0.5740180683760685
Inulin,Escherichia-Shigella,0.3300619834710743,0.000158,0.0021382666666666665
Inulin,Ethanoligenenaceae,-0.0038739669421488173,0.575614,0.7173621472392638
Inulin,Eubacterium-plexicaudatum,0.11053719008264462,0.039314,0.12278064615384617
Inulin,Eubacterium-sp.-14-2,0.028925619834710748,0.2403,0.44753119266055047
Inulin,Faecalibacterium,0.002840909090909108,0.314118,0.5544865565217392
Inulin,Faecalibaculum,0.051652892561983424,0.236119,0.4438162685185185
Inulin,Faecalibaculum-rodentium,0.025826446280991806,0.312832,0.5544865565217392
Inulin,Family-XIII-AD3011-group,0.1306818181818182,0.063288,0.16685018181818181
Inulin,Flavobacterium,0.02195247933884299,0.444376,0.6321902657342657
Inulin,Flavonifractor,0.27246900826446285,0.001308,0.010540384615384615
Inulin,Frisingicoccus,0.19783057851239672,0.003097,0.016991648648648647
Inulin,GCA-900066575,0.11570247933884299,0.101401,0.22374351086956523
Inulin,Gastranaerophilales,0.33419421487603296,0.000413,0.00419195
Inulin,Harryflintia,0.09426652892561986,0.133838,0.27723585714285714
Inulin,Helicobacter,0.2179752066115703,0.01664,0.057252881355932206
Inulin,Helicobacter-ganmani,0.19059917355371894,0.018944,0.0630431475409836
Inulin,Helicobacter-hepaticus,0.17975206611570255,0.014424,0.050484
Inulin,Helicobacter-mastomyrinus,0.2711776859504133,0.017083,0.05779748333333333
Inulin,Incertae-Sedis,-0.06095041322314044,0.696732,0.8469257245508982
Inulin,Intestinimonas,0.11466942148760328,0.112294,0.24511486021505377
Inulin,Klebsiella,-0.017561983471074315,1.0,1.0
Inulin,Lachnoclostridium,0.14462809917355374,0.076337,0.18569779069767445
Inulin,Lachnospiraceae,-0.07179752066115701,0.725827,0.8770044437869823
Inulin,Lachnospiraceae-FCS020-group,0.28719008264462803,0.013905,0.04952131578947369
Inulin,Lachnospiraceae-NK4A136-group,0.11363636363636356,0.120845,0.2582266842105263
Inulin,Lachnospiraceae-UCG-001,-0.017561983471074315,1.0,1.0
Inulin,Lachnospiraceae-UCG-006,0.23295454545454553,0.010411,0.03913764814814815
Inulin,Lachnospiraceae-UCG-010,-0.017561983471074315,1.0,1.0
Inulin,Lachnospiraceae-bacterium-10-1,0.3011363636363636,0.002428,0.014935878787878788
Inulin,Lachnospiraceae-bacterium-28-4,0.10123966942148761,0.096316,0.21724608888888888
Inulin,Lachnospiraceae-bacterium-595,0.35433884297520657,3.5e-05,0.0007894444444444444
Inulin,Lachnospiraceae-bacterium-A4,-0.009814049586776867,0.83574,0.9766691666666667
Inulin,Lachnospiraceae-bacterium-DW59,0.3132747933884297,0.002809,0.01609338888888889
Inulin,Lactobacillus,0.4669421487603306,1.2e-05,0.000348
Inulin,Lactobacillus-intestinalis,0.05526859504132241,0.194839,0.37313506603773583
Inulin,Lactobacillus-mucosae-LM1,-0.001549586776859564,0.575038,0.7173621472392638
Inulin,Lactobacillus-murinus,0.02427685950413224,0.287247,0.5160780973451328
Inulin,Lactococcus,0.06844008264462804,0.065415,0.17024673076923078
Inulin,Leuconostoc,-0.017561983471074315,1.0,1.0
Inulin,Lysinibacillus,-0.017561983471074315,1.0,1.0
Inulin,Malacoplasma-muris,0.1221590909090909,0.083187,0.194103
Inulin,Marvinbryantia,0.2308884297520661,0.007943,0.03359227083333333
Inulin,Megasphaera,0.02195247933884299,0.444084,0.6321902657342657
Inulin,Methyloprofundus,0.001549586776859564,0.436527,0.6321902657342657
Inulin,Micrococcaceae,0.07541322314049581,0.068258,0.173204675
Inulin,Monoglobus,-0.05010330578512404,0.666897,0.8155427168674698
Inulin,Mucilaginibacter,0.02195247933884299,0.44445,0.6321902657342657
Inulin,Mucispirillum-schaedleri,-0.014462809917355374,0.505504,0.6887067919463087
Inulin,Muribaculaceae,0.5211776859504132,0.000134,0.001943
Inulin,Muribaculum,0.574896694214876,1e-05,0.0003383333333333334
Inulin,NK4A214-group,0.43956611570247944,0.000241,0.0027517777777777775
Inulin,Negativibacillus,0.0,0.433673,0.6321902657342657
Inulin,Odoribacter,0.45971074380165283,8.4e-05,0.0013116923076923075
Inulin,Oscillibacter,-0.029958677685950456,0.597846,0.7400166951219512
Inulin,Oscillospiraceae,-0.07386363636363644,0.730117,0.8770044437869823
Inulin,Oscillospirales,0.3502066115702479,0.00065,0.0057457826086956525
Inulin,Paenarthrobacter,-0.017561983471074315,1.0,1.0
Inulin,Paludicola,0.11699380165289253,0.051999,0.15298256521739131
Inulin,Parabacteroides,0.2618801652892563,0.003474,0.018082615384615388
Inulin,Parabacteroides-distasonis,0.2629132231404958,0.00135,0.010540384615384615
Inulin,Parabacteroides-goldsteinii,0.28254132231404955,0.00449,0.02071522727272727
Inulin,Parabacteroides-merdae,0.043130165289256284,0.130579,0.2732735773195876
Inulin,Parabacteroides-sp.,0.05113636363636357,0.142115,0.2914075252525252
Inulin,Paraprevotella,0.02195247933884299,0.445021,0.6321902657342657
Inulin,Parasutterella,0.33057851239669417,0.003831,0.019442325
Inulin,Parasutterella-excrementihominis,-0.0413223140495867,0.918613,1.0
Inulin,Parvibacter,0.2378615702479339,0.008512,0.03455872
Inulin,Pasteurellaceae-bacterium,-0.0030991735537189424,0.501693,0.6882564121621622
Inulin,Peptococcaceae,0.12190082644628106,0.057488,0.1598638904109589
Inulin,Peptococcus,0.0836776859504133,0.171287,0.3442699108910891
Inulin,Peptostreptococcaceae,0.02195247933884299,0.445055,0.6321902657342657
Inulin,Prevotellaceae,0.11002066115702477,0.057314,0.1598638904109589
Inulin,Prevotellaceae-UCG-001,0.125,0.058993,0.16183214864864864
Inulin,Proteus,0.0005165289256198547,0.444138,0.6321902657342657
Inulin,Pseudomonas,0.02195247933884299,0.444857,0.6321902657342657
Inulin,RF39,0.017561983471074315,0.343849,0.5915368389830509
Inulin,Rhodococcus,-0.017561983471074315,1.0,1.0
Inulin,Rhodospirillales,-0.0030991735537189424,0.501097,0.6882564121621622
Inulin,Rikenella,0.3326446280991736,0.009375,0.03731617647058823
Inulin,Rikenella-sp.-Marseille-P3215,-0.009814049586776867,0.837145,0.9766691666666667
Inulin,Rikenellaceae,0.24483471074380164,0.003283,0.017538131578947368
Inulin,Rikenellaceae-RC9-gut-group,0.5547520661157026,1e-05,0.0003383333333333334
Inulin,Romboutsia,-0.017561983471074315,1.0,1.0
Inulin,Roseburia,0.19783057851239672,0.019802,0.06483558064516129
Inulin,Ruminococcaceae,0.010847107438016576,0.394435,0.6321902657342657
Inulin,Ruminococcus-sp.-N15.MGS-57,0.33600206611570255,0.000448,0.004330666666666667
Inulin,Sphingobium,-0.07308884297520656,0.847205,0.9822097329545454
Inulin,Streptococcus,-0.07438016528925628,0.746219,0.8910732764705882
Inulin,Streptococcus-danieliae,-0.017561983471074315,1.0,1.0
Inulin,Subdoligranulum,0.054752066115702554,0.117793,0.25438275531914895
Inulin,Tannerellaceae,0.18801652892561985,0.005327,0.023008106382978726
Inulin,Turicibacter,-0.013429752066115665,0.490616,0.6882564121621622
Inulin,Tuzzerella,0.011880165289256285,0.381122,0.6321902657342657
Inulin,UBA1819,0.24225206611570255,0.004292,0.020262232558139536
Inulin,UCG-003,0.07515495867768597,0.07867,0.18569779069767445
Inulin,UCG-005,0.10872933884297523,0.09864,0.22004307692307692
Inulin,UCG-007,0.02195247933884299,0.443788,0.6321902657342657
Inulin,UCG-009,0.40134297520661166,0.000244,0.0027517777777777775
Inulin,UCG-010,-0.08677685950413223,0.851571,0.9822097329545454
Inulin,Veillonella,0.08238636363636356,0.078008,0.18569779069767445
Inulin,[Acetivibrio]-ethanolgignens-group,0.11053719008264462,0.039072,0.12278064615384617
Inulin,[Clostridium]-leptum,0.037706611570247905,0.19175,0.37071666666666664
Inulin,[Clostridium]-methylpentosum-group,-0.017561983471074315,1.0,1.0
Inulin,[Eubacterium]-brachy-group,0.17019628099173553,0.010033,0.03842828301886792
Inulin,[Eubacterium]-coprostanoligenes-group,0.1322314049586776,0.049396,0.14746158823529412
Inulin,[Eubacterium]-fissicatena-group,0.0973657024793388,0.045335,0.13735828358208957
Inulin,[Eubacterium]-hallii-group,0.02195247933884299,0.444249,0.6321902657342657
Inulin,[Eubacterium]-nodatum-group,-0.10330578512396703,0.928115,1.0
Inulin,[Eubacterium]-oxidoreducens-group,-0.017561983471074315,1.0,1.0
Inulin,[Eubacterium]-ventriosum-group,0.18698347107438015,0.012015,0.043554375
Inulin,[Eubacterium]-xylanophilum-group,0.40211776859504134,0.000226,0.0027517777777777775
Inulin,[Ruminococcus]-torques-group,0.16322314049586775,0.009816,0.038320153846153844
Inulin,gut-metagenome,0.14927685950413225,0.060603,0.16403212
Inulin,human-gut-metagenome,0.02195247933884299,0.444977,0.6321902657342657
Inulin,marine-metagenome,-0.0038739669421488173,0.573611,0.7173621472392638
Inulin,mouse-gut-metagenome,0.014462809917355374,0.37793,0.6321902657342657
Resistant starch,A2,0.08466666666666656,0.105162,0.19329777142857144
Resistant starch,ASF356,0.19033333333333344,0.025146,0.06143263291139241
Resistant starch,Acetatifactor,0.06599999999999996,0.173788,0.3021719279279279
Resistant starch,Acetatifactor-muris,0.0,1.0,1.0
Resistant starch,Acutalibacter-muris,-0.013499999999999988,0.665247,0.8916157708333334
Resistant starch,Adlercreutzia-mucosicola,0.0,1.0,1.0
Resistant starch,Akkermansia,0.0,1.0,1.0
Resistant starch,Akkermansia-muciniphila,0.249,0.004358,0.012369029411764706
Resistant starch,Alistipes,0.575,2e-06,4.8249999999999994e-05
Resistant starch,Alistipes-inops,0.3,0.00027,0.0012281818181818182
Resistant starch,Alistipes-obesi,0.08250000000000006,0.035194,0.07325906451612903
Resistant starch,Alistipes-shahii,0.2541666666666666,0.003914,0.01232607462686567
Resistant starch,Alistipes-sp.-N15.MGS-157,0.09750000000000003,0.035082,0.07325906451612903
Resistant starch,Alistipes-sp.-cv1,0.2946666666666666,0.000247,0.0012191951219512195
Resistant starch,Alloprevotella,0.3560000000000001,0.001281,0.004610555555555555
Resistant starch,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.0,1.0,1.0
Resistant starch,Anaerofilum,0.0,1.0,1.0
Resistant starch,Anaerofustis,0.0,1.0,1.0
Resistant starch,Anaeroplasma,0.025,0.210345,0.336952479338843
Resistant starch,Anaerotruncus,-0.032999999999999904,0.624203,0.8483885845070422
Resistant starch,Anaerovorax,0.22183333333333338,0.008312,0.022594591549295776
Resistant starch,Arcobacteraceae,0.021666666666666706,0.284447,0.42429120000000003
Resistant starch,Bacillus,0.0,1.0,1.0
Resistant starch,Bacteria,-0.022000000000000037,1.0,1.0
Resistant starch,Bacteroidales,0.025,0.210764,0.336952479338843
Resistant starch,Bacteroides,0.39099999999999996,4.4e-05,0.00033968000000000003
Resistant starch,Bacteroides-acidifaciens,0.4963333333333333,1e-06,2.7571428571428574e-05
Resistant starch,Bacteroides-caecimuris,0.5743333333333334,1e-06,2.7571428571428574e-05
Resistant starch,Bacteroides-nordii,0.09249999999999994,0.034945,0.07325906451612903
Resistant starch,Bacteroides-sartorii,0.31833333333333325,0.000245,0.0012191951219512195
Resistant starch,Bacteroides-stercorirosoris,0.31000000000000005,0.000252,0.0012191951219512195
Resistant starch,Bacteroides-uniformis,0.3439999999999999,0.000709,0.002683078431372549
Resistant starch,Bacteroides-vulgatus-ATCC-8482,0.3375,7.4e-05,0.000528962962962963
Resistant starch,Bacteroides-xylanisolvens,0.3373333333333333,1.5e-05,0.00016083333333333333
Resistant starch,Bifidobacterium,0.03200000000000006,0.285792,0.42429120000000003
Resistant starch,Bifidobacterium-choerinum,0.24500000000000005,0.000244,0.0012191951219512195
Resistant starch,Bilophila,0.2686666666666667,7.4e-05,0.000528962962962963
Resistant starch,Blautia,0.08233333333333324,0.124531,0.22462133644859814
Resistant starch,Brevinema,-0.011666666666666676,0.534709,0.7644358296296295
Resistant starch,Burkholderiales,0.0,1.0,1.0
Resistant starch,Burkholderiales-bacterium-YL45,0.3450000000000001,0.000274,0.0012281818181818182
Resistant starch,Butyricicoccus,0.06666666666666661,0.148398,0.26037103636363634
Resistant starch,Butyricimonas,0.532,2e-05,0.00018380952380952383
Resistant starch,Butyricimonas-synergistica,0.09750000000000003,0.034824,0.07325906451612903
Resistant starch,Butyricimonas-virosa,0.02999999999999994,0.210954,0.336952479338843
Resistant starch,Candidatus-Gastranaerophilales-bacterium-Zag_111,0.2333333333333334,0.000236,0.0012191951219512195
Resistant starch,Candidatus-Saccharimonas,0.34099999999999997,0.000555,0.0022315625
Resistant starch,Catenibacterium,0.0,1.0,1.0
Resistant starch,Cetobacterium,0.0,1.0,1.0
Resistant starch,Christensenella-minuta,0.025,0.210396,0.336952479338843
Resistant starch,Christensenella-sp.-Marseille-P2437,0.19500000000000006,0.004073,0.01232607462686567
Resistant starch,Christensenellaceae,-0.021000000000000046,0.545143,0.7736220514705884
Resistant starch,Christensenellaceae-R-7-group,0.09750000000000003,0.03521,0.07325906451612903
Resistant starch,Clostridia,0.04233333333333328,0.23931,0.36949464
Resistant starch,Clostridia-UCG-014,0.19633333333333322,0.032163,0.07325906451612903
Resistant starch,Clostridia-vadinBB60-group,0.29833333333333334,0.011607,0.03027231081081081
Resistant starch,Clostridiales-bacterium-CIEAF-012,0.14600000000000005,0.055156,0.10974338144329895
Resistant starch,Clostridiales-bacterium-CIEAF-020,0.20633333333333326,0.012277,0.03159281333333333
Resistant starch,Clostridium-sensu-stricto-1,0.36466666666666664,1.5e-05,0.00016083333333333333
Resistant starch,Clostridium-sp.-Clone-44,0.02999999999999994,0.210321,0.336952479338843
Resistant starch,Clostridium-sp.-Culture-27,0.12299999999999987,0.037034,0.07603789361702128
Resistant starch,Clostridium-sp.-Culture-41,-0.007166666666666581,0.561626,0.7798116402877697
Resistant starch,Clostridium-sp.-Culture-54,-0.008333333333333384,0.523144,0.7534835223880597
Resistant starch,Clostridium-sp.-ND2,0.0,1.0,1.0
Resistant starch,Colidextribacter,-0.05066666666666666,0.72709,0.9546147619047619
Resistant starch,Coriobacteriaceae-UCG-002,0.08283333333333338,0.035142,0.07325906451612903
