Diet,Bacteria,Pvalue,Pvalue_corrected
Inulin,A2,0.061391,0.1951718125
Inulin,ASF356,0.190075,0.3973932142857142
Inulin,Acetatifactor,0.766354,0.9205317278106508
Inulin,Acetatifactor-muris,0.1713,0.36501303125
Inulin,Acutalibacter-muris,0.695129,0.8604340670731707
Inulin,Akkermansia,0.444727,0.6241494
Inulin,Akkermansia-muciniphila,0.057648,0.18875070967741933
Inulin,Alistipes,0.004794,0.04168526923076923
Inulin,Alistipes-inops,0.001338,0.018838399999999998
Inulin,Alistipes-obesi,1.0,1.0
Inulin,Alistipes-shahii,7e-06,0.00047366666666666667
Inulin,Alistipes-sp.-N15.MGS-157,0.208743,0.41238669230769226
Inulin,Alistipes-sp.-cv1,0.162078,0.36155861538461537
Inulin,Alloprevotella,0.157739,0.3561567333333333
Inulin,Anaerofilum,0.078944,0.2186886081081081
Inulin,Anaeroplasma,1.0,1.0
Inulin,Anaerotruncus,0.764079,0.9205317278106508
Inulin,Anaerotruncus-sp.-G3(2012),0.445821,0.6241494
Inulin,Anaerovoracaceae,1.0,1.0
Inulin,Anaerovorax,0.061532,0.1951718125
Inulin,Arcobacteraceae,0.836076,0.97100584
Inulin,Bacillus,1.0,1.0
Inulin,Bacteria,0.575216,0.7541109483870968
Inulin,Bacteroidales,1.0,1.0
Inulin,Bacteroides,0.005209,0.04168526923076923
Inulin,Bacteroides-acidifaciens,0.036555,0.14970652941176468
Inulin,Bacteroides-caecimuris,0.00015,0.005017
Inulin,Bacteroides-nordii,1.0,1.0
Inulin,Bacteroides-sartorii,0.01887,0.09972505128205128
Inulin,Bacteroides-stercorirosoris,0.007359,0.051513
Inulin,Bacteroides-uniformis,1e-06,0.0001015
Inulin,Bacteroides-vulgatus-ATCC-8482,0.010884,0.0669530909090909
Inulin,Bacteroides-xylanisolvens,0.627975,0.8017542452830188
Inulin,Bifidobacterium,0.00478,0.04168526923076923
Inulin,Bifidobacterium-choerinum,0.209185,0.41238669230769226
Inulin,Bilophila,0.000702,0.013213454545454544
Inulin,Blautia,0.680507,0.8475025828220858
Inulin,Brevinema,0.935245,1.0
Inulin,Burkholderiales-bacterium-YL45,0.16803,0.3641128936170213
Inulin,Butyricicoccus,0.438472,0.6241494
Inulin,Butyricimonas,0.001392,0.018838399999999998
Inulin,Butyricimonas-synergistica,0.168438,0.3641128936170213
Inulin,Butyricimonas-virosa,0.427854,0.6241494
Inulin,Candidatus-Gastranaerophilales-bacterium-Zag_111,0.168604,0.3641128936170213
Inulin,Candidatus-Saccharimonas,0.110029,0.2791985875
Inulin,Candidatus-Soleaferrea,0.444015,0.6241494
Inulin,Christensenella-minuta,0.000661,0.013213454545454544
Inulin,Christensenella-sp.-Marseille-P2437,0.209424,0.41238669230769226
Inulin,Christensenellaceae,0.224647,0.42619944859813086
Inulin,Christensenellaceae-R-7-group,0.126453,0.3130482804878049
Inulin,Clostridia,0.604429,0.7815228471337579
Inulin,Clostridia-UCG-014,0.074037,0.2186886081081081
Inulin,Clostridia-vadinBB60-group,0.191845,0.3973932142857142
Inulin,Clostridiales-bacterium-CIEAF-012,0.239753,0.4424532636363636
Inulin,Clostridiales-bacterium-CIEAF-020,0.021413,0.10602046341463416
Inulin,Clostridiales-bacterium-CIEAF-026,0.444734,0.6241494
Inulin,Clostridium-isatidis,1.0,1.0
Inulin,Clostridium-sensu-stricto-1,0.079719,0.2186886081081081
Inulin,Clostridium-sp.-Clone-44,0.444696,0.6241494
Inulin,Clostridium-sp.-Clone-49,0.444326,0.6241494
Inulin,Clostridium-sp.-Culture-27,0.098786,0.2570968974358975
Inulin,Clostridium-sp.-Culture-41,1.0,1.0
Inulin,Clostridium-sp.-Culture-54,0.071085,0.21864022727272728
Inulin,Colidextribacter,0.295432,0.5260762807017544
Inulin,Collinsella,0.444926,0.6241494
Inulin,Coriobacteriaceae-UCG-002,0.012549,0.07492491176470588
Inulin,Corynebacterium,0.27948,0.5020746902654868
Inulin,Corynebacterium-propinquum,1.0,1.0
Inulin,Defluviitaleaceae-UCG-011,0.346871,0.581940603305785
Inulin,Desulfovibrio,1e-06,0.0001015
Inulin,Desulfovibrio-fairfieldensis,0.139196,0.3363903333333333
Inulin,Desulfovibrionaceae,0.022653,0.10694323255813953
Inulin,Dialister-invisus-DSM-15470,0.44443,0.6241494
Inulin,Dialister-sp.-Marseille-P5638,1.0,1.0
Inulin,Dielma,1.0,1.0
Inulin,Dorea-sp.-5-2,0.39932,0.6241494
