,Species,Responder,PearsonCoef,PearsonP,SpearmanCoef,SpearmanP,PearsonPCorrected,SpearmanCorrected
0,Akkermansia-muciniphila,Bacteroides-acidifaciens,0.7667698658410733,0.00020535416507779902,0.657208910770363,0.003040463354872789,0.0028387193407813397,0.059542407366258786
1,Akkermansia-muciniphila,Muribaculaceae,0.40144478844169246,0.09869191321215517,0.12994790966506267,0.6073007342210244,0.24938279145006953,0.7798670630707143
2,Akkermansia-muciniphila,Faecalibaculum,-0.4613003095975232,0.053990476377347364,-0.14205543130505485,0.573920630456464,0.16666386231141614,0.760167105048446
3,Akkermansia-muciniphila,Parasutterella,-0.6656346749226005,0.0025683279602937087,-0.2753471028507856,0.2687772598874341,0.015475822324846707,0.5445056558064398
4,Akkermansia-muciniphila,Bacteroides,-0.6222910216718266,0.005818551360831045,-0.3479284894769219,0.15712004984193573,0.029725208039028162,0.43439072603358697
5,Alistipes,Bacteroides-acidifaciens,0.37853987144248824,0.12137811353971724,-0.010093559503575551,0.9682926670690214,0.2852385668183355,0.9724306699197437
6,Alistipes,Muribaculaceae,0.8978590339173068,4.304890575698129e-07,0.6288203615329605,0.0051833219308222295,4.9876521070676124e-05,0.08064747416487061
7,Alistipes,Faecalibaculum,-0.09698128937782756,0.7018515480315656,0.32371341205448356,0.19005267210231724,0.8240343562675168,0.47335832397639616
8,Alistipes,Parasutterella,-0.31597129765034143,0.20148161111044938,0.1567813664780687,0.5344185841882343,0.388099824679964,0.7511940319823285
9,Alistipes,Bacteroides,-0.7622937907009886,0.00023543167641624832,-0.4129744246559115,0.08850811555807277,0.0030736913309899086,0.3802934617639986
10,Alistipes-shahii,Bacteroides-acidifaciens,0.8111909734798143,4.406058055698288e-05,0.8002658648332952,6.659784553742195e-05,0.0009412942209900888,0.00391262342532354
11,Alistipes-shahii,Muribaculaceae,-0.08723701809768952,0.7306947843619697,-0.18481390849156065,0.462846024440518,0.8500657144805093,0.6915028631115877
12,Alistipes-shahii,Faecalibaculum,-0.7896649560271377,9.71652620917477e-05,-0.6394325732036238,0.004271986216600168,0.001630988327968622,0.07170834006435996
13,Alistipes-shahii,Parasutterella,-0.8202545597756782,3.0645679396848766e-05,-0.649501542764855,0.003532603596758605,0.0008001927398066066,0.06385860347986709
14,Alistipes-shahii,Bacteroides,-0.13821969101192366,0.5844104623217234,-0.36031401162106425,0.14188567007042374,0.7520763625850673,0.411643610698143
15,Alloprevotella,Bacteroides-acidifaciens,0.6676986584107326,0.002462394297708647,0.2076881301163449,0.4082585975540385,0.01522796473582979,0.6577615309190941
16,Alloprevotella,Muribaculaceae,0.5830753353973168,0.011092443619541667,0.3736224741560155,0.1266914323291406,0.047394986374405305,0.4031578810770051
17,Alloprevotella,Faecalibaculum,-0.3085655314757482,0.2128287059586837,0.20751776608049227,0.4086518447412244,0.39074020234602086,0.6577615309190941
18,Alloprevotella,Parasutterella,-0.45304437564499483,0.05901670687313079,0.13528901676394056,0.5924789399104478,0.175020560612789,0.7719872972602747
19,Alloprevotella,Bacteroides,-0.6553147574819401,0.0031558468964774365,-0.384718375248123,0.11492755532382733,0.01854060051680494,0.4031578810770051
20,Anaerovorax,Bacteroides-acidifaciens,-0.3768702910719317,0.12316416659285638,-0.2525290384275121,0.3120250641016311,0.2865700905873391,0.577580738069945
21,Anaerovorax,Muribaculaceae,0.05507273594460894,0.8281744852983749,0.18635260252616637,0.4590631513472942,0.8940077336700164,0.6915028631115877
22,Anaerovorax,Faecalibaculum,-0.0669511691875638,0.7918159923185308,-0.15528989367257331,0.5383622568169131,0.8681774643824006,0.7511940319823285
23,Anaerovorax,Parasutterella,0.08098931756560138,0.7493734022714671,-0.030163428481069066,0.9054246729710992,0.8506633384688902,0.9450481530797578
24,Anaerovorax,Bacteroides,-0.12850305053742084,0.6113357788976659,-0.12315523372518325,0.62636272935483,0.7641697236220824,0.7913722655827152
25,Bacteria,Bacteroides-acidifaciens,0.2815629187184767,0.25767634214162854,0.3106702948344345,0.20956236843981194,0.43879666958900515,0.49744602609450306
26,Bacteria,Muribaculaceae,0.015117472145958483,0.9525248637572927,-0.05687983533807406,0.822619801699848,0.9732319260128861,0.9161879308031483
27,Bacteria,Faecalibaculum,-0.04535241643787544,0.8581800134926564,-0.11227060550927985,0.6573789037404357,0.9043601039048172,0.8173758856031872
28,Bacteria,Parasutterella,-0.04535241643787544,0.8581800134926564,-0.1607431139830787,0.5240075414597537,0.9043601039048172,0.746984900142049
29,Bacteria,Bacteroides,-0.12660882922240227,0.6166419150407214,-0.19835820924646458,0.43009209135104814,0.764323465310054,0.6693486189900417
30,Bacteroides,Bacteroides-acidifaciens,-0.4406604747162023,0.06720191241367013,-0.48498558281066206,0.04135152275597819,0.19027047490617446,0.2699335513237465
31,Bacteroides,Muribaculaceae,-0.2115583075335397,0.39938013616939927,-0.4613326583977309,0.05397143832296862,0.5949552537173313,0.32521251297173404
32,Bacteroides,Faecalibaculum,0.283797729618163,0.253756417908756,0.3409091820620641,0.16623278947225298,0.4352756073617348,0.43992734706068864
