,BaselineSpecies,InulinResponder,Spearman,Pearson
0,Bacteroides,Bacteroides-acidifaciens,-0.7481940144478844,-0.6423545353201778
1,Bacteroides,Muribaculaceae,-0.3560371517027864,-0.7063537717142436
2,Bacteroides,Faecalibaculum,0.45510835913312697,0.4349717976008508
3,Bacteroides,Parasutterella,0.653250773993808,0.6917310921078794
4,Bacteroides,Bacteroides,0.5975232198142414,0.9483335676647944
5,Desulfovibrionaceae,Bacteroides-acidifaciens,0.17965929084959162,-0.011113494292140189
6,Desulfovibrionaceae,Muribaculaceae,0.6845638496165475,0.5000339440344563
7,Desulfovibrionaceae,Faecalibaculum,-0.3314404158776949,-0.43565424344101666
8,Desulfovibrionaceae,Parasutterella,-0.4326278325630971,-0.42622953267930647
9,Desulfovibrionaceae,Bacteroides,-0.5606608904099325,-0.4165923304365877
10,Faecalibaculum,Bacteroides-acidifaciens,-0.11248710010319916,-0.2531491878866644
11,Faecalibaculum,Muribaculaceae,0.17027863777089783,0.385042035659368
12,Faecalibaculum,Faecalibaculum,0.27347781217750256,0.2882519659190689
13,Faecalibaculum,Parasutterella,0.16202270381836945,0.11053308386516361
14,Faecalibaculum,Bacteroides,-0.28998968008255926,-0.13832373189492292
15,Muribaculaceae,Bacteroides-acidifaciens,0.7192982456140351,0.6711133306872323
16,Muribaculaceae,Muribaculaceae,0.5232198142414861,0.5717457320753949
17,Muribaculaceae,Faecalibaculum,-0.28792569659442724,-0.377742461531305
18,Muribaculaceae,Parasutterella,-0.5541795665634675,-0.6426975104160785
19,Muribaculaceae,Bacteroides,-0.5500515995872033,-0.8332456635170731
20,Parabacteroides-goldsteinii,Bacteroides-acidifaciens,-0.3106295149638803,-0.30631480515428844
21,Parabacteroides-goldsteinii,Muribaculaceae,-0.9256965944272446,-0.9091626039410852
22,Parabacteroides-goldsteinii,Faecalibaculum,-0.0196078431372549,0.23223527557101512
23,Parabacteroides-goldsteinii,Parasutterella,0.27347781217750256,0.4835837090805163
24,Parabacteroides-goldsteinii,Bacteroides,0.8101135190918473,0.8670960961768076
