,Variable,Statistic,P-value,log10(P-value)
0,A2,12.412505282094363,0.0003,-3.5228787452803374
1,ASF356,17.54510337094436,8e-05,-4.096910013008056
2,Acetatifactor,89.47090682306575,0.0002,-3.6989700043360187
3,Acetatifactor-muris,6.783039919345725,3e-05,-4.522878745280337
4,Acidovorax,0.8425925925925919,1.0,0.0
5,Acinetobacter,19.11988004907636,1e-06,-6.0
6,Acinetobacter-sp.-CIP-56.2,1.209876543209877,0.4406,-0.3559555071852512
7,Acutalibacter-muris,12.465666226340096,2e-06,-5.698970004336019
8,Adlercreutzia-mucosicola,298.5943477268975,1e-06,-6.0
9,Adlercreutzia-muris,inf,0.0004,-3.3979400086720375
10,Akkermansia,6.950458790396127,2e-05,-4.698970004336019
11,Akkermansia-muciniphila,78.30946010200387,2e-06,-5.698970004336019
12,Akkermansia-sp.-KLE1798,0.8425925925925921,1.0,0.0
13,Alistipes,1506.2102644183099,1e-06,-6.0
14,Alistipes-finegoldii,inf,1e-06,-6.0
15,Alistipes-inops,71.55927312326642,1e-06,-6.0
16,Alistipes-obesi,1070.573251469478,1e-06,-6.0
17,Alistipes-shahii,2.611941562300823,0.0019,-2.721246399047171
18,Alistipes-sp.-N15.MGS-157,39.85456303623447,1e-06,-6.0
19,Alistipes-sp.-cv1,21.520417456742372,1e-06,-6.0
20,Allobaculum,70.74668883766249,1e-06,-6.0
21,Alloprevotella,21.513751156145904,1e-06,-6.0
22,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,,1e-06,-6.0
23,Alteromonas,3.2923600235468373,0.017,-1.7695510786217261
24,Anaerofilum,121.84292298020833,1e-06,-6.0
25,Anaerofustis,17.828599893796195,1e-06,-6.0
26,Anaeroplasma,126.78443506863368,1e-06,-6.0
27,Anaerostipes,0.746004769353073,0.8367,-0.0774302310142877
28,Anaerotruncus,4.887522204543425,0.001,-3.0
29,Anaerotruncus-sp.-G3(2012),inf,1e-06,-6.0
30,Anaerovoracaceae,9.260089184925384,1e-06,-6.0
31,Anaerovorax,491.6249616899427,1e-06,-6.0
32,Anoxybacillus,inf,3e-06,-5.522878745280337
33,Arcobacteraceae,10.371038279600551,7e-05,-4.154901959985743
34,Asticcacaulis,13.248183443095982,1e-06,-6.0
35,Atopobiaceae,1.2098765432098766,0.4427,-0.3538904780211521
36,Bacilli,34.99956061918338,0.0007,-3.154901959985743
37,Bacillus,2.172701547708658,0.0785,-1.1051303432547475
38,Bacteria,2.6703897412343913,0.0012,-2.9208187539523753
39,Bacteroidales,2.7683485946941393,0.0006,-3.2218487496163566
40,Bacteroides,25.493144389442918,3e-05,-4.522878745280337
41,Bacteroides-acidifaciens,6.23565965757515,0.0075,-2.1249387366083
42,Bacteroides-caccae,1.3735592688890514,0.0761,-1.1186153432294272
43,Bacteroides-caecimuris,3.140412294789518,0.0087,-2.0604807473813813
44,Bacteroides-coprocola-DSM-17136,25.9386970165608,0.0011,-2.958607314841775
45,Bacteroides-faecichinchillae,,1e-06,-6.0
46,Bacteroides-nordii,14.887479349645755,3e-05,-4.522878745280337
47,Bacteroides-sartorii,125.4944568315947,1e-06,-6.0
48,Bacteroides-sp.-Smarlab-3302398,inf,1e-06,-6.0
49,Bacteroides-stercorirosoris,705.6549440999092,1e-06,-6.0
50,Bacteroides-uniformis,6.508764403302032,0.0099,-2.00436480540245
51,Bacteroides-vulgatus-ATCC-8482,7.5235531272855445,0.0008,-3.0969100130080562
52,Bacteroides-xylanisolvens,59.099118696004886,0.0004,-3.3979400086720375
53,Bifidobacterium,0.9612792480545092,0.4772,-0.3212995650016957
54,Bifidobacterium-choerinum,19.037115919454564,0.0006,-3.2218487496163566
55,Bilophila,20.967370521836347,1e-06,-6.0
56,Blautia,248.51250838543552,1e-06,-6.0
57,Bosea,inf,0.0007,-3.154901959985743
58,Brachybacterium,1.4362941780919274,0.0004,-3.3979400086720375
59,Bradyrhizobium,inf,3e-06,-5.522878745280337
60,Brevinema,1.2651983178977995,0.2769,-0.5576770442544255
61,Burkholderia-Caballeronia-Paraburkholderia,inf,0.0011,-2.958607314841775
62,Burkholderiales,,1e-06,-6.0
63,Burkholderiales-bacterium-YL45,43.923993529244754,0.0002,-3.6989700043360187
64,Butyricicoccus,16.039624682795544,1e-06,-6.0
65,Butyricimonas,128.78867954467472,1e-06,-6.0
66,Butyricimonas-sp.-AT11,0.40489664234738887,0.9959,-0.0017842676290416753
67,Butyricimonas-synergistica,9.72125143274894,3e-05,-4.522878745280337
68,Butyricimonas-virosa,0.9446825215943646,0.5314,-0.2745784499257413
69,Candidatus-Arthromitus,inf,0.0011,-2.958607314841775
70,Candidatus-Gastranaerophilales-bacterium-Zag_111,4.793569900291269,0.0031,-2.5086383061657274
