,Variable,Statistic,P-value,log10(P-value)
0,A2,2.1667981510379812,0.0927,-1.032920265855503
1,ASF356,8.10098045710467,0.0023,-2.638272163982407
2,Acetatifactor,38.95566105689814,0.00015,-3.8239087409443187
3,Acetatifactor-muris,1.0570971513056409,0.3718,-0.4296906145641202
4,Acidovorax,0.8839285714285705,1.0,0.0
5,Acinetobacter,2.2624099553261194,9e-06,-5.045757490560675
6,Acinetobacter-sp.-CIP-56.2,1.3095238095238098,0.2868,-0.5424208530042375
7,Acutalibacter-muris,10.62888052222277,0.0003,-3.5228787452803374
8,Adlercreutzia-mucosicola,2.612256379102187,0.0018,-2.744727494896694
9,Adlercreutzia-muris,inf,0.001,-3.0
10,Akkermansia,1.7439699142717524,0.1491,-0.8265223565470055
11,Akkermansia-muciniphila,47.264823123197985,9e-06,-5.045757490560675
12,Akkermansia-sp.-KLE1798,0.8839285714285718,1.0,0.0
13,Alistipes,30.45976921178944,9e-06,-5.045757490560675
14,Alistipes-finegoldii,inf,0.001,-3.0
15,Alistipes-inops,10030.433308614281,0.001,-3.0
16,Alistipes-obesi,inf,0.001,-3.0
17,Alistipes-shahii,4.546822000887323,0.0009,-3.0457574905606752
18,Alistipes-sp.-N15.MGS-157,11.655176111668185,0.002,-2.6989700043360187
19,Alistipes-sp.-cv1,3.99775888268554,0.0101,-1.9956786262173574
20,Allobaculum,1.106888320721767,0.2905,-0.5368538632736505
21,Alloprevotella,6.731912639969845,0.0053,-2.275724130399211
22,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,,1e-06,-6.0
23,Alteromonas,2.355529913501403,0.0765,-1.1163385648463824
24,Anaerofilum,inf,0.001,-3.0
25,Anaerofustis,1.7960348740262961,9e-06,-5.045757490560675
26,Anaeroplasma,546.7193695522294,9e-06,-5.045757490560675
27,Anaerostipes,0.8839285714285715,1.0,0.0
28,Anaerotruncus,0.6568439281757104,0.6036,-0.21925076889644776
29,Anaerotruncus-sp.-G3(2012),1.3810811901859494,0.0657,-1.1824346304402193
30,Anaerovoracaceae,8.414313577106627,0.001,-3.0
31,Anaerovorax,212.94366162400172,9e-06,-5.045757490560675
32,Anoxybacillus,inf,9e-06,-5.045757490560675
33,Arcobacteraceae,2.734394878709341,0.0172,-1.764471553092451
34,Asticcacaulis,1.2035774965426085,0.2865,-0.5428753736965912
35,Atopobiaceae,,1e-06,-6.0
36,Bacilli,1.2045938413685873,0.2829,-0.5483670525430092
37,Bacillus,0.8772024676264726,0.5984,-0.223008415143595
38,Bacteria,9.26649861936168,0.0012,-2.9208187539523753
39,Bacteroidales,2.2712820993865686,0.0048,-2.318758762624413
40,Bacteroides,3.9620716291341647,0.0237,-1.6252516539898962
41,Bacteroides-acidifaciens,15.328773284067385,0.0009,-3.0457574905606752
42,Bacteroides-caccae,1.357590220356578,0.0787,-1.1040252676409354
43,Bacteroides-caecimuris,3.539913112697011,0.0123,-1.9100948885606022
44,Bacteroides-coprocola-DSM-17136,0.8839285714285711,1.0,0.0
45,Bacteroides-faecichinchillae,,1e-06,-6.0
46,Bacteroides-nordii,3.0295256291068777,0.0034,-2.468521082957745
47,Bacteroides-sartorii,8.249483230717154,0.0074,-2.1307682802690238
48,Bacteroides-sp.-Smarlab-3302398,inf,0.001,-3.0
49,Bacteroides-stercorirosoris,13.751904717826086,0.001,-3.0
50,Bacteroides-uniformis,8.28160186784461,9e-06,-5.045757490560675
51,Bacteroides-vulgatus-ATCC-8482,3.2801406009053817,0.0103,-1.9871627752948278
52,Bacteroides-xylanisolvens,10.610547743435696,0.0003,-3.5228787452803374
53,Bifidobacterium,1.4134291970330333,0.0741,-1.1301817920206718
54,Bifidobacterium-choerinum,5.07774068916136,0.0018,-2.744727494896694
55,Bilophila,66.20002320240022,0.0002,-3.6989700043360187
56,Blautia,31.383636997629253,9e-06,-5.045757490560675
57,Bosea,inf,0.0013,-2.886056647693163
58,Brachybacterium,1.3095238095238095,0.2868,-0.5424208530042375
59,Bradyrhizobium,inf,0.001,-3.0
60,Brevinema,2.264313070711956,0.0798,-1.0979971086492706
61,Burkholderia-Caballeronia-Paraburkholderia,,1e-06,-6.0
62,Burkholderiales,,1e-06,-6.0
63,Burkholderiales-bacterium-YL45,15.232017107761127,0.0013,-2.886056647693163
64,Butyricicoccus,30.470393114320284,9e-06,-5.045757490560675
65,Butyricimonas,15.376479386166327,0.0008,-3.0969100130080562
66,Butyricimonas-sp.-AT11,0.9855043365272292,0.4507,-0.34611244192902246
67,Butyricimonas-synergistica,2.638637176318271,0.0705,-1.1518108830086013
68,Butyricimonas-virosa,1.5436755174950143,0.0436,-1.360513510731414
69,Candidatus-Arthromitus,,1e-06,-6.0
70,Candidatus-Gastranaerophilales-bacterium-Zag_111,1.7868968173146262,0.0586,-1.2321023839819094
71,Candidatus-Saccharimonas,1.8830083430488458,0.1209,-0.9175736991392281
72,Candidatus-Soleaferrea,2617.557197481635,9e-06,-5.045757490560675
73,Candidatus-Stoquefichus,inf,0.001,-3.0
74,Caproiciproducens,0.8839285714285713,1.0,0.0
75,Catenibacterium,inf,0.0013,-2.886056647693163
76,Cellulosimicrobium,inf,0.0013,-2.886056647693163
77,Cetobacterium,0.8004257058601949,0.6438,-0.19124902765040525
78,Chloroplast,4.340906927627536,0.0094,-2.0268721464003012
79,Christensenella-minuta,inf,0.001,-3.0
80,Christensenella-sp.-Marseille-P2437,10.116982211030102,0.0018,-2.744727494896694
81,Christensenellaceae,10.235038281402968,1.9e-05,-4.721246399047171
82,Christensenellaceae-R-7-group,7.293366796012398,0.0022,-2.657577319177794
83,Clostridia,2.3256405895117087,0.0286,-1.5436339668709569
84,Clostridia-UCG-014,0.8524163391476115,0.4375,-0.3590219426416679
85,Clostridia-vadinBB60-group,60.94804522346744,9e-06,-5.045757490560675
86,Clostridiales-bacterium-CIEAF-012,9.99244334400165,0.0021,-2.677780705266081
87,Clostridiales-bacterium-CIEAF-020,0.9094294313631819,0.4476,-0.3491099221436876
88,Clostridiales-bacterium-CIEAF-021,,1e-06,-6.0
89,Clostridiales-bacterium-CIEAF-026,0.9145515770676094,0.5,-0.3010299956639812
90,Clostridium-isatidis,1.3993757653825103,0.0323,-1.490797477668897
91,Clostridium-sensu-stricto-1,1507.0407526414747,9e-06,-5.045757490560675
92,Clostridium-sp.-ASF356,,1e-06,-6.0
93,Clostridium-sp.-Clone-44,3.9692284815236274,0.0004,-3.3979400086720375
94,Clostridium-sp.-Clone-47,inf,0.001,-3.0
95,Clostridium-sp.-Clone-49,0.8867322128966496,0.3046,-0.5162701009999763
96,Clostridium-sp.-Culture-27,0.9316733392798383,0.2999,-0.5230235342404729
97,Clostridium-sp.-Culture-41,129.499200772634,6e-06,-5.221848749616356
98,Clostridium-sp.-Culture-54,0.6604121274370539,0.5539,-0.25656863485331644
99,Clostridium-sp.-ND2,inf,0.001,-3.0
100,Colidextribacter,18.6736504756568,9e-06,-5.045757490560675
101,Collinsella,inf,9e-06,-5.045757490560675
102,Coprococcus,inf,0.0013,-2.886056647693163
103,Coriobacteriaceae-UCG-002,5.63893675944122,0.0002,-3.6989700043360187
104,Corynebacterium,0.9927189985406882,0.4467,-0.3499840475281614
105,Corynebacterium-propinquum,2.078607458131579,0.0047,-2.3279021420642825
106,Corynebacterium-tuberculostearicum,0.8839285714285697,1.0,0.0
107,DNF00809,inf,0.001,-3.0
108,Defluviitaleaceae-UCG-011,3.0812571188384554,0.0018,-2.744727494896694
109,Desmonostoc-PCC-7422,1.510951335766573,0.09,-1.0457574905606752
110,Desulfovibrio,16.56909152019032,9e-06,-5.045757490560675
111,Desulfovibrio-fairfieldensis,446.2905255240564,0.0009,-3.0457574905606752
112,Desulfovibrionaceae,7.020494078216643,0.0003,-3.5228787452803374
113,Devosia,0.8967720488949764,0.283,-0.5482135644757098
114,Dialister,1.30952380952381,0.3014,-0.520856752021387
115,Dialister-invisus-DSM-15470,1.1374698990131522,0.2868,-0.5424208530042375
116,Dialister-sp.-Marseille-P5638,0.7183380777664978,0.5102,-0.2922595457262288
117,Dielma,324.8230169252803,0.0013,-2.886056647693163
118,Dorea-sp.-5-2,4.9252906465434645,0.0025,-2.6020599913279625
119,Dubosiella,3.12230133028388,0.1092,-0.9617773616312816
120,Dubosiella-newyorkensis,7.604275927032958,0.0007,-3.154901959985743
121,Dyadobacter-fermentans,inf,0.001,-3.0
122,Eggerthella,inf,0.0013,-2.886056647693163
123,Eisenbergiella,42.64996758656946,0.00011,-3.958607314841775
124,Elizabethkingia,inf,0.001,-3.0
125,Endozoicomonas,0.8839285714285708,1.0,0.0
126,Enterobacterales,1.465275271060255,0.001,-3.0
127,Enterobacteriaceae,1.2909209911957702,0.2313,-0.6358243672293806
128,Enterococcus,1.3095483795087561,0.1386,-0.858236769724212
129,Enterorhabdus,0.9261051819274358,0.586,-0.23210238398190938
130,Erysipelatoclostridium,3.1452001470733295,0.0279,-1.5543957967264024
131,Erysipelatoclostridium-ramosum,1.296158291940234,0.3014,-0.520856752021387
132,Erysipelotrichaceae,2.6230599818005507,0.0951,-1.021819483062586
133,Erysipelotrichaceae-UCG-003,0.6261483541950831,0.7545,-0.12234075588839138
134,Escherichia-Shigella,1.3532487052911086,9e-06,-5.045757490560675
135,Ethanoligenenaceae,1.178899827846361,0.2801,-0.5526868911764318
136,Eubacterium-plexicaudatum,16.616987939782142,0.0009,-3.0457574905606752
137,Eubacterium-sp.-14-2,1.3223452072271187,0.0382,-1.4179366370882913
138,Faecalibacterium,1.4243879996290305,0.0616,-1.2104192878355746
139,Faecalibaculum,5.397301970293531,0.016,-1.7958800173440752
140,Faecalibaculum-rodentium,1.817021175709757,0.2959,-0.528855034839367
