,Variable,Statistic,P-value,log10(P-value)
0,A2,3.4836058506337158,0.007,-2.154901959985743
1,ASF356,1.7373579356082833,0.213,-0.6716203965612623
2,Acetatifactor,3.527194519147104,0.0165,-1.7825160557860937
3,Acetatifactor-muris,0.7903641954656266,0.9537,-0.020588217365564668
4,Acidovorax,0.8839285714285705,1.0,0.0
5,Acinetobacter,inf,9e-06,-5.045757490560675
6,Acinetobacter-sp.-CIP-56.2,,1e-06,-6.0
7,Acutalibacter-muris,6.563827168477562,0.0099,-2.00436480540245
8,Adlercreutzia-mucosicola,40.33038377879284,9e-06,-5.045757490560675
9,Adlercreutzia-muris,inf,0.001,-3.0
10,Akkermansia,2.0245746116597294,0.0586,-1.2321023839819094
11,Akkermansia-muciniphila,28.507843696812962,9e-06,-5.045757490560675
12,Akkermansia-sp.-KLE1798,0.8839285714285718,1.0,0.0
13,Alistipes,12.975875910938859,9e-06,-5.045757490560675
14,Alistipes-finegoldii,inf,9e-06,-5.045757490560675
15,Alistipes-inops,1321.1505820265795,9e-06,-5.045757490560675
16,Alistipes-obesi,63.01719347091013,9e-06,-5.045757490560675
17,Alistipes-shahii,4.942785941273325,0.0017,-2.769551078621726
18,Alistipes-sp.-N15.MGS-157,10.064539522468674,0.0011,-2.958607314841775
19,Alistipes-sp.-cv1,11.954017412379295,0.0008,-3.0969100130080562
20,Allobaculum,4.348222201093831,9e-06,-5.045757490560675
21,Alloprevotella,9.865333462787811,0.0004,-3.3979400086720375
22,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,,1e-06,-6.0
23,Alteromonas,27.890585426873464,0.0005,-3.3010299956639813
24,Anaerofilum,7169.12771005259,9e-06,-5.045757490560675
25,Anaerofustis,inf,9e-06,-5.045757490560675
26,Anaeroplasma,11.125030742388589,9e-06,-5.045757490560675
27,Anaerostipes,0.7778493822586029,0.7265,-0.13876438136595964
28,Anaerotruncus,0.13697284457308578,0.9553,-0.019860222254245517
29,Anaerotruncus-sp.-G3(2012),23.086802747277673,0.001,-3.0
30,Anaerovoracaceae,11.461852842073494,0.001,-3.0
31,Anaerovorax,19.755939662025227,9e-06,-5.045757490560675
32,Anoxybacillus,inf,0.0013,-2.886056647693163
33,Arcobacteraceae,0.7796735580111168,0.5856,-0.23239893194966454
34,Asticcacaulis,3.0894310621719074,9e-06,-5.045757490560675
35,Atopobiaceae,1.3095238095238089,0.2868,-0.5424208530042375
36,Bacilli,1.2045938413685873,0.2829,-0.5483670525430092
37,Bacillus,0.6805892299746524,0.7237,-0.14044142737394646
38,Bacteria,4.809863523130054,0.0026,-2.5850266520291822
39,Bacteroidales,0.9075197375004315,0.454,-0.34294414714289606
40,Bacteroides,14.182759846389295,9e-06,-5.045757490560675
41,Bacteroides-acidifaciens,3.902718490489439,0.014,-1.853871964321762
42,Bacteroides-caccae,1.3555973491732243,0.0788,-1.1034737825104448
43,Bacteroides-caecimuris,2.6528440623149243,0.0494,-1.3062730510763532
44,Bacteroides-coprocola-DSM-17136,9.373090122228222,0.001,-3.0
45,Bacteroides-faecichinchillae,,1e-06,-6.0
46,Bacteroides-nordii,3.058261983845627,0.0046,-2.337242168318426
47,Bacteroides-sartorii,60.59864233837735,6e-06,-5.221848749616356
48,Bacteroides-sp.-Smarlab-3302398,inf,9e-06,-5.045757490560675
49,Bacteroides-stercorirosoris,75.08497893308285,9e-06,-5.045757490560675
50,Bacteroides-uniformis,3.0396090247477976,9e-06,-5.045757490560675
51,Bacteroides-vulgatus-ATCC-8482,3.3491773771577282,0.0023,-2.638272163982407
52,Bacteroides-xylanisolvens,10.983860371897023,5e-05,-4.301029995663981
53,Bifidobacterium,30.18553608197075,9e-06,-5.045757490560675
54,Bifidobacterium-choerinum,5.312063521384401,0.0018,-2.744727494896694
55,Bilophila,6.91238834372726,9e-06,-5.045757490560675
56,Blautia,40.477050967528804,9e-06,-5.045757490560675
57,Bosea,inf,0.0013,-2.886056647693163
58,Brachybacterium,inf,0.001,-3.0
59,Bradyrhizobium,inf,0.001,-3.0
60,Brevinema,0.6114542038634002,0.765,-0.11633856484638239
61,Burkholderia-Caballeronia-Paraburkholderia,inf,0.001,-3.0
62,Burkholderiales,,1e-06,-6.0
63,Burkholderiales-bacterium-YL45,2.910427368438697,9e-06,-5.045757490560675
64,Butyricicoccus,3.9414166533222934,0.009,-2.0457574905606752
65,Butyricimonas,28.427818500519972,9e-06,-5.045757490560675
66,Butyricimonas-sp.-AT11,0.984593204602628,0.4753,-0.3230321857052415
67,Butyricimonas-synergistica,0.22343517564112367,0.896,-0.047691990337874794
68,Butyricimonas-virosa,1.1199049223289608,0.33,-0.4814860601221125
69,Candidatus-Arthromitus,inf,0.001,-3.0
70,Candidatus-Gastranaerophilales-bacterium-Zag_111,2.681897505853123,0.0086,-2.065501548756432
71,Candidatus-Saccharimonas,2.530670385992847,0.0149,-1.826813731587726
72,Candidatus-Soleaferrea,6405.662298469366,9e-06,-5.045757490560675
73,Candidatus-Stoquefichus,,1e-06,-6.0
74,Caproiciproducens,0.8839285714285716,1.0,0.0
75,Catenibacterium,inf,0.0013,-2.886056647693163
76,Cellulosimicrobium,inf,9e-06,-5.045757490560675
77,Cetobacterium,1.2005882954041536,0.2868,-0.5424208530042375
78,Chloroplast,4.376815304057016,0.0376,-1.424812155072339
79,Christensenella-minuta,203.7669350696071,9e-06,-5.045757490560675
80,Christensenella-sp.-Marseille-P2437,10.095015831694774,0.0009,-3.0457574905606752
81,Christensenellaceae,11.171379035671746,0.0008,-3.0969100130080562
82,Christensenellaceae-R-7-group,6.245738810809976,0.0073,-2.136677139879544
83,Clostridia,2.3685551539502594,0.0127,-1.8961962790440432
84,Clostridia-UCG-014,2.801400833752212,0.0413,-1.3840499483435988
85,Clostridia-vadinBB60-group,10.796952632564048,9e-06,-5.045757490560675
86,Clostridiales-bacterium-CIEAF-012,7.50939533298794,0.0008,-3.0969100130080562
87,Clostridiales-bacterium-CIEAF-020,0.8892457561148874,0.5656,-0.24749059921115701
