,Variable,Statistic,P-value,log10(P-value)
0,A2,1.2682957376686916,0.3271,-0.48531945587501835
1,ASF356,1.8160893750614047,0.1913,-0.7182850299727042
2,Acetatifactor,1.7476510972599015,0.2324,-0.6337638762817068
3,Acetatifactor-muris,0.6698314277458018,0.9835,-0.007225635744644454
4,Acidovorax,,1e-06,-6.0
5,Acinetobacter,1.5788201788506695,0.0003,-3.5228787452803374
6,Acinetobacter-sp.-CIP-56.2,1.1538461538461537,0.6142,-0.21169018789294994
7,Acutalibacter-muris,7.528098073128802,0.0022,-2.657577319177794
8,Adlercreutzia-mucosicola,46.37427045652308,7e-05,-4.154901959985743
9,Adlercreutzia-muris,inf,0.0007,-3.154901959985743
10,Akkermansia,1.909626244343228,0.0202,-1.6946486305533763
11,Akkermansia-muciniphila,16.319339873208182,3e-05,-4.522878745280337
12,Akkermansia-sp.-KLE1798,,1e-06,-6.0
13,Alistipes,8.00900205773557,3e-05,-4.522878745280337
14,Alistipes-finegoldii,inf,3e-05,-4.522878745280337
15,Alistipes-inops,763.1558740864625,5e-05,-4.301029995663981
16,Alistipes-obesi,57.227562007611546,3e-05,-4.522878745280337
17,Alistipes-shahii,3.5529007812267306,0.003,-2.5228787452803374
18,Alistipes-sp.-N15.MGS-157,6.32759068886525,0.0089,-2.050609993355087
19,Alistipes-sp.-cv1,9.562011267645572,0.0022,-2.657577319177794
20,Allobaculum,2.841476309079707,0.0012,-2.9208187539523753
21,Alloprevotella,3.8351655284552133,0.008,-2.0969100130080562
22,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,,1e-06,-6.0
23,Alteromonas,inf,0.0022,-2.657577319177794
24,Anaerofilum,5411.463302707983,3e-05,-4.522878745280337
25,Anaerofustis,1.5983337501929478,3e-05,-4.522878745280337
26,Anaeroplasma,9.663572052948695,0.0003,-3.5228787452803374
27,Anaerostipes,0.7692307692307683,1.0,0.0
28,Anaerotruncus,0.36164438674119076,0.8148,-0.08894897967187351
29,Anaerotruncus-sp.-G3(2012),inf,3e-05,-4.522878745280337
30,Anaerovoracaceae,8.992769055022269,0.0002,-3.6989700043360187
31,Anaerovorax,15.319275882575534,3e-05,-4.522878745280337
32,Anoxybacillus,inf,0.003,-2.5228787452803374
33,Arcobacteraceae,1.3480534544008782,0.2766,-0.5581478242267082
34,Asticcacaulis,2.842826715411204,0.0011,-2.958607314841775
35,Atopobiaceae,1.1538461538461537,0.6133,-0.21232703531250705
36,Bacilli,,1e-06,-6.0
37,Bacillus,0.9691080443547218,0.6001,-0.22177637323390353
38,Bacteria,3.7049169461121743,0.0055,-2.2596373105057563
39,Bacteroidales,1.9866683829099134,0.0139,-1.856985199745905
40,Bacteroides,9.059924572880817,0.0002,-3.6989700043360187
41,Bacteroides-acidifaciens,3.8059372589145184,0.0207,-1.6840296545430822
42,Bacteroides-caccae,1.1687387199627441,0.195,-0.7099653886374819
43,Bacteroides-caecimuris,2.1380649796250095,0.1001,-0.9995659225206814
44,Bacteroides-coprocola-DSM-17136,inf,0.0022,-2.657577319177794
45,Bacteroides-faecichinchillae,,1e-06,-6.0
46,Bacteroides-nordii,2.435084871534773,0.0147,-1.832682665251824
47,Bacteroides-sartorii,62.481311639367924,3e-05,-4.522878745280337
48,Bacteroides-sp.-Smarlab-3302398,inf,3e-05,-4.522878745280337
49,Bacteroides-stercorirosoris,90.43876261543912,3e-05,-4.522878745280337
50,Bacteroides-uniformis,4.706919247037116,0.0088,-2.0555173278498313
51,Bacteroides-vulgatus-ATCC-8482,261857.77570810242,0.0022,-2.657577319177794
52,Bacteroides-xylanisolvens,18.35947984952101,3e-05,-4.522878745280337
53,Bifidobacterium,1.1198858847875772,0.3278,-0.48439105076551975
54,Bifidobacterium-choerinum,13.782776455308111,0.003,-2.5228787452803374
55,Bilophila,6.160074915117648,7e-05,-4.154901959985743
56,Blautia,50.41695604847677,3e-05,-4.522878745280337
57,Bosea,,1e-06,-6.0
58,Brachybacterium,1.1538461538461542,0.6142,-0.21169018789294994
59,Bradyrhizobium,inf,0.0007,-3.154901959985743
60,Brevinema,0.6895284978095328,0.6124,-0.21296481797377653
61,Burkholderia-Caballeronia-Paraburkholderia,inf,0.0022,-2.657577319177794
62,Burkholderiales,,1e-06,-6.0
63,Burkholderiales-bacterium-YL45,2.576709339894127,3e-05,-4.522878745280337
64,Butyricicoccus,3.6977636540699086,0.0114,-1.9430951486635273
65,Butyricimonas,33.83150844979599,0.0002,-3.6989700043360187
66,Butyricimonas-sp.-AT11,0.8658514476216773,0.725,-0.13966199342900631
67,Butyricimonas-synergistica,0.5627346974241363,0.6665,-0.176199846250122
68,Butyricimonas-virosa,0.9438319091574578,0.4929,-0.3072411818452758
69,Candidatus-Arthromitus,inf,0.0022,-2.657577319177794
70,Candidatus-Gastranaerophilales-bacterium-Zag_111,2.755770276742144,0.0168,-1.7746907182741372
71,Candidatus-Saccharimonas,2.0125975607690405,0.0876,-1.0574958938319192
72,Candidatus-Soleaferrea,17686.352318227368,3e-05,-4.522878745280337
73,Candidatus-Stoquefichus,inf,0.003,-2.5228787452803374
74,Caproiciproducens,0.7692307692307689,1.0,0.0
75,Catenibacterium,,1e-06,-6.0
76,Cellulosimicrobium,inf,0.0022,-2.657577319177794
77,Cetobacterium,1.110583847058732,0.6133,-0.21232703531250705
78,Chloroplast,4.736217123900352,0.028,-1.5528419686577808
79,Christensenella-minuta,103.82322863188553,3e-05,-4.522878745280337
80,Christensenella-sp.-Marseille-P2437,7.991924217332221,0.0038,-2.42021640338319
81,Christensenellaceae,9.640275552454797,0.0003,-3.5228787452803374
82,Christensenellaceae-R-7-group,5.662662425167192,0.002,-2.6989700043360187
83,Clostridia,2.1294318627941426,0.0289,-1.5391021572434522
84,Clostridia-UCG-014,0.8464727721531491,0.5127,-0.2901366825596007
85,Clostridia-vadinBB60-group,7.828165274532268,3e-05,-4.522878745280337
86,Clostridiales-bacterium-CIEAF-012,6.31826365581748,0.0037,-2.431798275933005
87,Clostridiales-bacterium-CIEAF-020,0.5208477999595666,0.8442,-0.0735546521816107
88,Clostridiales-bacterium-CIEAF-021,inf,0.0022,-2.657577319177794
89,Clostridiales-bacterium-CIEAF-026,1.0051489178420767,0.584,-0.23358715288760054
90,Clostridium-isatidis,,1e-06,-6.0
91,Clostridium-sensu-stricto-1,3.420615298255652,0.0013,-2.886056647693163
92,Clostridium-sp.-ASF356,1.1538461538461535,0.3591,-0.4447845948739269
93,Clostridium-sp.-Clone-44,1.009928685477267,0.2993,-0.5238932831598085
94,Clostridium-sp.-Clone-47,inf,0.0007,-3.154901959985743
95,Clostridium-sp.-Clone-49,0.7697576372464456,0.6358,-0.1966794764212459
96,Clostridium-sp.-Culture-27,1.0141521624414258,0.6193,-0.20809891999042876
97,Clostridium-sp.-Culture-41,144.05454559863352,0.0002,-3.6989700043360187
98,Clostridium-sp.-Culture-54,0.4516459385097424,0.7572,-0.12078939470824086
99,Clostridium-sp.-ND2,inf,0.003,-2.5228787452803374
100,Colidextribacter,5.326578418399037,3e-05,-4.522878745280337
101,Collinsella,1.5688767353189446,0.0007,-3.154901959985743
102,Coprococcus,inf,0.003,-2.5228787452803374
103,Coriobacteriaceae-UCG-002,6.4936841030759025,0.0001,-4.0
104,Corynebacterium,1.102762734973955,0.3315,-0.47951646725920805
105,Corynebacterium-propinquum,inf,0.0022,-2.657577319177794
106,Corynebacterium-tuberculostearicum,1.0763561347341735,0.6178,-0.20915209603456816
107,DNF00809,inf,3e-05,-4.522878745280337
108,Defluviitaleaceae-UCG-011,1.3472044792441769,0.2748,-0.5609832716124872
109,Desmonostoc-PCC-7422,1.7967335306963603,0.0041,-2.3872161432802645
110,Desulfovibrio,36.601857009597964,3e-05,-4.522878745280337
111,Desulfovibrio-fairfieldensis,185.966695460977,3e-05,-4.522878745280337
112,Desulfovibrionaceae,117.07952042411051,0.0009,-3.0457574905606752
113,Devosia,1.153846153846154,0.6133,-0.21232703531250705
114,Dialister,1.1538461538461533,0.6171,-0.20964445358561357
115,Dialister-invisus-DSM-15470,1.1204913904993903,0.3666,-0.4358075393738022
116,Dialister-sp.-Marseille-P5638,1.1546951290308891,0.081,-1.0915149811213503
117,Dielma,,1e-06,-6.0
118,Dorea-sp.-5-2,1.9442732121566066,0.1092,-0.9617773616312816
119,Dubosiella,6.499266751018626,0.0002,-3.6989700043360187
120,Dubosiella-newyorkensis,7.319460345900543,0.00016,-3.795880017344075
121,Dyadobacter-fermentans,inf,3e-05,-4.522878745280337
122,Eggerthella,,1e-06,-6.0
123,Eisenbergiella,26.04197000320275,0.0007,-3.154901959985743
124,Elizabethkingia,inf,0.003,-2.5228787452803374
125,Endozoicomonas,0.7692307692307689,1.0,0.0
126,Enterobacterales,1.1538461538461557,0.6171,-0.20964445358561357
127,Enterobacteriaceae,1.1457252400872908,0.3997,-0.3982658517398951
128,Enterococcus,1.1451058599686892,0.34,-0.46852108295774486
129,Enterorhabdus,0.7970973198676745,0.7795,-0.10818388047513953
130,Erysipelatoclostridium,3.2548611906590876,0.003,-2.5228787452803374
131,Erysipelatoclostridium-ramosum,1.3384296336287167,0.0005,-3.3010299956639813
