,Variable,Statistic,P-value,log10(P-value)
0,A2,1.493386425980087,0.1944,-0.7113037394097442
1,ASF356,4.023187754251139,0.0185,-1.7328282715969863
2,Acetatifactor,7.756460930299938,0.0016,-2.795880017344075
3,Acetatifactor-muris,16.580434660533573,3e-05,-4.522878745280337
4,Acidovorax,1.0000000000000002,1.0,0.0
5,Acinetobacter,1.2989213656144423,0.0003,-3.5228787452803374
6,Acinetobacter-sp.-CIP-56.2,,1e-06,-6.0
7,Acutalibacter-muris,18.058874929399707,1e-06,-6.0
8,Adlercreutzia-mucosicola,6.392700810017313,2e-05,-4.698970004336019
9,Adlercreutzia-muris,inf,0.0005,-3.3010299956639813
10,Akkermansia,65.71492981079645,1e-06,-6.0
11,Akkermansia-muciniphila,112.6789727927017,2.5e-05,-4.6020599913279625
12,Akkermansia-sp.-KLE1798,,1e-06,-6.0
13,Alistipes,27.113972768459202,2e-06,-5.698970004336019
14,Alistipes-finegoldii,21864.17969934851,1e-06,-6.0
15,Alistipes-inops,546.1167015684053,1e-06,-6.0
16,Alistipes-obesi,0.3899820755363645,0.8524,-0.06935655895783562
17,Alistipes-shahii,5.590376316785099,0.002,-2.6989700043360187
18,Alistipes-sp.-N15.MGS-157,18.004295879648208,1e-06,-6.0
19,Alistipes-sp.-cv1,0.8781914241403811,0.5401,-0.2675258227188065
20,Allobaculum,2.7631591986190056,0.0172,-1.764471553092451
21,Alloprevotella,16.634793419026597,3e-06,-5.522878745280337
22,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.9999999999999999,1.0,0.0
23,Alteromonas,inf,0.0003,-3.5228787452803374
24,Anaerofilum,28.826815653574375,1e-06,-6.0
25,Anaerofustis,6.2052367132967445,0.0027,-2.5686362358410126
26,Anaeroplasma,4.246724688491282,0.0002,-3.6989700043360187
27,Anaerostipes,1.0000000000000002,1.0,0.0
28,Anaerotruncus,6.9432752679145855,0.0015,-2.8239087409443187
29,Anaerotruncus-sp.-G3(2012),inf,1e-06,-6.0
30,Anaerovoracaceae,1.885320344825921,1e-06,-6.0
31,Anaerovorax,96.66574163416165,1e-06,-6.0
32,Anoxybacillus,1.8732270589062134,0.00017,-3.769551078621726
33,Arcobacteraceae,1.5904859729158494,0.187,-0.7281583934635011
34,Asticcacaulis,inf,1e-06,-6.0
35,Atopobiaceae,,1e-06,-6.0
36,Bacilli,inf,0.00017,-3.769551078621726
37,Bacillus,0.3315312698073553,0.9365,-0.028492218288743824
38,Bacteria,1.806880711279661,0.0683,-1.1655792963184675
39,Bacteroidales,5.828636773644774,1e-06,-6.0
40,Bacteroides,11.450068835277454,0.0001,-4.0
41,Bacteroides-acidifaciens,14.728828189532932,1e-06,-6.0
42,Bacteroides-caccae,26.846625725444035,0.0005,-3.3010299956639813
43,Bacteroides-caecimuris,621.1634032088785,1e-06,-6.0
44,Bacteroides-coprocola-DSM-17136,inf,0.0003,-3.5228787452803374
45,Bacteroides-faecichinchillae,1.0000000000000004,1.0,0.0
46,Bacteroides-nordii,102.9301662615628,0.0005,-3.3010299956639813
47,Bacteroides-sartorii,20.296476235611465,1e-06,-6.0
48,Bacteroides-sp.-Smarlab-3302398,1.3216749377900787,0.0003,-3.5228787452803374
49,Bacteroides-stercorirosoris,420.92633762651496,1e-06,-6.0
50,Bacteroides-uniformis,380.5489510979024,1e-06,-6.0
51,Bacteroides-vulgatus-ATCC-8482,2.126160554326192,0.0527,-1.2781893847874535
52,Bacteroides-xylanisolvens,62.17901096862455,1e-06,-6.0
53,Bifidobacterium,5.362941744070041,1e-06,-6.0
54,Bifidobacterium-choerinum,10.169593114309382,1e-06,-6.0
55,Bilophila,41.485239412961924,1e-06,-6.0
56,Blautia,4.011362955916713,0.0005,-3.3010299956639813
57,Bosea,1.2874262192222834,0.3613,-0.44213203843197774
58,Brachybacterium,1.061171845088039,0.0005,-3.3010299956639813
59,Bradyrhizobium,inf,0.0005,-3.3010299956639813
60,Brevinema,1.2089944207068604,0.3044,-0.5165553519014647
61,Burkholderia-Caballeronia-Paraburkholderia,8.01966130499359,0.0002,-3.6989700043360187
62,Burkholderiales,0.9999999999999991,1.0,0.0
63,Burkholderiales-bacterium-YL45,184.37559018781647,1e-06,-6.0
64,Butyricicoccus,28.34055145902593,1e-06,-6.0
65,Butyricimonas,77.41548892844695,1e-06,-6.0
66,Butyricimonas-sp.-AT11,3.352186321774009,0.0041,-2.3872161432802645
