,Variable,Statistic,P-value,log10(P-value)
0,A2,2.911357384324562,0.0255,-1.5934598195660448
1,ASF356,2.2147130736278497,0.0317,-1.4989407377822486
2,Acetatifactor,2.1370059005663746,0.0909,-1.0414361167780326
3,Acetatifactor-muris,3.595215463571058,0.0056,-2.2518119729937998
4,Acidovorax,1.0,1.0,0.0
5,Acinetobacter,1.1666855305387822,1e-06,-6.0
6,Acinetobacter-sp.-CIP-56.2,,1e-06,-6.0
7,Acutalibacter-muris,5.317022216889054,0.0002,-3.6989700043360187
8,Adlercreutzia-mucosicola,7.742028706791825,0.0003,-3.5228787452803374
9,Adlercreutzia-muris,inf,0.0005,-3.3010299956639813
10,Akkermansia,140.93896701225142,1e-06,-6.0
11,Akkermansia-muciniphila,53.28995969843858,1e-06,-6.0
12,Akkermansia-sp.-KLE1798,,1e-06,-6.0
13,Alistipes,2.256108925298604,0.0901,-1.045275209020937
14,Alistipes-finegoldii,862.3968044647667,1e-06,-6.0
15,Alistipes-inops,893.0679581577853,1e-06,-6.0
16,Alistipes-obesi,0.6028365104622443,0.8471,-0.07206531825882057
17,Alistipes-shahii,2.0886261321398694,0.0155,-1.8096683018297086
18,Alistipes-sp.-N15.MGS-157,3.0199485679969955,0.0355,-1.449771646944906
19,Alistipes-sp.-cv1,3.3972872912639605,0.0084,-2.0757207139381184
20,Allobaculum,3.519407527555151,0.00013,-3.886056647693163
21,Alloprevotella,27.543015929155317,1e-06,-6.0
22,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,1.0,1.0,0.0
23,Alteromonas,inf,0.0003,-3.5228787452803374
24,Anaerofilum,59.30710811953588,1e-06,-6.0
25,Anaerofustis,4.22312024227592,0.0008,-3.0969100130080562
26,Anaeroplasma,2.429662722397831,0.0327,-1.485452247339714
27,Anaerostipes,1.000000000000001,1.0,0.0
28,Anaerotruncus,5.397736516397192,0.0124,-1.9065783148377649
29,Anaerotruncus-sp.-G3(2012),116.7268876525814,0.0003,-3.5228787452803374
30,Anaerovoracaceae,1.9601181386646487,1e-06,-6.0
31,Anaerovorax,15.131568518292196,0.0002,-3.6989700043360187
32,Anoxybacillus,1.0436052760733403,0.00017,-3.769551078621726
33,Arcobacteraceae,1.7378024841344553,0.0606,-1.2175273758337137
34,Asticcacaulis,inf,1e-06,-6.0
35,Atopobiaceae,,1e-06,-6.0
36,Bacilli,1.1124138064675693,0.00017,-3.769551078621726
37,Bacillus,1.5234597763942834,0.2111,-0.6755117666923436
38,Bacteria,1.7733335968827642,0.0786,-1.1045774539605921
39,Bacteroidales,7.943195631058356,1e-06,-6.0
40,Bacteroides,2.833389245936446,0.0145,-1.8386319977650252
41,Bacteroides-acidifaciens,20.532553840471117,2e-05,-4.698970004336019
42,Bacteroides-caccae,1.5952513070846783,0.0266,-1.575118363368933
43,Bacteroides-caecimuris,21.631930986964377,0.0003,-3.5228787452803374
44,Bacteroides-coprocola-DSM-17136,inf,0.0003,-3.5228787452803374
45,Bacteroides-faecichinchillae,1.0000000000000004,0.801,-0.09636748391576232
46,Bacteroides-nordii,3.8442793736564194,0.0002,-3.6989700043360187
47,Bacteroides-sartorii,16.691747148628362,1e-06,-6.0
48,Bacteroides-sp.-Smarlab-3302398,2.3549423829572,1e-06,-6.0
49,Bacteroides-stercorirosoris,612.6499379824055,1e-06,-6.0
50,Bacteroides-uniformis,58.35589401477579,2e-05,-4.698970004336019
51,Bacteroides-vulgatus-ATCC-8482,3.5446913735547434,0.0025,-2.6020599913279625
52,Bacteroides-xylanisolvens,41.49179839487855,4e-05,-4.3979400086720375
53,Bifidobacterium,6.136344969549428,1e-06,-6.0
54,Bifidobacterium-choerinum,48.00428773948115,1e-06,-6.0
55,Bilophila,3.6029518462907606,0.0093,-2.0315170514460648
56,Blautia,1.7474108983000762,0.1318,-0.880084589742009
57,Bosea,0.7244642446774198,1.0,0.0
58,Brachybacterium,1.0000000000000002,1.0,0.0
59,Bradyrhizobium,inf,0.0005,-3.3010299956639813
60,Brevinema,1.0973965003015889,0.376,-0.42481215507233894
61,Burkholderia-Caballeronia-Paraburkholderia,2.921107916401187,0.0002,-3.6989700043360187
62,Burkholderiales,0.9999999999999996,1.0,0.0
63,Burkholderiales-bacterium-YL45,51.176108508488724,6e-05,-4.221848749616356
64,Butyricicoccus,10.347407207325627,0.0003,-3.5228787452803374
65,Butyricimonas,61.361579960988564,0.0003,-3.5228787452803374
66,Butyricimonas-sp.-AT11,0.5384232527525823,1.0,0.0
67,Butyricimonas-synergistica,13.95342279146526,1e-06,-6.0
68,Butyricimonas-virosa,4.138674011465913,0.0019,-2.721246399047171
69,Candidatus-Arthromitus,inf,0.0003,-3.5228787452803374
70,Candidatus-Gastranaerophilales-bacterium-Zag_111,0.9140391416673502,0.6897,-0.16133977401105853
71,Candidatus-Saccharimonas,1.8017773522739071,0.0012,-2.9208187539523753
72,Candidatus-Soleaferrea,92.84434470894199,0.0003,-3.5228787452803374
73,Candidatus-Stoquefichus,inf,0.0004,-3.3979400086720375
74,Caproiciproducens,,1e-06,-6.0
75,Catenibacterium,1.3744510111162358,0.00017,-3.769551078621726
76,Cellulosimicrobium,1.114357327603648,0.00017,-3.769551078621726
77,Cetobacterium,0.9999999999999988,1.0,0.0
78,Chloroplast,3.553816711135226,4e-06,-5.3979400086720375
79,Christensenella-minuta,14.917876441595253,1e-06,-6.0
80,Christensenella-sp.-Marseille-P2437,6.27512130998044,0.0002,-3.6989700043360187
81,Christensenellaceae,1.5404597467372327,0.2341,-0.6305985863033756
82,Christensenellaceae-R-7-group,5.584367489670954,0.0007,-3.154901959985743
83,Clostridia,2.4594932645971896,0.0393,-1.4056074496245732
84,Clostridia-UCG-014,5.963968584793534,5e-06,-5.301029995663981
85,Clostridia-vadinBB60-group,23.985314566834823,1e-06,-6.0
86,Clostridiales-bacterium-CIEAF-012,2.5131482450957865,0.0106,-1.9746941347352298
87,Clostridiales-bacterium-CIEAF-020,1.1155443475931626,0.0419,-1.3777859770337046
88,Clostridiales-bacterium-CIEAF-021,inf,0.0003,-3.5228787452803374
89,Clostridiales-bacterium-CIEAF-026,1.9126043817256493,0.0005,-3.3010299956639813
90,Clostridium-isatidis,inf,0.00017,-3.769551078621726
91,Clostridium-sensu-stricto-1,52.8986923013763,1e-06,-6.0
92,Clostridium-sp.-ASF356,,1e-06,-6.0
93,Clostridium-sp.-Clone-44,0.46892423335455913,0.697,-0.1567672219019906
94,Clostridium-sp.-Clone-47,inf,0.0005,-3.3010299956639813
95,Clostridium-sp.-Clone-49,,1e-06,-6.0
96,Clostridium-sp.-Culture-27,2.7710122439338196,0.0101,-1.9956786262173574
97,Clostridium-sp.-Culture-41,11.699249803054819,0.0005,-3.3010299956639813
98,Clostridium-sp.-Culture-54,1.5039913703032872,0.1513,-0.8201610719768133
99,Clostridium-sp.-ND2,1.1411146488128276,0.1915,-0.7178312216953584
100,Colidextribacter,29.75702077155564,2e-06,-5.698970004336019
101,Collinsella,7.73689867793304,0.0005,-3.3010299956639813
102,Coprococcus,inf,0.00017,-3.769551078621726
103,Coriobacteriaceae-UCG-002,27.033039940083658,1e-06,-6.0
104,Corynebacterium,0.730254701740003,1.0,0.0
105,Corynebacterium-propinquum,1.0000000000000002,1.0,0.0
106,Corynebacterium-tuberculostearicum,1.310723470302783,0.0005,-3.3010299956639813
107,DNF00809,inf,1e-06,-6.0
108,Defluviitaleaceae-UCG-011,1.4586395712518583,0.2391,-0.6214204238842252
109,Desmonostoc-PCC-7422,inf,1e-06,-6.0
110,Desulfovibrio,0.7295837389608905,0.9394,-0.027149444152769892
111,Desulfovibrio-fairfieldensis,160.51072501455943,1e-06,-6.0
