Variable,P_ind_corrected,P_rsp_corrected
Akkermansia-muciniphila,5.85e-06,2.17e-05
Alistipes,5.85e-06,0.006235897
Alistipes-shahii,0.00010604700000000001,0.00285
Alloprevotella,0.0027794290000000004,0.0020266670000000002
Anaerovorax,5.85e-06,0.0014539129999999998
Bacteria,0.000836697,0.00285
Bacteroides,2.9600000000000005e-05,0.004974545
Bacteroides-acidifaciens,0.000836697,2.17e-05
Bacteroides-caecimuris,0.027866667,0.001105455
Bacteroides-nordii,0.0026358379999999997,0.015523404
Bacteroides-uniformis,0.00450989,0.0060799999999999995
Bifidobacterium-choerinum,0.000330435,0.027083636
Blautia,5.85e-06,0.023969231
Candidatus-Saccharimonas,0.006843979,0.025333333
Christensenella-sp.-Marseille-P2437,0.00150922,0.033295238
Christensenellaceae,7.509999999999998e-05,0.00021955599999999998
Clostridia-vadinBB60-group,5.85e-06,0.023969231
Clostridiales-bacterium-CIEAF-012,0.000596078,0.00285
Clostridium-sensu-stricto-1,0.00010604700000000001,0.042375758
Colidextribacter,5.85e-06,0.028228571
Coriobacteriaceae-UCG-002,5.85e-06,2.17e-05
Desulfovibrio,0.005258378,0.000579048
Desulfovibrio-fairfieldensis,5.85e-06,0.011054545
Faecalibaculum,9.65e-06,2.17e-05
Family-XIII-AD3011-group,5.85e-06,9.499999999999999e-05
Frisingicoccus,0.004198895,0.042375758
Gastranaerophilales,0.00035957,0.006235897
Lachnospiraceae-NK4A136-group,0.000596078,0.014862222
Lachnospiraceae-bacterium-28-4,5e-05,0.015523404
Muribaculaceae,0.000836697,2.17e-05
Muribaculum,5.85e-06,0.00285
NK4A214-group,0.001413953,0.00032
Negativibacillus,9.65e-06,0.00010729399999999999
Odoribacter,1.3000000000000001e-05,0.006235897
Parabacteroides,5.85e-06,0.019
Parasutterella,7.509999999999998e-05,2.17e-05
Prevotellaceae-UCG-001,0.000596078,0.002171429
Rikenella,5.85e-06,0.0060799999999999995
Rikenellaceae-RC9-gut-group,5.85e-06,0.008156098
Ruminococcaceae,9.65e-06,6.08e-05
Tannerellaceae,9.65e-06,0.002171429
Tuzzerella,0.002171429,0.041325
UBA1819,0.0027794290000000004,0.033295238
[Clostridium]-leptum,0.008033161,0.046280597
[Eubacterium]-nodatum-group,5.85e-06,0.008685714
[Eubacterium]-xylanophilum-group,5.85e-06,0.002171429
mouse-gut-metagenome,0.0034350279999999997,0.0288
