,Variable,Statistic,P-value,log10(P-value)
0,A2,0.9830406908758516,0.4508,-0.3460160926259311
1,ASF356,1.7564228603755334,0.1444,-0.8404328067663797
2,Acetatifactor,3.2783145685087525,0.0151,-1.8210230527068305
3,Acetatifactor-muris,0.7639200669827494,0.8723,-0.05933412752417117
4,Acidovorax,0.8425925925925919,1.0,0.0
5,Acinetobacter,2.005879235095858,1e-06,-6.0
6,Acinetobacter-sp.-CIP-56.2,1.209876543209877,0.4406,-0.3559555071852512
7,Acutalibacter-muris,6.118753414577819,0.0065,-2.1870866433571443
8,Adlercreutzia-mucosicola,41.207240042706374,2e-06,-5.698970004336019
9,Adlercreutzia-muris,inf,0.0004,-3.3979400086720375
10,Akkermansia,1.8651941200884048,0.0467,-1.330683119433888
11,Akkermansia-muciniphila,39.24200761244924,1e-06,-6.0
12,Akkermansia-sp.-KLE1798,0.8425925925925923,1.0,0.0
13,Alistipes,14.326241464063552,1e-06,-6.0
14,Alistipes-finegoldii,inf,1e-06,-6.0
15,Alistipes-inops,1546.0365187300777,2e-06,-5.698970004336019
16,Alistipes-obesi,59.189262597645,1e-06,-6.0
17,Alistipes-shahii,4.604755855194057,0.00013,-3.886056647693163
18,Alistipes-sp.-N15.MGS-157,9.533601916078906,0.0007,-3.154901959985743
19,Alistipes-sp.-cv1,10.163815293813053,0.0008,-3.0969100130080562
20,Allobaculum,4.109101853825996,0.0004,-3.3979400086720375
21,Alloprevotella,6.962471428812714,0.0015,-2.8239087409443187
22,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,,1e-06,-6.0
23,Alteromonas,25.837286624543342,0.0005,-3.3010299956639813
24,Anaerofilum,6770.1823806944085,1e-06,-6.0
25,Anaerofustis,1.5406447430874919,1e-06,-6.0
26,Anaeroplasma,10.480319640104161,2e-05,-4.698970004336019
27,Anaerostipes,0.7736400580355591,0.8367,-0.0774302310142877
28,Anaerotruncus,0.6239302542285347,0.7104,-0.14849704722945536
29,Anaerotruncus-sp.-G3(2012),inf,1e-06,-6.0
30,Anaerovoracaceae,9.403426173888443,1e-06,-6.0
31,Anaerovorax,24.942632556403467,1e-06,-6.0
32,Anoxybacillus,inf,0.0009,-3.0457574905606752
33,Arcobacteraceae,2.314981223458857,0.079,-1.1023729087095586
34,Asticcacaulis,2.6352047613400154,0.0003,-3.5228787452803374
35,Atopobiaceae,1.209876543209877,0.4427,-0.3538904780211521
36,Bacilli,1.1482622924830368,0.3775,-0.42308304403479297
37,Bacillus,0.87919328392703,0.6221,-0.2061397986573304
38,Bacteria,4.484415270004329,0.0019,-2.721246399047171
39,Bacteroidales,2.068426694948926,0.0044,-2.3565473235138126
40,Bacteroides,10.763941625368458,3e-06,-5.522878745280337
41,Bacteroides-acidifaciens,6.341946679192968,0.0004,-3.3979400086720375
42,Bacteroides-caccae,1.2801805440167915,0.0907,-1.0423927129399047
43,Bacteroides-caecimuris,2.565262799435317,0.0233,-1.632644078973981
44,Bacteroides-coprocola-DSM-17136,8.685777540536783,0.0011,-2.958607314841775
45,Bacteroides-faecichinchillae,,1e-06,-6.0
46,Bacteroides-nordii,2.8217402496278643,0.0028,-2.5528419686577806
47,Bacteroides-sartorii,55.92479318205102,1e-06,-6.0
48,Bacteroides-sp.-Smarlab-3302398,inf,1e-06,-6.0
49,Bacteroides-stercorirosoris,69.5515215504917,1e-06,-6.0
50,Bacteroides-uniformis,5.262908482802561,0.0098,-2.0087739243075053
51,Bacteroides-vulgatus-ATCC-8482,3.0627202645045455,0.0023,-2.638272163982407
52,Bacteroides-xylanisolvens,10.352916986689683,2e-05,-4.698970004336019
53,Bifidobacterium,1.481080091186009,0.0936,-1.0287241512618948
54,Bifidobacterium-choerinum,5.176262339190052,0.0011,-2.958607314841775
55,Bilophila,6.184162696205117,2e-06,-5.698970004336019
56,Blautia,45.3352223685481,1e-06,-6.0
57,Bosea,inf,0.0007,-3.154901959985743
58,Brachybacterium,1.2098765432098775,0.4406,-0.3559555071852512
59,Bradyrhizobium,inf,0.0004,-3.3979400086720375
60,Brevinema,1.293003313037633,0.2787,-0.5548630312866958
61,Burkholderia-Caballeronia-Paraburkholderia,inf,0.0011,-2.958607314841775
62,Burkholderiales,,1e-06,-6.0
63,Burkholderiales-bacterium-YL45,2.5715546801120674,1e-06,-6.0
64,Butyricicoccus,3.7641802796136337,0.0043,-2.3665315444204134
65,Butyricimonas,26.258925274724085,3e-05,-4.522878745280337
66,Butyricimonas-sp.-AT11,0.9551462066047159,0.5536,-0.25680391855129864
67,Butyricimonas-synergistica,0.19402536338332807,0.9576,-0.018815862601645743
68,Butyricimonas-virosa,1.1597768252865641,0.2466,-0.6080069277402871
69,Candidatus-Arthromitus,inf,0.0011,-2.958607314841775
70,Candidatus-Gastranaerophilales-bacterium-Zag_111,2.3670390347416985,0.0067,-2.1739251972991736
71,Candidatus-Saccharimonas,2.32012647037534,0.017,-1.7695510786217261
72,Candidatus-Soleaferrea,5628.1321603837605,1e-06,-6.0
73,Candidatus-Stoquefichus,inf,0.0009,-3.0457574905606752
74,Caproiciproducens,0.8425925925925918,1.0,0.0
75,Catenibacterium,inf,0.0007,-3.154901959985743
76,Cellulosimicrobium,inf,3e-06,-5.522878745280337
77,Cetobacterium,1.1278733940847174,0.4427,-0.3538904780211521
78,Chloroplast,4.838164984209912,0.0105,-1.978810700930062
79,Christensenella-minuta,155.5352659162372,1e-06,-6.0
80,Christensenella-sp.-Marseille-P2437,9.8194418274998,0.0007,-3.154901959985743
81,Christensenellaceae,11.731169381036688,3e-06,-5.522878745280337
82,Christensenellaceae-R-7-group,6.661574246991068,0.0002,-3.6989700043360187
83,Clostridia,2.227457958532931,0.0159,-1.7986028756795485
