,Variable,pRelabIDVL,log10_pRelabIDVL,pAbsabIDVL,log10_pAbsabIDVL,meanAbsab_rs,log10_meanAbsab_rs,meanAbsab_cellulose,log10_meanAbsab_cellulose,MeanAreaRatio,log10_MeanAreaRatio,pAbsabAreaRatio,log10_pAbsabAreaRatio
0,A2,0.23451428600000002,-0.629830697,0.038567164,-1.4137822930000001,160663.2291362442,5.205916491507996,63524.06593228353,4.802938287835946,2.529171059477061,0.4029782036720499,0.05555862068965517,-1.2552485446894133
1,ASF356,0.023931915,-1.62102255,0.046554589,-1.3320375,101075.1523615184,5.00464440466529,101582.70531454342,5.0068197746230485,0.9950035495564583,-0.002175369957758573,1.0,0.0
2,Acetatifactor,0.002384314,-2.622636601,0.12281600000000001,-0.9107450509999999,203027.6440556366,5.307555175073033,206054.58757315652,5.313982288045408,0.9853099921085462,-0.0064271129723750195,1.0,0.0
3,Acetatifactor-muris,8.52e-05,-4.0693889389999995,0.009252174,-2.0337562119999997,77.84363109224462,1.8912230858233101,154.6835401362545,2.1894441029151666,0.5032444371500374,-0.2982210170918565,0.7277118012422361,-0.13804058210366177
4,Acidovorax,1.0,0.0,1.0,0.0,105.24041023757168,2.02218253233999,0.0,-inf,inf,inf,0.7448,-0.12796033202671378
5,Acinetobacter,0.000562963,-3.2495201760000003,4.9e-06,-5.3095181060000005,162.5424151907527,2.210966708574335,181.9378919299104,2.2599231583394044,0.8933950672209087,-0.04895644976506894,1.0,0.0
6,Acinetobacter-sp.-CIP-56.2,3.49e-06,-5.456645668999999,4.9e-06,-5.3095181060000005,59.28776493548388,1.7729650783685365,0.0,-inf,inf,inf,1.0,0.0
7,Acutalibacter-muris,3.49e-06,-5.456645668999999,0.0005577980000000001,-3.253522919,31485.1112923285,4.498105232767785,19815.120598296366,4.296996719870575,1.5889437127642554,0.2011085128972108,0.7346070588235294,-0.13394490284427962
8,Adlercreutzia-mucosicola,5.79e-05,-4.23728572,0.000690909,-3.160579093,326.41147767186374,2.5137654215337712,706.9038187298387,2.8493603277481814,0.46174807523088257,-0.33559490621441046,0.7215587096774194,-0.1417283267304107
9,Adlercreutzia-muris,0.0007794869999999999,-3.1081910230000003,0.000955975,-3.019553536,63.266332790322586,1.8011726614690327,1101.0190157350357,3.0417948197505704,0.05746161681693231,-1.2406221582815375,0.18354716981132077,-0.7362523076721292
10,Akkermansia,3.49e-06,-5.456645668999999,4.9e-06,-5.3095181060000005,1586.099353251971,3.200330388036849,2231.6205571397936,3.3486203533707277,0.7107388163177842,-0.14828996533387862,0.8984605042016807,-0.04650100946683444
11,Akkermansia-muciniphila,7.170000000000001e-05,-4.144492273,4.9e-06,-5.3095181060000005,4137171.70158632,6.616703545431181,1750417.350131128,6.243141609400174,2.3635344458145338,0.3735619360310065,0.4645119999999999,-0.3330030621515752
12,Akkermansia-sp.-KLE1798,3.49e-06,-5.456645668999999,4.9e-06,-5.3095181060000005,0.0,-inf,0.0,-inf,,,2.7636363636363633e-05,-4.5585191015494715
13,Alistipes,6.68e-06,-5.175137813,0.122278571,-0.912649644,1431408.1677931612,6.155763491023361,1720624.8399189282,6.235686188332129,0.8319118349242277,-0.07992269730876811,0.7629658536585365,-0.11749489834854886
14,Alistipes-finegoldii,3.49e-06,-5.456645668999999,4.9e-06,-5.3095181060000005,53.31720506379929,1.7268673752282508,1405.076036681344,3.147699827029427,0.03794613506449762,-1.420832451801176,0.11725714285714284,-0.9308606922465158
