,NCBIID,EC,Forward,Reverse
0,46123,1.1.1.86,1222870.968,2916076.923
1,46123,2.6.1.83,7862.982456,7862.982456
2,46123,2.3.1.180,323533.3333,323533.3333
3,46123,4.2.1.59,1093708,1093708
4,46123,2.3.3.13,47619.04762,39024.39024
5,46123,2.3.1.41,861570.4915,547456.25
6,46123,4.2.3.1,60672.13115,1088529.412
7,46123,3.1.3.1,2274.247492,2274.247492
8,46123,3.1.3.2,12611.60714,12111.46838
9,46123,4.1.1.21,264.5461538,223.3181818
10,46123,1.2.1.3,43497.92531,43497.92531
11,46123,6.2.1.16,11237.48056,11237.48056
12,46123,6.2.1.20,4449437.5,4449437.5
13,46123,1.2.1.10,19843.14286,19843.14286
14,46123,2.7.1.156,89457.01357,89457.01357
15,46123,2.7.1.59,528.1384615,528.1384615
16,46123,2.7.8.33,27772.5,27772.5
17,46123,2.2.1.6,20878.125,20878.125
18,46123,2.7.2.1,102.6373365,72.05175292
19,46123,2.5.1.56,10276.8407,10276.8407
20,46123,2.3.1.38,3136363.638,3179.723499
21,46123,2.7.4.3,278296.1539,278296.1539
22,46123,3.2.2.8,2337662.338,2823.529412
23,46123,2.4.2.7,4287.245445,4287.245445
24,46123,4.3.2.2,783613.4454,797008.547
25,46123,3.5.1.25,4700,4700
26,46123,3.5.3.12,1365.227538,1365.227538
27,46123,3.2.1.52,1409.812734,1409.812734
28,46123,6.3.2.4,26547.33725,26547.33725
29,46123,3.4.11.23,417.918552,417.918552
30,46123,5.1.1.1,56984313.73,6227.571429
31,46123,1.1.1.1,420.3233256,420.3233256
32,46123,2.4.1.25,716087.5,540.4433962
33,46123,5.3.1.4,1657.828103,1657.828103
34,46123,4.1.1.19,72049.68944,276190.4762
35,46123,2.1.3.2,154.676259,154.676259
36,46123,1.4.3.16,323550,171291.1765
37,46123,4.3.1.1,2717.368421,580.1123596
38,46123,2.6.1.1,1723.438596,2728.777778
39,46123,3.2.1.21,1630.78681,1630.78681
40,46123,3.1.3.7,369.6947368,369.6947368
41,46123,1.1.1.4,703.1818182,703.1818182
42,46123,2.5.1.17,2916266.667,3313939.394
43,46123,6.3.5.5,89733.8403,786666.6667
44,46123,5.4.99.5,1083.260274,1083.260274
45,46123,4.2.3.5,5036144.578,5036144.578
46,46123,1.3.3.3,17600000,17600000
47,46123,6.3.4.2,440119.7605,440119.7605
48,46123,4.4.1.1,7826.274745,54360
49,46123,2.5.1.47,155.4487179,208.1545064
50,46123,4.4.1.8,175.1252688,175.1252688
51,46123,2.7.1.213,121.1912351,134.5973451
52,46123,2.7.4.14,184.7196653,53.83902439
53,46123,2.7.1.48,3849430.894,3849430.894
54,46123,4.1.1.20,1133.698276,1133.698276
55,46123,5.1.1.7,11879200,11879200
56,46123,1.4.1.16,1273.773066,7780.095923
57,46123,2.7.7.41,28811.65919,28811.65919
58,46123,3.5.4.12,660.4819277,1074.901961
59,46123,4.1.2.14,161.6322702,161.6322702
60,46123,3.2.1.20,1172.161172,1172.161172
61,46123,4.2.1.9,148555,148555
62,46123,2.7.1.29,2513.416407,2914.763969
63,46123,4.3.3.7,464.0142857,464.0142857
64,46123,1.5.1.3,4361.445783,4542.032622
65,46123,1.3.5.2,813.1367925,813.1367925
66,46123,1.3.98.1,8783.499289,8783.499289
67,46123,3.5.2.3,27155.55556,21203.65297
68,46123,4.2.3.4,4480.432432,4480.432432
69,46123,4.2.1.10,255.3181818,255.3181818
70,46123,2.7.1.24,1038813.953,1351558.245
71,46123,1.1.1.169,2011.987952,1999.94012
72,46123,4.1.2.4,73.828125,73.828125
73,46123,2.7.1.145,1405000,1405000
74,46123,2.4.2.1,2.114879337,2.114879337
75,46123,1.1.1.267,108796.2963,146875
76,46123,1.2.1.72,360750,360750
77,46123,1.3.1.10,230.4147465,1666.666667
78,46123,4.2.1.11,1726.843444,1726.843444
79,46123,6.2.1.3,4000000,4000000
80,46123,4.1.2.13,4258.474574,908.2693185
81,46123,5.3.1.25,342846.3476,342846.3476
82,46123,4.1.2.17,1990.625,2430.061038
83,46123,2.7.7.2,443223.8806,494933333.3
84,46123,3.2.1.18,102178.938,102178.938
85,46123,2.5.1.29,251600,251600
86,46123,6.3.3.2,27848.10127,27672.95597
87,46123,6.3.2.17,34594.59459,34594.59459
88,46123,4.2.1.2,293.1506849,2547.619048
89,46123,2.3.1.157,655.9961198,655.9961198
