,MiceID,Vendor,k1,k2,D,H,Ai,R2,zeta
0,BI3,Beijing,0.459887893,0.459887874,-2.194339461,1.107608977,5.745295881,0.773555346,1
1,GI2,Guangdong,3.74E-10,0.081403412,-0.305356346,0.018894311,6.139936998,0.354749135,7378.430141
2,GI3,Guangdong,0.085085839,0.085089441,-0.422550705,0.048055875,6.289933902,0.899239896,1
3,HI5,Hunan,1.049020731,1.049066451,-6.075536641,5.225447952,5.609634869,0.775061509,1
4,SI5,Shanghai,0.590580029,0.590579985,-1.968402922,1.548086504,5.122238552,0.739330181,1
5,BI1,Beijing,0.590178489,0.590176281,-2.413911407,1.866774817,5.713627051,0.727635269,1
6,SI2,Shanghai,9.76E-04,5.34727535,-1.68313128,1.99E-12,4.92714091,0.37192987,37.02276118
7,SI3,Shanghai,0.003986634,6.09880328,-0.433236494,0.275495575,3.713251778,0.762574786,19.56919289
8,SI4,Shanghai,0.399215799,6.38E-09,-0.386628032,0.017845021,4.379241906,0.937474999,3954.860978
9,GI4,Guangdong,1.823066067,2.074887941,-8.51552878,21.51528557,6.501075788,0.692870175,1.002093368
10,BI2,Beijing,0.694439215,0.694438965,-2.60650407,2.387257777,5.930558104,0.755511704,1
11,GI1,Guangdong,0.070590178,0.070560564,-0.415103868,0.046913679,6.33259138,0.668324159,1.000000022
12,HI1,Hunan,1.825929798,1.708848378,-7.741449858,13.64255432,5.479636245,0.847459684,1.000549009
13,HI4,Hunan,0.359943635,0.359943646,-1.94717594,0.591199521,4.680923862,0.723951473,1
14,SI1,Shanghai,0.029599091,0.050609227,-0.083801535,0.011313052,4.434793776,0.555910584,1.036180402
15,HI2,Hunan,0.618961101,0.618956519,-1.60614658,1.6985771,4.986214344,0.808542353,1
16,BI5,Beijing,9.980037505,0.438401133,-37.18155446,22.06364981,6.023738565,0.96384305,2.490409256
17,BI4,Beijing,0.439749123,2.572742292,-4.680857484,5.471355119,6.326249455,0.760953854,1.416104127
