MiceID,Vendor,k1,k2,D,H,Ai,R2,zeta
GR5,Guangdong,9.999999956,9.999999965,-9.01E-08,618.7024021,5.164832907,0.452596993,1
BR5,Beijing,1.007722898,9.696990157,-25.67150777,52.54823668,6.072603675,0.950129317,1.712205918
BR4,Beijing,0.080709748,0.140776695,-0.206647382,0.068700682,5.494615703,0.811571627,1.03893595
GR4,Guangdong,0.083406459,0.083404443,-0.254721404,0.054570309,6.367998444,0.691020693,1
GR2,Guangdong,0.026833889,0.021923375,-5.97E-09,2.72E-15,6.377375888,0.701645527,1.005110513
SR3,Shanghai,0.164933487,7.309126096,-6.475139174,5.78379948,4.608031338,0.78303348,3.403607036
GR3,Guangdong,1.40E-08,0.064963435,-0.060831556,0.004008383,6.192943677,0.449188549,1076.651248
BR2,Beijing,0.116484567,2.35039453,-1.4809611,1.410952795,6.170614429,0.54172958,2.357291503
SR1,Shanghai,1.15E-09,0.931506269,-1.19202674,0.068489429,4.448156711,0.986468833,14236.42284
SR4,Shanghai,0.006665296,0.012851669,-0.107517373,0.008168977,4.529173565,0.706313729,1.054369408
SR5,Shanghai,1.36E-09,9.935317223,-12.826253,0.406791592,5.005223614,0.793248715,42807.28599
HR5,Hunan,0.33560615,0.335606056,-0.598374833,0.547681745,6.028411783,0.734022848,1
HR4,Hunan,0.087618612,0.970991298,-0.482832133,0.402625507,5.668504567,0.436049719,1.814680225
BR3,Beijing,0.158044871,0.045793349,-0.225316751,0.045263866,5.994519073,0.486689761,1.198020408
BR1,Beijing,0.019402325,3.727395385,-2.955500025,0.430413533,5.793465401,0.594595222,6.966275244
GR1,Guangdong,0.045405803,0.472270711,-6.30E-09,0.104517889,6.297241352,0.628012864,1.767572677
HR1,Hunan,0.930191576,0.918728125,-0.004607919,4.235776692,4.641867501,0.068619047,1.000019221
HR2,Hunan,10,0.11929944,-5.451088019,5.293680401,6.192309737,0.771053446,4.632348764
HR3,Hunan,0.150861422,0.142372972,-6.32E-09,0.098875268,4.802610629,0.114302924,1.000419247
SR2,Shanghai,0.019789805,0.206387343,-0.298296285,0.027412914,4.993077252,0.522011378,1.769523923
