,Variable,Statistic,P-value,log10(P-value)
0,Bacteroides,2.782963998621444,0.0327,-1.485452247339714
1,Parabacteroides,35.36424597943476,1e-06,-6.0
2,Faecalibaculum,10.604608734002303,0.0007,-3.154901959985743
3,Parasutterella,7.8529970584461966,3e-05,-4.522878745280337
4,Lachnospiraceae-NK4A136-group,22.47226484447744,3e-05,-4.522878745280337
5,Muribaculaceae,20.26288722330936,2e-05,-4.698970004336019
6,Blautia,205.37100042864515,1e-06,-6.0
7,Akkermansia,78.36282910919655,2e-06,-5.698970004336019
8,Bacteroidales,2.768348594694141,0.0006,-3.2218487496163566
9,Lachnospiraceae,11.399487155773521,7e-05,-4.154901959985743
10,Peptococcaceae,1225.959627657583,1e-06,-6.0
11,Clostridia-vadinBB60-group,175.89239198744446,1e-06,-6.0
12,Alloprevotella,21.513751156145908,1e-06,-6.0
13,Escherichia-Shigella,1.5314225336675322,0.0023,-2.638272163982407
14,Oscillospiraceae,41.80566195674524,1e-06,-6.0
15,Desulfovibrionaceae,126.30943932762379,0.0011,-2.958607314841775
16,Helicobacter,24.207119275136918,3e-05,-4.522878745280337
17,Ruminococcus,3.533597570515332,1e-06,-6.0
18,Rikenellaceae-RC9-gut-group,3169.7643585539904,1e-06,-6.0
19,Mucispirillum,14.297427639472016,1e-05,-5.0
20,Alistipes,1424.9666355329498,1e-06,-6.0
21,Clostridia-UCG-014,3.0891568831842457,0.0318,-1.4975728800155672
