#SampleID	forward-absolute-filepath	reverse-absolute-filepath	Figure	Mice_ID	Day	If_longitudinal	Group	Time	Sample_description
#q2:types	categorical	categorical	categorical	categorical	numeric	categorical	categorical	categorical	categorical
sample1	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcon-M1_S185_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcon-M1_S185_L001_R2_001.fastq	1a	Fcon_M1	0	No	Before	Morning	Before_Morning_01
sample2	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcon-M2_S186_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcon-M2_S186_L001_R2_001.fastq	1a	Fcon_M2	0	No	Before	Morning	Before_Morning_02
sample3	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcon-M3_S187_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcon-M3_S187_L001_R2_001.fastq	1a	Fcon_M3	0	No	Before	Morning	Before_Morning_03
sample4	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcon-M4_S188_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcon-M4_S188_L001_R2_001.fastq	1a	Fcon_M4	0	No	Before	Morning	Before_Morning_04
sample5	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcon-M5_S189_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcon-M5_S189_L001_R2_001.fastq	1a	Fcon_M5	0	No	Before	Morning	Before_Morning_05
sample6	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcon-N1_S190_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcon-N1_S190_L001_R2_001.fastq	1a	Fcon_N1	0	No	Before	Evening	Before_Evening_01
sample7	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcon-N2_S191_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcon-N2_S191_L001_R2_001.fastq	1a	Fcon_N2	0	No	Before	Evening	Before_Evening_02
sample8	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcon-N3_S192_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcon-N3_S192_L001_R2_001.fastq	1a	Fcon_N3	0	No	Before	Evening	Before_Evening_03
sample9	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcon-N4_S193_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcon-N4_S193_L001_R2_001.fastq	1a	Fcon_N4	0	No	Before	Evening	Before_Evening_04
sample10	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcon-N5_S194_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcon-N5_S194_L001_R2_001.fastq	1a	Fcon_N5	0	No	Before	Evening	Before_Evening_05
sample11	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcel-M1_S205_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcel-M1_S205_L001_R2_001.fastq	1a	Fcel_M1	14	No	Cellulose	Morning	Cellulose_Morning_01
