#OTU ID	sample1	sample10	sample100	sample101	sample102	sample103	sample104	sample105	sample106	sample107	sample108	sample109	sample11	sample110	sample111	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample2	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample3	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample4	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample5	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample6	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample7	sample70	sample71	sample72	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample8	sample80	sample81	sample82	sample83	sample84	sample85	sample86	sample87	sample88	sample89	sample9	sample90	sample91	sample92	sample93	sample94	sample95	sample96	sample97	sample98	sample99
d272bf25781448dde9031a24679a9012	246.0	644.0	4359.0	5480.0	15714.0	9596.0	17123.0	9133.0	15811.0	9633.0	718.0	12797.0	53.0	17486.0	3085.0	65.0	79.0	94.0	482.0	349.0	18.0	100.0	108.0	563.0	93.0	1495.0	4109.0	1837.0	2250.0	1403.0	5755.0	7139.0	5209.0	5793.0	308.0	5764.0	11801.0	21496.0	29476.0	1793.0	14142.0	8535.0	22389.0	17516.0	21990.0	218.0	18914.0	43058.0	24694.0	11932.0	23893.0	682.0	42133.0	21181.0	25997.0	30824.0	2322.0	8498.0	19795.0	17931.0	44582.0	30767.0	39168.0	38053.0	32001.0	23458.0	6191.0	1677.0	26302.0	29187.0	39964.0	33994.0	36206.0	31162.0	30220.0	21102.0	21216.0	25100.0	2414.0	41874.0	37685.0	35763.0	21446.0	12431.0	13135.0	13959.0	7026.0	15979.0	9809.0	2866.0	29608.0	17125.0	14561.0	6829.0	15793.0	24403.0	17045.0	13525.0	42333.0	47837.0	707.0	14249.0	3090.0	12033.0	25129.0	6503.0	4630.0	14446.0	14282.0	13749.0	8127.0
d33d84f90d2924040cf2eb66c7abe2fc	200.0	722.0	8736.0	9975.0	5686.0	3564.0	2264.0	3006.0	2555.0	1701.0	1764.0	4830.0	963.0	1664.0	775.0	449.0	880.0	1100.0	1055.0	198.0	18.0	203.0	185.0	1505.0	127.0	795.0	143.0	401.0	95.0	1589.0	465.0	124.0	643.0	600.0	649.0	1374.0	2823.0	944.0	1300.0	1410.0	1328.0	3509.0	3152.0	2604.0	2460.0	880.0	359.0	328.0	118.0	127.0	261.0	4426.0	108.0	63.0	150.0	199.0	209.0	13502.0	23.0	82.0	6.0	915.0	122.0	9492.0	1393.0	892.0	7942.0	1354.0	2246.0	148.0	24.0	1227.0	10355.0	14436.0	3225.0	423.0	6372.0	10102.0	479.0	711.0	2259.0	1662.0	20276.0	4290.0	1898.0	2800.0	8626.0	1959.0	6998.0	539.0	6062.0	4429.0	7047.0	14973.0	4226.0	5339.0	16252.0	20347.0	15321.0	10161.0	184.0	1294.0	9117.0	10873.0	2670.0	10121.0	11813.0	4273.0	5471.0	5271.0	3651.0
ec098ad12ef2923b449a01762462578b	1733.0	745.0	498.0	831.0	384.0	2182.0	647.0	2462.0	1840.0	1933.0	943.0	1173.0	2133.0	812.0	629.0	2284.0	3876.0	3117.0	1771.0	2313.0	249.0	967.0	3392.0	4404.0	3000.0	1246.0	2226.0	1569.0	1249.0	1819.0	1282.0	2084.0	1060.0	1541.0	3143.0	1778.0	15475.0	7951.0	9299.0	8083.0	8310.0	13292.0	8020.0	14356.0	14225.0	2041.0	2358.0	1034.0	252.0	245.0	964.0	10195.0	1050.0	510.0	1259.0	683.0	1180.0	755.0	497.0	689.0	1032.0	569.0	864.0	1203.0	1058.0	924.0	484.0	1718.0	1193.0	831.0	889.0	685.0	502.0	960.0	574.0	368.0	832.0	861.0	1403.0	747.0	619.0	616.0	878.0	414.0	361.0	618.0	1133.0	444.0	405.0	1755.0	1294.0	1291.0	711.0	589.0	1126.0	1033.0	1251.0	1065.0	1180.0	2666.0	517.0	749.0	247.0	926.0	364.0	988.0	701.0	730.0	1405.0	1307.0	462.0
cb7b937fdccf682f018b57aa6b9d92b2	0.0	0.0	3801.0	14677.0	6272.0	12650.0	5305.0	17362.0	12704.0	1558.0	5710.0	9306.0	0.0	6814.0	3428.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	20.0	101.0	0.0	0.0	0.0	0.0	0.0	1074.0	0.0	0.0	185.0	494.0	17.0	0.0	3.0	0.0	0.0	19490.0	10.0	63.0	4648.0	4677.0	1925.0	79.0	59.0	66.0	0.0	6793.0	43.0	590.0	3485.0	9025.0	7488.0	5631.0	7064.0	4396.0	4643.0
b6c1a8ba78f65c4a4e96627ccc53ac86	8.0	279.0	10470.0	11148.0	1148.0	9444.0	8102.0	3566.0	2243.0	2979.0	3533.0	21930.0	1096.0	4657.0	1762.0	50.0	27.0	287.0	449.0	0.0	0.0	0.0	0.0	944.0	0.0	9.0	0.0	0.0	0.0	80.0	82.0	53.0	912.0	798.0	2385.0	915.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	418.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	46.0	3.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	2.0	0.0	2069.0	0.0	0.0	0.0	0.0	0.0	31.0	3.0	2.0	86.0	73.0	95.0	5.0	34.0	0.0	32.0	68.0	0.0	0.0	586.0	841.0	3320.0	555.0	735.0	9.0	1791.0	3276.0	5.0	6.0	4617.0	1070.0	3341.0	247.0	3838.0	11.0	2982.0	3014.0	11.0	591.0	13994.0	5438.0	3523.0	2872.0	357.0
1dcd5cddd286ba7e9e4786d8d8c1d201	16.0	362.0	365.0	177.0	477.0	1357.0	323.0	315.0	150.0	1099.0	162.0	958.0	0.0	385.0	293.0	10.0	0.0	0.0	121.0	34.0	0.0	11.0	312.0	17.0	42.0	112.0	604.0	460.0	793.0	190.0	592.0	329.0	454.0	367.0	75.0	311.0	634.0	7567.0	3897.0	689.0	870.0	3028.0	1567.0	501.0	3721.0	12.0	1960.0	2894.0	8471.0	7723.0	1192.0	105.0	1550.0	4512.0	1358.0	445.0	286.0	67.0	195.0	197.0	638.0	1559.0	1948.0	1853.0	1376.0	395.0	76.0	260.0	489.0	696.0	1057.0	889.0	1193.0	982.0	1183.0	183.0	414.0	587.0	347.0	861.0	1015.0	834.0	1044.0	559.0	107.0	951.0	352.0	4834.0	3708.0	12.0	5514.0	4110.0	3069.0	1125.0	3136.0	10132.0	1193.0	2011.0	2573.0	1414.0	230.0	3347.0	341.0	246.0	2512.0	4495.0	265.0	725.0	1254.0	320.0	165.0
77b9851880c51f6bd7f9f7d9eefee583	50.0	2528.0	142.0	284.0	535.0	2024.0	2353.0	3448.0	1730.0	1471.0	381.0	2504.0	396.0	3615.0	343.0	364.0	48.0	103.0	571.0	102.0	109.0	35.0	207.0	83.0	191.0	40.0	378.0	74.0	315.0	70.0	793.0	586.0	776.0	871.0	281.0	783.0	6037.0	3568.0	7817.0	887.0	8229.0	4644.0	6286.0	1070.0	9068.0	187.0	7054.0	3024.0	2001.0	3406.0	3910.0	39.0	253.0	3907.0	1691.0	250.0	279.0	125.0	90.0	179.0	282.0	227.0	432.0	614.0	313.0	187.0	92.0	2037.0	291.0	455.0	185.0	415.0	295.0	836.0	632.0	222.0	366.0	572.0	935.0	428.0	232.0	1028.0	267.0	403.0	190.0	577.0	153.0	2081.0	609.0	4733.0	559.0	647.0	931.0	438.0	808.0	2608.0	633.0	735.0	1183.0	503.0	1070.0	1492.0	64.0	376.0	708.0	863.0	158.0	1063.0	851.0	258.0	1794.0
d4d8164137f9c7bff371e4a611eff9d7	98.0	0.0	433.0	434.0	135.0	905.0	7756.0	970.0	163.0	270.0	2882.0	1858.0	852.0	5358.0	1918.0	494.0	200.0	1478.0	735.0	463.0	69.0	233.0	466.0	0.0	267.0	48.0	631.0	747.0	7.0	2338.0	203.0	448.0	232.0	123.0	351.0	222.0	7682.0	2994.0	293.0	3531.0	0.0	5654.0	4138.0	2491.0	9235.0	0.0	3047.0	718.0	54.0	724.0	0.0	239.0	690.0	1111.0	2064.0	1946.0	0.0	1002.0	0.0	89.0	0.0	3452.0	562.0	748.0	1292.0	1527.0	725.0	233.0	135.0	2583.0	8.0	1659.0	1589.0	260.0	535.0	821.0	447.0	0.0	0.0	3630.0	0.0	4995.0	976.0	281.0	138.0	476.0	3008.0	384.0	1355.0	19.0	665.0	977.0	1479.0	562.0	1083.0	1501.0	979.0	191.0	697.0	363.0	0.0	284.0	865.0	521.0	980.0	522.0	511.0	290.0	507.0	1125.0	363.0
f53aeb5a124d986af7766210d158019b	0.0	0.0	856.0	3604.0	4179.0	1521.0	3330.0	3583.0	1160.0	1206.0	7671.0	2677.0	0.0	1866.0	8161.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	690.0	0.0	804.0	420.0	594.0	12.0	27.0	21.0	0.0	0.0	13.0	0.0	17.0	0.0	0.0	0.0	9.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	467.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	23.0	967.0	6.0	9.0	98.0	55.0	6.0	10.0	0.0	8.0	8.0	1512.0	0.0	97.0	34.0	1579.0	23.0	654.0	209.0	0.0	857.0	9320.0	210.0	1539.0	3389.0	4406.0	10.0	354.0	35.0	37.0	0.0	2297.0	235.0	1939.0	2734.0	2038.0	44.0	8869.0	2223.0	1963.0	2423.0
97ccb7279e702b364b30af7401d483ef	0.0	0.0	0.0	0.0	255.0	0.0	0.0	0.0	0.0	0.0	126.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6671.0	6195.0	14811.0	15243.0	4760.0	18949.0	0.0	0.0	95.0	0.0	184.0	0.0	1023.0	244.0	164.0	3497.0	0.0	0.0	0.0	118.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	152.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	213.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	339.0	0.0	0.0	133.0	0.0	0.0	1370.0	218.0	0.0	0.0	252.0	0.0	0.0	0.0	0.0	125.0	788.0	0.0	0.0	0.0	383.0	0.0	83.0
