SampleID,Acholeplasmataceae,Akkermansiaceae,Alteromonadaceae,Anaerofustaceae,Anaerovoracaceae,Anaplasmataceae,Arcobacteraceae,Atopobiaceae,Bacillaceae,Bacilli,Bacteria,Bacteroidaceae,Bacteroidales,Beijerinckiaceae,Bifidobacteriaceae,Brevinemataceae,Burkholderiaceae,Burkholderiales,Butyricicoccaceae,Candidatus-Gastranaerophilales-bacterium-Zag_111,Caulobacteraceae,Chloroplast,Christensenellaceae,Clostridia,Clostridia-UCG-014,Clostridia-vadinBB60-group,Clostridiaceae,Comamonadaceae,Coriobacteriaceae,Corynebacteriaceae,Deferribacteraceae,Defluviitaleaceae,Dermabacteraceae,Desulfovibrionaceae,Devosiaceae,Eggerthellaceae,Endozoicomonadaceae,Enterobacterales,Enterobacteriaceae,Enterococcaceae,Erysipelatoclostridiaceae,Erysipelotrichaceae,Ethanoligenenaceae,Firmicutes,Flavobacteriaceae,Fusobacteriaceae,Gastranaerophilales,Helicobacteraceae,Lachnospiraceae,Lactobacillaceae,Lactobacillales,Leuconostocaceae,Marinifilaceae,Methylomonadaceae,Micrococcaceae,Monoglobaceae,Moraxellaceae,Morganellaceae,Muribaculaceae,Mycoplasmataceae,Nocardiaceae,Nostocaceae,Oscillospiraceae,Oscillospirales,Oxalobacteraceae,Pasteurellaceae,Peptococcaceae,Peptoniphilus,Peptostreptococcaceae,Planococcaceae,Porphyromonadaceae,Prevotellaceae,Promicromonosporaceae,Pseudomonadaceae,RF39,Rhizobiaceae,Rhodospirillales,Rickettsiaceae,Rikenellaceae,Rubritaleaceae,Ruminiclostridium,Ruminococcaceae,Saccharimonadaceae,Selenomonadaceae,Shewanellaceae,Sphingobacteriaceae,Sphingomonadaceae,Spirosomaceae,Streptococcaceae,Subgroup-2,Sutterellaceae,Tannerellaceae,UCG-010,Vagococcaceae,Veillonellaceae,Vibrionaceae,Victivallaceae,Weeksellaceae,Xanthobacteraceae,Xanthomonadaceae,[Clostridium]-methylpentosum-group,[Eubacterium]-coprostanoligenes-group,gut-metagenome,metagenome
sample131,169554.3038,3771029.751,0,0,11540.34528,0,0,3550.875472,0,0,0,2538875.962,0,0,4438.59434,0,0,0,131382.3925,130494.6736,0,0,0,0,170442.0226,470491,15978.93962,0,0,0,2008020.079,19529.81509,0,448298.0283,0,0,0,0,37284.19245,8877.188679,48824.53774,21767754.36,0,0,0,0,314252.4792,5326.313208,9106220.147,352424.3906,0,0,2647177.664,0,0,14203.50189,0,0,22735367.93,0,0,0,1700869.351,0,0,0,79006.97925,0,60364.88302,0,0,9748040.889,0,0,0,0,79006.97925,0,7851873.387,0,0,1156697.685,21305.25283,0,0,0,0,0,4438.59434,0,2429686.542,1380402.84,7101.750943,0,0,0,0,0,0,0,0,126056.0792,0,0
sample132,0,2610640.727,0,0,53705.64954,0,0,1820.530493,0,0,0,7958449.05,0,0,20025.83542,0,0,0,349541.8547,0,0,0,14564.24394,0,71910.95447,142911.6437,18205.30493,0,0,0,13452810.08,0,0,3965115.414,0,0,0,0,34590.07937,0,0,17418835.76,0,0,0,0,96488.11613,11833.4482,21619709.87,363195.8334,0,0,2601538.075,0,0,10012.91771,0,13653.9787,26069996.66,0,0,0,7291224.624,0,0,0,183873.5798,0,0,0,0,284913.0222,0,0,0,0,22756.63116,0,4684224.958,0,0,2510511.55,6371.856726,0,0,0,0,0,14564.24394,0,4190861.195,852918.536,0,0,0,0,0,0,0,0,0,83744.40268,0,0
sample133,8680.704948,3729327.298,0,0,9162.966334,0,0,0,0,0,2411.30693,2443618.443,0,0,3375.829702,0,0,0,65105.28711,159628.5188,0,0,0,6269.398018,55460.05939,175060.8831,144678.4158,0,0,0,4054853.734,2411.30693,0,333242.6177,0,9162.966334,0,0,11574.27326,0,8198.443562,12548923.53,0,0,0,2411.30693,78608.60592,5304.875246,2801938.653,861801.0968,0,0,1601107.802,0,0,0,0,964.522772,14161123.34,0,0,0,972721.2156,0,0,0,27971.16039,0,0,0,0,1059046.004,0,0,0,0,88736.09502,0,6136776.137,0,0,577266.879,15432.36435,0,0,0,0,0,15432.36435,0,5227231.163,886878.6889,2893.568316,0,0,0,0,0,0,0,0,133104.1425,0,0
sample134,0,22628796,0,4350.018454,63800.27066,0,0,0,0,0,0,15673116.49,0,0,13050.05536,0,0,0,1071554.546,181250.7689,0,0,36250.15379,66700.28297,69600.29527,194300.8243,500252.1223,0,0,0,5086621.579,0,0,6626528.112,0,8700.036909,0,0,49300.20915,0,29000.12303,24916905.71,0,0,8700.036909,0,870003.6909,20300.08612,20363886.39,3709115.735,0,0,6114675.941,0,0,0,0,0,40082520.04,0,0,0,9565690.581,0,0,0,464001.9685,0,0,0,0,3720715.785,0,0,0,0,258101.095,0,31228782.48,0,0,6293026.697,758353.2172,0,0,0,7250.030757,0,52200.22145,0,6050875.67,5715924.249,17400.07382,0,0,0,0,0,0,0,8700.036909,652502.7682,0,0
sample135,3852.209286,4727623.846,0,0,17334.94179,0,0,3852.209286,0,0,0,6204946.107,0,0,9630.523214,0,0,0,117492.3832,135790.3773,0,0,8667.470893,12519.68018,533530.9861,45263.45911,1259672.436,0,0,0,761774.3862,0,0,714584.8225,0,12519.68018,0,0,35632.93589,0,26002.41268,19491215.93,0,0,0,0,88600.81357,6741.36625,4301954.72,2346958.507,0,0,2519344.873,0,3852.209286,0,0,4815.261607,20757629.74,0,0,0,1142180.053,0,0,0,30817.67428,0,18297.99411,4815.261607,0,1824984.149,0,0,0,0,184906.0457,0,13514513.23,0,0,856153.5137,19261.04643,0,0,0,0,0,32743.77893,0,3815613.297,2435559.321,10593.57554,0,0,0,0,0,0,0,0,402555.8703,0,0
sample136,0,3581541.238,0,0,59778.99018,0,0,0,0,0,0,5096808.685,0,0,72774.42283,70175.3363,0,0,891486.6797,51981.73059,0,0,28589.95183,0,426250.1909,116958.8938,662767.0651,0,0,0,392462.066,25990.8653,0,5208569.406,0,33788.12489,0,0,119557.9804,41585.38448,0,44886224.37,0,0,15594.51918,0,1091616.342,23391.77877,48119488.01,509420.9598,0,0,4922669.887,0,31189.03836,12995.43265,0,0,53419025.45,0,0,0,9964897.755,18193.60571,0,0,384664.8064,0,0,0,0,1413903.072,0,0,0,0,49382.64406,0,7602328.099,0,0,4465230.658,745937.834,15594.51918,0,0,0,0,12995.43265,0,7610125.359,2336578.79,0,0,0,0,0,0,0,0,0,272904.0856,0,0
sample137,7883.246819,1197268.111,0,3941.623409,135000.6018,0,0,0,0,0,0,2220119.385,0,0,6897.840967,14781.08779,0,0,49270.29262,1717562.401,0,0,25620.55216,9854.058524,681900.8498,170475.2125,772558.1883,0,0,0,1076063.191,0,0,1396320.093,0,0,0,0,18722.71119,0,18722.71119,11450416,0,0,0,0,299563.3791,5912.435114,7195433.534,831682.5394,0,0,2498003.836,0,4927.029262,0,0,0,21065020.91,11824.87023,0,0,3618410.29,0,0,0,117263.2964,0,0,13795.68193,0,6344042.878,0,0,4927.029262,0,76861.65648,0,12284069.36,0,0,1425882.268,135986.0076,0,0,0,0,0,26605.95801,0,2046687.955,2151140.976,8868.652671,0,0,0,0,0,0,0,10839.46438,480878.056,0,10839.46438
sample138,0,4444575.742,0,0,42195.33932,0,0,0,0,0,2344.185518,4180854.871,0,0,12893.02035,0,0,0,305916.2101,52744.17415,0,0,22269.76242,0,148855.7804,575497.5446,15237.20587,0,0,0,291851.097,32818.59725,0,794678.8906,0,0,0,0,26958.13346,0,43367.43208,13910396.86,0,0,17581.39138,0,1031441.628,11720.92759,6646938.036,112520.9049,0,0,3060334.194,0,0,4688.371036,0,0,27851268.14,4688.371036,0,0,2181264.624,0,0,0,46883.71036,0,0,0,0,4711812.891,0,0,2344.185518,0,234418.5518,0,9115365.386,0,0,1022064.886,546195.2257,0,0,0,7032.556554,0,10548.83483,0,5141970.933,1261171.809,32818.59725,0,0,0,0,0,0,0,0,460632.4543,0,0
sample139,20467.84678,2816375.717,0,0,29337.24705,0,0,0,0,0,0,1975829.476,0,0,88011.74114,0,0,0,72319.72528,194444.5444,0,0,38206.64732,6822.615592,146686.2352,657017.8816,25243.67769,0,0,0,2873685.688,19103.32366,0,287914.378,0,12280.70807,0,0,37524.38576,4093.569355,8187.138711,21621551.07,0,0,9551.661829,0,85282.69491,7504.877152,5344154.794,1783431.716,0,0,2446589.951,0,0,0,0,4775.830915,27057811.18,5458.092474,0,0,1244445.084,0,0,0,37524.38576,0,34795.33952,0,0,525341.4006,0,0,0,0,33430.8164,0,7184896.48,0,2046.784678,763450.6848,835770.4101,0,0,0,4775.830915,0,4093.569355,0,8092986.616,534893.0624,16374.27742,1364.523118,0,0,0,0,0,0,20467.84678,131676.4809,0,0
sample140,0,2813278.535,0,0,230638.1501,0,0,17741.39616,0,0,0,3766244.957,0,0,119120.8028,0,0,0,200224.3281,699517.9059,0,0,45620.73299,48155.21816,740069.6685,532241.8849,70965.58465,0,0,0,390310.7156,30413.82199,0,1809622.409,0,40551.76266,0,0,98844.92148,0,10137.94066,21170554.59,0,0,0,0,1485208.307,0,26302887.06,1193742.513,0,0,8128093.928,0,0,0,0,0,46011043.71,0,0,0,4311159.268,0,0,0,124189.7731,0,0,0,0,7910128.204,0,0,15206.911,0,628552.3212,0,8579232.288,0,0,2083346.807,443534.9041,0,0,0,0,0,0,0,8439835.604,1966760.489,48155.21816,0,0,0,0,0,0,0,0,278793.3683,0,0
