SampleID,A2,ASF356,Acetatifactor,Acidovorax,Acinetobacter,Akkermansia,Alistipes,Allobaculum,Alloprevotella,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Alteromonas,Anaerofilum,Anaerofustis,Anaeroplasma,Anaerostipes,Anaerotruncus,Anaerovoracaceae,Anaerovorax,Anoxybacillus,Arcobacteraceae,Asticcacaulis,Atopobiaceae,Bacilli,Bacillus,Bacteria,Bacteroidales,Bacteroides,Bifidobacterium,Bilophila,Blautia,Bosea,Brachybacterium,Bradyrhizobium,Brevinema,Burkholderia-Caballeronia-Paraburkholderia,Burkholderiales,Butyricicoccus,Butyricimonas,Candidatus-Arthromitus,Candidatus-Gastranaerophilales-bacterium-Zag_111,Candidatus-Saccharimonas,Candidatus-Soleaferrea,Candidatus-Stoquefichus,Caproiciproducens,Catenibacterium,Cellulosimicrobium,Cetobacterium,Chloroplast,Christensenella,Christensenella-sp.-Marseille-P2437,Christensenellaceae,Christensenellaceae-R-7-group,Clostridia,Clostridia-UCG-014,Clostridia-vadinBB60-group,Clostridium-sensu-stricto-1,Colidextribacter,Collinsella,Coprococcus,Coriobacteriaceae-UCG-002,Corynebacterium,DMER64,DNF00809,Defluviitaleaceae-UCG-011,Desmonostoc-PCC-7422,Desulfovibrio,Desulfovibrionaceae,Devosia,Dialister,Dielma,Dubosiella,Dyadobacter,Eggerthella,Eisenbergiella,Elizabethkingia,Endozoicomonas,Enterobacterales,Enterobacteriaceae,Enterococcus,Enterorhabdus,Erysipelatoclostridium,Erysipelotrichaceae,Erysipelotrichaceae-UCG-003,Escherichia-Shigella,Ethanoligenenaceae,Faecalibacterium,Faecalibaculum,Faecalitalea,Family-XIII-AD3011-group,Family-XIII-UCG-001,Firmicutes,Flavobacteriaceae,Flavobacterium,Flavonifractor,Frisingicoccus,Fusicatenibacter,Fusobacterium,GCA-900066575,Gastranaerophilales,Harryflintia,Helicobacter,Holdemanella,Incertae-Sedis,Intestinimonas,Klebsiella,Lachnoclostridium,Lachnospiraceae,Lachnospiraceae-AC2044-group,Lachnospiraceae-FCS020-group,Lachnospiraceae-NC2004-group,Lachnospiraceae-NK4A136-group,Lachnospiraceae-UCG-001,Lachnospiraceae-UCG-006,Lachnospiraceae-UCG-010,Lactobacillales,Lactobacillus,Lactococcus,Leuconostoc,Luteolibacter,Lysinibacillus,Lysobacter,Marine-Methylotrophic-Group-2,Marvinbryantia,Megamonas,Megasphaera,Methyloprofundus,Micrococcaceae,Monoglobus,Morganella,Mucilaginibacter,Mucispirillum,Muribaculaceae,Muribaculum,Mycoplasma,NK4A214-group,Negativibacillus,Nostoc-PCC-73102,Nostocaceae,Odoribacter,Oscillibacter,Oscillospiraceae,Oscillospirales,Oxalobacter,Paenarthrobacter,Paludicola,Parabacteroides,Paraprevotella,Parasutterella,Parvibacter,Pedobacter,Peptococcaceae,Peptococcus,Peptoniphilus,Peptostreptococcaceae,Porphyromonas,Prevotella,Prevotellaceae,Prevotellaceae-UCG-001,Proteus,Providencia,Pseudarthrobacter,Pseudomonas,RF39,Rhizobiaceae,Rhodococcus,Rhodospirillales,Rickettsia,Rikenella,Rikenella-sp.-Marseille-P3215,Rikenellaceae,Rikenellaceae-RC9-gut-group,Rodentibacter,Romboutsia,Roseburia,Ruminiclostridium,Ruminococcaceae,Ruminococcus,Shewanella,Sphingobium,Sphingomonas,Sphingopyxis,Streptococcus,Subdoligranulum,Subgroup-2,Tannerellaceae,Turicibacter,Tuzzerella,Tyzzerella,UBA1819,UCG-003,UCG-005,UCG-007,UCG-009,UCG-010,Vagococcus,Veillonella,Vibrio,Victivallis,Wolbachia,Xanthobacteraceae,[Acetivibrio]-ethanolgignens-group,[Clostridium]-innocuum-group,[Clostridium]-methylpentosum-group,[Eubacterium]-brachy-group,[Eubacterium]-coprostanoligenes-group,[Eubacterium]-fissicatena-group,[Eubacterium]-hallii-group,[Eubacterium]-nodatum-group,[Eubacterium]-oxidoreducens-group,[Eubacterium]-ventriosum-group,[Eubacterium]-xylanophilum-group,[Ruminococcus]-gnavus-group,[Ruminococcus]-torques-group,gut-metagenome,metagenome,mouse-gut-metagenome
sample131,0,108301.7019,7101.750943,0,0,3771029.751,1064374.923,0,9717858.447,0,0,0,0,169554.3038,0,485582.2208,0,0,0,0,0,0,0,0,0,0,2538875.962,4438.59434,258326.1906,267203.3792,0,0,0,0,0,0,0,141147.3,0,130494.6736,21305.25283,0,0,0,0,0,0,0,0,0,0,0,0,170442.0226,470491,15978.93962,682655.8094,0,0,3550.875472,0,0,0,19529.81509,0,7989.469811,181982.3679,0,0,0,5326.313208,0,0,0,0,0,0,4438.59434,8877.188679,0,48824.53774,9764.907547,0,32845.59811,0,0,21752663.14,0,0,0,0,0,0,0,0,0,0,142035.0189,314252.4792,24856.1283,5326.313208,0,127831.517,0,0,442083.9962,3509152.685,0,69242.0717,0,3394636.951,0,261877.066,0,0,352424.3906,0,0,0,0,0,0,130494.6736,0,0,0,0,14203.50189,0,0,2008020.079,21789059.61,814038.2019,0,27519.28491,1775.437736,0,0,2506030.364,365740.1736,624954.083,0,0,0,0,1380402.84,0,2429686.542,0,0,79006.97925,0,0,60364.88302,0,0,2663.156604,27519.28491,0,0,0,0,0,0,0,0,0,7989.469811,0,0,6779508.994,0,0,624954.083,0,474041.8755,7101.750943,0,0,0,0,4438.59434,0,0,0,0,86108.73019,0,35508.75472,0,0,0,131382.3925,7101.750943,0,0,0,0,0,0,0,0,0,3550.875472,39947.34906,0,0,7989.469811,0,0,63028.03962,0,0,165115.7094,0,132270.1113
sample132,0,405068.0347,50064.58856,0,0,2610640.727,1254345.51,0,284913.0222,0,0,0,0,0,0,1313512.751,0,0,0,0,0,0,0,0,0,0,7958449.05,20025.83542,2960182.582,8623852.945,0,0,0,0,0,0,18205.30493,251233.208,0,0,6371.856726,0,0,0,0,0,0,0,0,5461.591479,9102.652465,0,0,71910.95447,142911.6437,18205.30493,2118187.229,0,0,1820.530493,0,0,0,0,0,13653.9787,991278.8534,0,0,0,81013.60694,0,0,0,0,0,0,16384.77444,0,0,0,8192.387219,0,18205.30493,0,0,17329629.76,0,10012.91771,0,0,0,0,0,0,0,0,211181.5372,96488.11613,20025.83542,11833.4482,0,242130.5556,19115.57018,0,652660.1817,5675503.812,0,201168.6195,0,3811280.587,0,654480.7122,5461.591479,0,363195.8334,0,0,0,0,0,0,10923.18296,0,0,0,0,10012.91771,0,0,13452810.08,25398220.91,498825.3551,0,32769.54887,79193.07645,0,0,2350304.866,1172421.637,3932345.865,0,0,0,0,852918.536,0,4190861.195,0,0,183873.5798,0,0,0,0,0,0,0,13653.9787,0,0,0,0,0,0,0,0,8192.387219,0,3641.060986,3418046.001,0,0,1029509.994,0,825610.5786,10012.91771,0,0,0,0,14564.24394,0,0,0,0,208450.7414,0,20025.83542,0,16384.77444,0,331336.5497,0,0,0,0,0,0,0,0,0,0,7282.121972,0,0,0,36410.60986,0,0,80103.34169,0,0,106501.0338,0,172950.3968
sample133,0,36169.60395,45332.57028,0,0,3729327.298,1073513.845,0,1040237.81,0,0,0,0,8680.704948,0,299966.5821,0,0,0,0,0,0,0,0,2411.30693,0,2443618.443,3375.829702,179401.2356,264761.5009,0,0,0,0,0,0,0,165897.9168,0,159628.5188,15432.36435,0,0,0,0,0,2411.30693,0,0,0,0,0,6269.398018,55460.05939,175060.8831,144678.4158,334689.4019,0,0,0,0,0,0,2411.30693,0,3375.829702,150465.5524,0,0,0,39063.17227,0,0,0,0,0,0,1929.045544,0,9162.966334,8198.443562,8198.443562,0,9645.22772,0,0,12501661.91,0,0,0,0,0,0,0,0,0,0,61247.19602,78608.60592,0,5304.875246,0,48226.1386,0,0,369894.4831,785603.7978,0,31829.25148,0,757150.376,0,114295.9485,0,0,861801.0968,4340.352474,0,0,0,0,0,4822.61386,0,0,0,0,0,0,0,4054853.734,13798945.04,202549.7821,0,11092.01188,6269.398018,0,0,1435209.885,97899.06136,529040.7404,0,0,0,0,886878.6889,0,5227231.163,0,0,27971.16039,0,0,0,0,0,0,18808.19405,964.522772,0,0,0,0,0,0,0,0,5304.875246,0,0,5057957.416,0,0,277300.297,0,202067.5207,4822.61386,0,0,0,0,11092.01188,0,0,0,0,53531.01385,0,15914.62574,0,0,0,65105.28711,2893.568316,0,0,0,0,0,0,0,0,0,1446.784158,0,0,0,7716.182176,0,0,0,0,0,221840.2376,0,159628.5188
sample134,0,484302.0546,10150.04306,0,0,22628796,8093934.337,0,3694615.674,0,0,0,4350.018454,0,0,2599861.03,0,39150.16609,0,0,0,0,0,0,0,0,15673116.49,13050.05536,4278968.153,943954.0046,0,0,0,0,0,0,0,1077354.571,0,181250.7689,758353.2172,0,0,0,0,0,0,0,0,0,36250.15379,0,66700.28297,69600.29527,194300.8243,500252.1223,2353359.984,0,0,0,0,0,0,0,0,26100.11073,2321459.848,0,0,0,52200.22145,0,0,11600.04921,0,0,0,8700.036909,0,8700.036909,29000.12303,0,0,40600.17224,0,0,24842955.39,21750.09227,5800.024606,0,0,8700.036909,0,0,0,0,0,558252.3683,870003.6909,118900.5044,20300.08612,0,317551.3472,0,0,1505106.385,8730487.038,0,439351.8639,0,4632769.654,0,1421006.028,0,0,3709115.735,13050.05536,0,0,0,0,0,76850.32603,0,0,0,0,0,0,0,5086621.579,38677464.08,923653.9185,0,85550.36294,200100.8489,0,0,5037321.37,2030008.612,5088071.585,0,0,0,15950.06767,5715924.249,13050.05536,6050875.67,0,0,439351.8639,24650.10457,0,0,0,0,0,13050.05536,0,0,0,0,0,0,0,0,0,13050.05536,0,0,23121798.09,0,0,1312255.567,0,2956562.543,21750.09227,0,7250.030757,0,0,39150.16609,0,0,0,0,131950.5598,0,62350.26451,0,8700.036909,0,1071554.546,17400.07382,0,0,0,0,0,0,0,0,8700.036909,0,0,0,0,18850.07997,0,0,105850.4491,0,0,910603.8631,0,481402.0423
sample135,0,91489.97053,42374.30214,0,0,4727623.846,2860265.395,0,1814390.574,0,0,0,0,3852.209286,0,396777.5564,0,0,0,0,0,0,0,0,0,0,6204946.107,9630.523214,442041.0155,184906.0457,0,0,0,0,0,0,0,434336.597,0,135790.3773,19261.04643,0,0,0,0,0,0,0,0,8667.470893,0,0,12519.68018,533530.9861,45263.45911,1259672.436,386183.9809,0,0,3852.209286,0,0,0,0,0,0,272543.807,0,0,0,50078.72071,0,0,0,0,0,0,1926.104643,0,12519.68018,26002.41268,88600.81357,0,33706.83125,0,0,19352536.4,0,0,0,0,0,0,0,0,0,0,93416.07518,88600.81357,13482.7325,6741.36625,0,35632.93589,0,0,418927.7598,1339605.779,0,44300.40678,0,1137364.792,0,266765.493,0,0,2346958.507,11556.62786,0,0,4815.261607,0,0,146383.9529,0,0,0,0,0,0,0,761774.3862,19941924.42,370775.1437,0,19261.04643,22150.20339,0,0,2085008.276,192610.4643,544124.5616,0,0,3852.209286,0,2435559.321,0,3815613.297,0,0,26002.41268,4815.261607,0,18297.99411,0,0,0,10593.57554,4815.261607,0,0,0,0,0,0,0,0,5778.313928,0,2889.156964,10645580.36,0,0,479600.0561,0,370775.1437,0,0,0,0,0,21187.15107,0,0,0,0,56820.08696,0,17334.94179,0,0,0,117492.3832,10593.57554,0,0,0,0,0,0,0,0,0,0,5778.313928,0,0,17334.94179,0,0,0,0,0,581683.6021,0,444930.1725
sample136,181936.0571,153346.1053,179336.9706,0,0,3581541.238,3074719.365,0,1413903.072,0,0,0,0,0,0,1525663.793,0,0,0,0,0,0,0,0,0,0,5096808.685,72774.42283,3641320.228,26027252.51,0,0,0,70175.3363,0,0,0,220922.355,0,51981.73059,745937.834,0,0,0,0,0,0,0,0,18193.60571,10396.34612,0,0,426250.1909,116958.8938,662767.0651,3402204.267,0,0,0,0,0,0,25990.8653,0,23391.77877,1543857.399,0,0,0,67576.24977,0,0,0,0,0,0,20792.69224,41585.38448,33788.12489,0,36387.21142,0,98765.28813,0,0,44782260.91,0,46783.55753,0,0,0,15594.51918,0,0,0,0,852500.3817,1091616.342,49382.64406,23391.77877,0,384664.8064,332683.0758,0,1421700.332,5283942.915,0,564001.7769,0,8395049.491,0,548407.2578,0,0,509420.9598,12995.43265,0,0,0,0,0,0,15594.51918,0,0,0,12995.43265,0,0,392462.066,50887515.17,2139048.214,0,176737.884,31189.03836,0,0,4701747.532,1460686.63,4589986.811,18193.60571,0,31189.03836,0,2336578.79,0,7610125.359,0,0,363872.1142,20792.69224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7797.259589,0,2599.08653,4517212.389,0,0,3529559.507,0,2437943.165,0,0,0,0,0,0,0,0,0,0,982454.7082,0,36387.21142,0,2599.08653,0,891486.6797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12995.43265,0,0,0,0,0,322286.7297,0,392462.066
sample137,0,73905.43893,33503.79898,0,0,1197268.111,3519869.705,0,6344042.878,0,0,0,3941.623409,7883.246819,0,345877.4542,0,0,0,0,0,0,0,0,0,0,2220119.385,6897.840967,997230.7226,499600.7672,0,0,0,14781.08779,0,0,0,404016.3995,0,1717562.401,135986.0076,0,0,0,2956.217557,0,0,0,0,12810.27608,12810.27608,0,9854.058524,681900.8498,170475.2125,772558.1883,1069165.35,0,0,0,0,0,0,0,0,2956.217557,396133.1527,0,0,0,30547.58142,0,0,0,0,0,0,0,0,0,15766.49364,31532.98728,0,18722.71119,0,10839.46438,11388335.44,0,92628.15012,0,0,0,0,0,0,0,0,452301.2862,299563.3791,24635.14631,5912.435114,0,152737.9071,0,0,623761.9045,2495047.618,0,130073.5725,0,1589459.64,0,236497.4046,0,0,831682.5394,0,0,0,13795.68193,0,0,8868.652671,0,0,0,0,0,0,0,1076063.191,20296404.34,603068.3816,11824.87023,26605.95801,72920.03308,0,0,2093987.436,1127304.295,1389422.252,0,0,4927.029262,4927.029262,2151140.976,0,2046687.955,0,0,109380.0496,7883.246819,0,0,0,0,0,0,0,0,0,0,4927.029262,0,0,0,0,11824.87023,0,7883.246819,8744491.534,0,0,718360.8664,0,794237.117,0,0,0,0,0,26605.95801,0,0,0,0,137956.8193,0,19708.11705,0,5912.435114,0,49270.29262,8868.652671,0,0,0,0,0,0,0,0,10839.46438,0,0,135000.6018,4927.029262,42372.45165,0,0,56168.13358,0,0,557739.7124,10839.46438,165548.1832
sample138,0,29302.31897,0,0,0,4444575.742,2500073.855,0,4711812.891,0,0,0,0,0,0,414920.8367,0,0,0,0,0,0,0,0,2344.185518,0,4180854.871,12893.02035,399683.6308,499311.5153,0,0,0,0,0,0,0,495795.237,0,52744.17415,546195.2257,0,0,0,0,0,0,0,0,0,22269.76242,0,0,148855.7804,575497.5446,15237.20587,857971.8995,0,0,0,0,0,0,32818.59725,0,0,394995.2598,0,0,0,125413.9252,0,0,0,0,0,0,0,0,0,43367.43208,44539.52484,0,26958.13346,0,0,13740443.41,0,0,0,0,17581.39138,0,0,0,0,0,323497.6015,1031441.628,15237.20587,11720.92759,0,29302.31897,0,0,411404.5584,2414511.083,0,83218.58588,0,1635069.399,0,336390.6218,0,0,112520.9049,0,0,0,0,0,0,31646.50449,0,0,0,0,4688.371036,0,0,291851.097,27260533.39,355144.106,4688.371036,71497.65829,111348.8121,0,0,2564538.957,459460.3615,792334.705,0,0,0,10548.83483,1261171.809,0,5141970.933,0,0,41023.24656,5860.463795,0,0,0,0,0,0,0,0,0,0,2344.185518,0,0,0,0,5860.463795,0,0,6609431.068,0,0,453599.8977,0,402027.8163,3516.278277,0,7032.556554,0,0,10548.83483,0,0,0,0,131274.389,0,35162.78277,0,0,0,305916.2101,32818.59725,0,0,0,0,0,0,0,0,0,3516.278277,3516.278277,239106.9228,0,38679.06104,0,0,58604.63795,0,0,691534.7278,0,235590.6445
sample139,0,113937.6804,2729.046237,0,0,2816375.717,718421.4219,0,523294.6159,0,0,0,0,20467.84678,0,255848.0847,0,6822.615592,0,0,0,0,0,0,0,0,1975829.476,88011.74114,178070.267,126218.3885,0,0,0,0,0,0,0,307017.7017,0,194444.5444,835770.4101,0,0,0,0,0,0,0,0,23879.15457,14327.49274,0,6822.615592,146686.2352,657017.8816,25243.67769,374561.596,0,0,0,0,0,0,19103.32366,0,0,109844.111,0,0,0,66179.37125,0,0,0,0,0,0,0,4093.569355,12280.70807,8187.138711,6140.354033,0,37524.38576,0,0,21549231.35,0,7504.877152,0,0,9551.661829,0,0,0,0,0,218323.699,85282.69491,12962.96963,7504.877152,0,25243.67769,0,0,399123.0122,1700195.806,0,37524.38576,0,1736355.668,0,165789.5589,0,0,1783431.716,4093.569355,0,0,0,0,0,9551.661829,0,0,0,0,0,0,0,2873685.688,26717362.66,283138.5471,5458.092474,31384.03173,38206.64732,0,0,2139572.25,243567.3767,592203.0334,0,0,0,6140.354033,534893.0624,0,8092986.616,0,0,37524.38576,0,0,34795.33952,0,0,2046.784678,0,4775.830915,0,0,0,0,0,0,0,0,8869.40027,0,4093.569355,6453512.089,0,0,727973.0837,2046.784678,396393.9659,0,0,4775.830915,0,0,0,0,0,0,0,80506.86399,0,28654.98549,0,2729.046237,0,72319.72528,16374.27742,1364.523118,0,0,0,0,0,0,0,20467.84678,0,0,0,0,15009.7543,0,0,25925.93925,0,0,165107.2973,0,57309.97098
sample140,0,134327.7138,35482.79233,0,0,2813278.535,3010968.377,0,7910128.204,0,0,0,0,0,0,544914.3107,0,25344.85166,0,0,0,0,0,0,0,0,3766244.957,119120.8028,785690.4015,15511049.22,0,0,0,0,0,0,0,613345.4102,0,699517.9059,443534.9041,0,0,0,0,0,0,0,0,10137.94066,35482.79233,0,48155.21816,740069.6685,532241.8849,70965.58465,1480139.337,0,0,17741.39616,0,0,0,30413.82199,0,0,1023932.007,0,0,0,55758.67366,0,0,0,0,0,0,0,0,40551.76266,10137.94066,10137.94066,0,98844.92148,0,0,21104657.98,0,205293.2985,0,0,0,0,0,0,0,0,182482.932,1485208.307,0,0,0,111517.3473,0,0,778086.946,2978020.07,0,172344.9913,0,3938589.948,0,362431.3788,0,0,1193742.513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390310.7156,44766611.49,955500.9077,0,157138.0803,93775.95115,0,0,7514748.518,1155725.236,1505484.189,0,0,0,15206.911,1966760.489,0,8439835.604,0,0,106448.377,17741.39616,0,0,0,0,0,0,0,0,0,0,15206.911,0,0,0,0,0,0,0,5568263.91,0,0,1540966.981,0,1267242.583,17741.39616,0,0,0,0,0,0,0,0,0,172344.9913,0,32948.30716,0,12672.42583,0,200224.3281,48155.21816,0,0,0,0,0,0,0,0,0,0,0,367500.3491,0,0,0,0,129258.7435,0,0,907345.6895,0,288931.309
