SampleID,A2,ASF356,Acetatifactor,Acetatifactor-muris,Acidovorax,Acinetobacter,Acinetobacter-sp.-CIP-56.2,Acutalibacter-muris,Adlercreutzia-mucosicola,Adlercreutzia-muris,Akkermansia,Akkermansia-muciniphila,Akkermansia-sp.-KLE1798,Alistipes,Alistipes-finegoldii,Alistipes-inops,Alistipes-obesi,Alistipes-shahii,Alistipes-sp.-N15.MGS-157,Alistipes-sp.-cv1,Allobaculum,Alloprevotella,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Alteromonas,Anaerofilum,Anaerofustis,Anaeroplasma,Anaerostipes,Anaerotruncus,Anaerotruncus-sp.-G3(2012),Anaerovoracaceae,Anaerovorax,Anoxybacillus,Arcobacteraceae,Asticcacaulis,Atopobiaceae,Bacilli,Bacillus,Bacteria,Bacteroidales,Bacteroides,Bacteroides-acidifaciens,Bacteroides-caccae,Bacteroides-caecimuris,Bacteroides-coprocola-DSM-17136,Bacteroides-faecichinchillae,Bacteroides-nordii,Bacteroides-sartorii,Bacteroides-sp.-Smarlab-3302398,Bacteroides-stercorirosoris,Bacteroides-uniformis,Bacteroides-vulgatus-ATCC-8482,Bacteroides-xylanisolvens,Bifidobacterium,Bifidobacterium-choerinum,Bilophila,Blautia,Bosea,Brachybacterium,Bradyrhizobium,Brevinema,Burkholderia-Caballeronia-Paraburkholderia,Burkholderiales,Burkholderiales-bacterium-YL45,Butyricicoccus,Butyricimonas,Butyricimonas-sp.-AT11,Butyricimonas-synergistica,Butyricimonas-virosa,Candidatus-Arthromitus,Candidatus-Gastranaerophilales-bacterium-Zag_111,Candidatus-Saccharimonas,Candidatus-Soleaferrea,Candidatus-Stoquefichus,Caproiciproducens,Catenibacterium,Cellulosimicrobium,Cetobacterium,Chloroplast,Christensenella-minuta,Christensenella-sp.-Marseille-P2437,Christensenellaceae,Christensenellaceae-R-7-group,Clostridia,Clostridia-UCG-014,Clostridia-vadinBB60-group,Clostridiales-bacterium-CIEAF-012,Clostridiales-bacterium-CIEAF-020,Clostridiales-bacterium-CIEAF-021,Clostridiales-bacterium-CIEAF-026,Clostridium-isatidis,Clostridium-sensu-stricto-1,Clostridium-sp.-ASF356,Clostridium-sp.-Clone-44,Clostridium-sp.-Clone-47,Clostridium-sp.-Clone-49,Clostridium-sp.-Culture-27,Clostridium-sp.-Culture-41,Clostridium-sp.-Culture-54,Clostridium-sp.-ND2,Colidextribacter,Collinsella,Coprococcus,Coriobacteriaceae-UCG-002,Corynebacterium,Corynebacterium-propinquum,Corynebacterium-tuberculostearicum,DNF00809,Defluviitaleaceae-UCG-011,Desmonostoc-PCC-7422,Desulfovibrio,Desulfovibrio-fairfieldensis,Desulfovibrionaceae,Devosia,Dialister,Dialister-invisus-DSM-15470,Dialister-sp.-Marseille-P5638,Dielma,Dorea-sp.-5-2,Dubosiella,Dubosiella-newyorkensis,Dyadobacter-fermentans,Eggerthella,Eisenbergiella,Elizabethkingia,Endozoicomonas,Enterobacterales,Enterobacteriaceae,Enterococcus,Enterorhabdus,Erysipelatoclostridium,Erysipelatoclostridium-ramosum,Erysipelotrichaceae,Erysipelotrichaceae-UCG-003,Escherichia-Shigella,Ethanoligenenaceae,Eubacterium-plexicaudatum,Eubacterium-sp.-14-2,Faecalibacterium,Faecalibaculum,Faecalibaculum-rodentium,Faecalitalea,Family-XIII-AD3011-group,Family-XIII-UCG-001,Firmicutes,Flavobacterium,Flavonifractor,Frisingicoccus,Fusicatenibacter,Fusobacterium,GCA-900066575,Gastranaerophilales,Harryflintia,Helicobacter,Helicobacter-ganmani,Helicobacter-hepaticus,Helicobacter-mastomyrinus,Holdemanella,Incertae-Sedis,Intestinimonas,Klebsiella,Lachnoclostridium,Lachnospiraceae,Lachnospiraceae-AC2044-group,Lachnospiraceae-FCS020-group,Lachnospiraceae-NC2004-group,Lachnospiraceae-NK4A136-group,Lachnospiraceae-UCG-001,Lachnospiraceae-UCG-006,Lachnospiraceae-UCG-010,Lachnospiraceae-bacterium-10-1,Lachnospiraceae-bacterium-28-4,Lachnospiraceae-bacterium-3-2,Lachnospiraceae-bacterium-595,Lachnospiraceae-bacterium-A4,Lachnospiraceae-bacterium-COE1,Lachnospiraceae-bacterium-DW59,Lactobacillales,Lactobacillus,Lactobacillus-intestinalis,Lactobacillus-mucosae-LM1,Lactobacillus-murinus,Lactococcus,Lactococcus-raffinolactis,Leuconostoc,Lysinibacillus,Lysobacter,Malacoplasma-muris,Marvinbryantia,Megamonas,Megasphaera,Methyloprofundus,Micrococcaceae,Monoglobus,Morganella,Mucilaginibacter,Mucispirillum,Mucispirillum-schaedleri,Muribaculaceae,Muribaculum,Muribaculum-intestinale,NK4A214-group,Negativibacillus,Nostoc-PCC-73102,Nostocaceae,Odoribacter,Oscillibacter,Oscillospiraceae,Oscillospirales,Oxalobacter-formigenes,Paenarthrobacter,Paludicola,Parabacteroides,Parabacteroides-distasonis,Parabacteroides-goldsteinii,Parabacteroides-merdae,Parabacteroides-sp.,Parabacteroides-sp.-CT06,Paraprevotella,Parasutterella,Parasutterella-excrementihominis,Parvibacter,Pasteurellaceae-bacterium,Pedobacter,Peptococcaceae,Peptococcus,Peptoniphilus,Peptostreptococcaceae,Porphyromonas,Prevotella,Prevotellaceae,Prevotellaceae-UCG-001,Proteus,Providencia,Providencia-alcalifaciens,Pseudarthrobacter,Pseudomonas,RF39,Rhizobiaceae,Rhodococcus,Rhodospirillales,Rickettsia,Rikenella,Rikenella-sp.-Marseille-P3215,Rikenellaceae,Rikenellaceae-RC9-gut-group,Rikenellaceae-bacterium-DTU002,Romboutsia,Roseburia,Ruminiclostridium,Ruminococcaceae,Ruminococcus,Ruminococcus-sp.-N15.MGS-57,Shewanella,Sphingobium,Sphingomonas,Sphingopyxis,Streptococcus,Streptococcus-danieliae,Streptococcus-respiraculi,Streptomyces-sp.-Q1,Subdoligranulum,Subgroup-2,Tannerellaceae,Turicibacter,Turicimonas-muris,Tuzzerella,Tyzzerella,UBA1819,UCG-003,UCG-005,UCG-007,UCG-009,UCG-010,Vagococcus,Vagococcus-fluvialis,Veillonella,Verrucomicrobiaceae-bacterium-CHC8,Vibrio,Victivallis-vadensis,Wolbachia,Xanthobacteraceae,[Acetivibrio]-ethanolgignens-group,[Clostridium]-aldenense,[Clostridium]-cocleatum,[Clostridium]-innocuum-group,[Clostridium]-leptum,[Clostridium]-methylpentosum-group,[Eubacterium]-brachy-group,[Eubacterium]-coprostanoligenes-group,[Eubacterium]-fissicatena-group,[Eubacterium]-hallii-group,[Eubacterium]-nodatum-group,[Eubacterium]-oxidoreducens-group,[Eubacterium]-ventriosum-group,[Eubacterium]-xylanophilum-group,[Ruminococcus]-gnavus-group,[Ruminococcus]-torques-group,bacterium-enrichment-culture-clone-M153,gut-metagenome,human-gut-metagenome,marine-metagenome,metagenome,mouse-gut-metagenome
sample131,0,108301.7019,7101.750943,0,0,0,0,0,0,0,0,3771029.751,0,1064374.923,0,0,0,0,0,0,0,9717858.447,0,0,0,0,169554.3038,0,485582.2208,0,0,0,0,0,0,0,0,0,0,0,382606.8321,1682227.255,22192.9717,275192.8491,0,0,6214.032076,0,0,0,69242.0717,39947.34906,61252.60189,4438.59434,0,258326.1906,166003.4283,0,0,0,0,0,0,216603.4038,0,141147.3,0,0,0,0,130494.6736,21305.25283,0,0,0,0,0,0,0,0,0,0,0,0,170442.0226,470491,0,0,0,0,0,15978.93962,0,5326.313208,0,0,0,114515.734,14203.50189,0,682655.8094,0,0,3550.875472,0,0,0,0,19529.81509,0,0,7989.469811,181982.3679,0,0,0,0,0,0,0,5326.313208,0,0,0,0,0,0,4438.59434,8877.188679,0,48824.53774,0,9764.907547,0,32845.59811,0,0,0,0,21752663.14,0,0,0,0,0,0,0,0,0,0,142035.0189,314252.4792,24856.1283,0,5326.313208,0,0,0,127831.517,0,0,442083.9962,3380433.449,0,69242.0717,0,2719970.611,0,261877.066,0,674666.3396,101199.9509,0,0,0,0,0,0,352424.3906,0,0,0,0,0,0,0,0,0,130494.6736,0,0,0,0,14203.50189,0,0,0,2008020.079,21789059.61,814038.2019,0,27519.28491,1775.437736,0,0,2506030.364,365740.1736,624954.083,0,0,0,0,339996.3264,758999.6321,103863.1075,126943.7981,50599.97547,0,0,2213083.138,0,0,0,0,79006.97925,0,0,60364.88302,0,0,2663.156604,27519.28491,0,0,0,0,0,0,0,0,0,0,7989.469811,0,0,6779508.994,0,0,619627.7698,0,473154.1566,0,7101.750943,0,0,0,0,4438.59434,0,0,0,0,0,0,0,0,86108.73019,0,35508.75472,0,0,0,131382.3925,7101.750943,0,0,0,0,0,0,0,0,0,0,0,0,887.7188679,0,3550.875472,39947.34906,0,0,7989.469811,0,0,63028.03962,0,0,0,165115.7094,0,0,0,132270.1113
sample132,0,405068.0347,50064.58856,0,0,0,0,0,0,0,0,2610640.727,0,1247063.388,0,0,0,6371.856726,0,0,0,284913.0222,0,0,0,0,0,0,1313512.751,0,0,0,0,0,0,0,0,0,0,0,2645230.806,4455748.382,0,578018.4315,0,0,25487.4269,24577.16166,910.2652465,0,100129.1771,50064.58856,79193.07645,10923.18296,9102.652465,2960182.582,725481.4015,0,0,0,0,0,0,598954.5322,18205.30493,251233.208,0,0,0,0,0,6371.856726,0,0,0,0,0,0,0,0,5461.591479,9102.652465,0,0,71910.95447,142911.6437,10923.18296,0,0,0,0,18205.30493,0,0,0,0,0,183873.5798,98308.64662,0,2118187.229,0,0,1820.530493,0,0,0,0,0,0,13653.9787,0,991278.8534,0,0,0,0,0,0,0,81013.60694,0,0,0,0,0,0,16384.77444,0,0,0,0,8192.387219,0,18205.30493,0,0,0,0,17329629.76,0,0,10012.91771,0,0,0,0,0,0,0,211181.5372,96488.11613,20025.83542,0,11833.4482,0,0,0,242130.5556,19115.57018,0,652660.1817,4563159.681,0,201168.6195,0,3721164.328,0,654480.7122,5461.591479,90116.2594,7898371.544,0,0,0,0,0,0,363195.8334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10012.91771,0,0,0,13452810.08,25398220.91,498825.3551,0,32769.54887,79193.07645,0,0,2350304.866,1172421.637,3932345.865,0,0,0,0,149283.5004,450581.297,59167.24102,184783.845,9102.652465,0,0,3591906.663,0,0,0,0,183873.5798,0,0,0,0,0,0,0,13653.9787,0,0,0,0,0,0,0,0,0,8192.387219,0,3641.060986,3418046.001,0,0,1029509.994,0,825610.5786,0,10012.91771,0,0,0,0,14564.24394,0,0,0,0,0,0,0,0,208450.7414,0,20025.83542,0,16384.77444,0,331336.5497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7282.121972,0,0,0,36410.60986,0,0,80103.34169,0,0,0,106501.0338,0,0,0,1003112.302
sample133,0,36169.60395,45332.57028,0,0,0,0,0,0,0,0,3729327.298,0,1064833.14,0,0,0,8680.704948,0,0,0,1040237.81,0,0,0,0,8680.704948,0,299966.5821,0,0,0,0,0,0,0,0,0,2411.30693,0,780298.9226,1339239.869,5787.136632,170720.5306,0,0,18325.93267,5787.136632,0,0,49672.92276,35687.34256,38098.64949,3375.829702,0,179401.2356,56424.58216,0,0,0,0,0,0,472133.8969,0,165897.9168,0,0,0,0,159628.5188,15432.36435,0,0,0,0,0,2411.30693,0,0,0,0,0,6269.398018,55460.05939,175060.8831,4822.61386,0,0,0,0,144678.4158,0,0,0,0,0,0,7716.182176,0,334689.4019,0,0,0,0,0,0,0,2411.30693,0,3375.829702,0,150465.5524,0,0,0,0,0,0,0,39063.17227,0,0,0,0,0,0,1929.045544,0,9162.966334,8198.443562,0,8198.443562,0,9645.22772,0,0,0,0,12501661.91,0,0,0,0,0,0,0,0,0,0,61247.19602,78608.60592,0,0,5304.875246,0,0,0,48226.1386,0,0,369894.4831,750880.978,0,31829.25148,0,735448.6137,0,114295.9485,0,21701.76237,208336.9188,0,0,0,0,0,0,861801.0968,0,0,0,4340.352474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4054853.734,13798945.04,202549.7821,0,11092.01188,6269.398018,0,0,1435209.885,97899.06136,529040.7404,0,0,0,0,162522.0871,591252.4592,46297.09306,30382.46732,56424.58216,0,0,4753168.22,1446.784158,0,0,0,27971.16039,0,0,0,0,0,0,18808.19405,964.522772,0,0,0,0,0,0,0,0,0,5304.875246,0,0,5057957.416,0,0,277300.297,0,201102.998,0,4822.61386,0,0,0,0,11092.01188,0,0,0,0,0,0,0,482.261386,53531.01385,0,15914.62574,0,0,0,65105.28711,2893.568316,0,0,0,0,0,0,0,0,0,0,0,0,964.522772,0,1446.784158,0,0,0,7716.182176,0,0,0,0,0,0,221840.2376,0,0,0,186635.1564
sample134,0,484302.0546,10150.04306,0,0,0,0,0,0,0,0,22628796,0,8069284.233,0,0,0,0,24650.10457,0,0,3694615.674,0,0,0,4350.018454,0,0,2599861.03,0,0,39150.16609,0,0,0,0,0,0,0,0,4157167.636,10245743.47,0,768503.2603,0,0,24650.10457,26100.11073,0,0,126150.5352,105850.4491,218950.9289,13050.05536,0,4278968.153,787353.3402,0,0,0,0,0,0,1065754.521,0,1077354.571,0,0,0,0,181250.7689,758353.2172,0,0,0,0,0,0,0,0,0,36250.15379,0,66700.28297,69600.29527,194300.8243,76850.32603,0,0,0,0,500252.1223,0,0,0,0,0,39150.16609,129050.5475,0,2353359.984,0,0,0,0,0,0,0,0,0,26100.11073,0,2321459.848,0,0,0,0,0,184150.7812,0,52200.22145,0,0,11600.04921,0,0,0,8700.036909,0,8700.036909,29000.12303,0,0,0,40600.17224,0,0,0,0,24842955.39,0,21750.09227,5800.024606,0,0,0,0,0,0,0,558252.3683,870003.6909,118900.5044,0,20300.08612,0,0,0,317551.3472,0,0,1320955.604,8172234.67,0,439351.8639,0,4120917.482,0,1421006.028,0,511852.1715,156600.6644,0,0,0,0,0,0,3613415.329,0,0,95700.406,13050.05536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5086621.579,38677464.08,923653.9185,0,85550.36294,200100.8489,0,0,5037321.37,2030008.612,5088071.585,0,0,0,15950.06767,906253.8447,3990416.929,184150.7812,442251.8762,185600.7874,7250.030757,13050.05536,4982221.136,2900.012303,0,0,0,439351.8639,24650.10457,0,0,0,0,0,13050.05536,0,0,0,0,0,0,0,0,0,0,13050.05536,0,0,23121798.09,0,0,1312255.567,0,2956562.543,0,21750.09227,0,7250.030757,0,0,39150.16609,0,0,0,0,0,0,0,0,131950.5598,0,62350.26451,0,8700.036909,0,1071554.546,17400.07382,0,0,0,0,0,0,0,0,0,0,0,0,0,8700.036909,0,0,0,0,18850.07997,0,0,105850.4491,0,0,0,919303.9,0,0,0,871453.697
sample135,0,91489.97053,42374.30214,0,0,0,0,0,12519.68018,0,0,4727623.846,0,2844856.557,0,0,0,15408.83714,0,0,0,1814390.574,0,0,0,0,3852.209286,0,396777.5564,0,0,0,0,0,0,0,0,0,0,0,1040096.507,4775776.462,0,226317.2955,0,0,41411.24982,0,0,0,25039.36036,38522.09286,57783.13928,0,9630.523214,442041.0155,124233.7495,0,0,0,0,0,0,649097.2646,0,434336.597,0,0,0,0,135790.3773,19261.04643,0,0,0,0,0,0,0,0,8667.470893,0,0,12519.68018,533530.9861,45263.45911,7704.418571,0,0,0,0,1259672.436,0,0,0,0,0,0,0,0,386183.9809,0,0,3852.209286,0,0,0,0,0,0,0,0,272543.807,0,0,0,0,0,0,0,50078.72071,0,0,0,0,0,0,1926.104643,0,0,26002.41268,0,88600.81357,0,33706.83125,0,0,0,0,19352536.4,0,0,0,0,0,0,0,0,0,0,93416.07518,88600.81357,13482.7325,0,6741.36625,0,0,0,35632.93589,0,0,418927.7598,1251004.965,0,44300.40678,0,1094990.489,0,266765.493,0,42374.30214,60672.29625,0,0,0,0,0,0,2293027.577,0,0,53930.93,11556.62786,0,0,4815.261607,0,0,138679.5343,0,0,0,0,0,0,0,0,761774.3862,19941924.42,370775.1437,0,19261.04643,22150.20339,0,0,2085008.276,192610.4643,544124.5616,0,0,3852.209286,0,370775.1437,1793203.422,72228.9241,93416.07518,105935.7554,0,0,3164589.928,1926.104643,0,0,0,26002.41268,4815.261607,0,18297.99411,0,0,0,10593.57554,4815.261607,0,0,0,0,0,0,0,0,0,5778.313928,0,2889.156964,10645580.36,0,0,479600.0561,0,370775.1437,0,0,0,0,0,0,21187.15107,0,0,0,0,0,0,0,0,56820.08696,0,17334.94179,0,0,0,117492.3832,10593.57554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5778.313928,0,0,17334.94179,0,0,0,0,0,0,581683.6021,0,0,0,533530.9861
sample136,181936.0571,153346.1053,179336.9706,0,0,0,0,109161.6342,0,0,0,3581541.238,0,3074719.365,0,0,0,0,0,0,0,1413903.072,0,0,0,0,0,0,1525663.793,0,0,0,0,0,0,0,0,0,0,0,1044832.785,3308637.152,0,376867.5468,0,0,0,0,0,0,309291.297,0,57179.90365,36387.21142,36387.21142,3641320.228,1244962.448,0,0,0,70175.3363,0,0,979855.6217,0,220922.355,0,0,0,0,51981.73059,745937.834,0,0,0,0,0,0,0,0,18193.60571,10396.34612,0,0,426250.1909,116958.8938,0,31189.03836,0,0,0,662767.0651,0,0,0,0,0,0,75373.50936,0,3402204.267,0,0,0,0,0,0,0,25990.8653,0,23391.77877,0,1543857.399,0,0,0,0,0,98765.28813,0,67576.24977,0,0,0,0,0,0,20792.69224,41585.38448,33788.12489,0,0,36387.21142,0,98765.28813,0,0,0,0,44782260.91,0,0,46783.55753,0,0,15594.51918,0,0,0,0,852500.3817,1091616.342,49382.64406,0,23391.77877,0,0,0,275503.1721,332683.0758,0,1322935.044,5208569.406,0,564001.7769,0,8228707.953,0,548407.2578,0,135152.4995,24207891.94,0,0,0,0,574398.1231,0,509420.9598,0,0,0,12995.43265,0,0,0,0,0,0,15594.51918,0,0,0,12995.43265,0,0,0,392462.066,50887515.17,2139048.214,0,176737.884,31189.03836,0,0,4701747.532,1460686.63,4589986.811,18193.60571,0,31189.03836,0,283300.4317,699154.2765,168940.6244,1068224.564,98765.28813,18193.60571,0,6630269.737,0,0,0,0,363872.1142,20792.69224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7797.259589,0,2599.08653,4517212.389,0,0,3529559.507,0,2424947.732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,982454.7082,0,36387.21142,0,2599.08653,0,891486.6797,0,0,0,0,0,0,0,0,0,0,0,0,0,12995.43265,0,0,0,0,0,12995.43265,0,0,0,0,0,0,322286.7297,0,0,0,392462.066
sample137,0,73905.43893,33503.79898,0,0,0,0,0,0,0,0,1197268.111,0,3495234.558,0,0,0,14781.08779,9854.058524,0,0,6344042.878,0,0,0,3941.623409,7883.246819,0,345877.4542,0,0,0,0,0,0,0,0,0,0,0,893763.1081,805076.5814,0,291680.1323,0,0,9854.058524,0,0,0,74890.84478,27591.36387,117263.2964,0,6897.840967,997230.7226,296607.1616,0,0,0,14781.08779,0,0,316315.2786,0,404016.3995,0,0,0,0,1717562.401,135986.0076,0,0,0,2956.217557,0,0,0,0,12810.27608,12810.27608,0,9854.058524,681900.8498,170475.2125,8868.652671,0,0,0,0,772558.1883,0,0,0,0,0,19708.11705,0,0,1069165.35,0,0,0,0,0,0,0,0,0,0,2956.217557,396133.1527,0,0,0,0,0,47299.48091,0,30547.58142,0,0,0,0,0,0,0,0,0,15766.49364,0,31532.98728,0,18722.71119,0,0,0,10839.46438,11388335.44,0,0,92628.15012,0,0,0,0,0,0,0,452301.2862,299563.3791,24635.14631,0,5912.435114,0,0,0,152737.9071,0,0,576462.4236,1707708.342,0,130073.5725,0,1285954.637,0,236497.4046,0,303505.0025,202993.6056,0,0,0,0,0,0,831682.5394,0,0,0,0,0,0,13795.68193,0,11824.87023,0,0,0,0,0,0,0,0,0,1076063.191,20296404.34,578433.2353,24635.14631,26605.95801,72920.03308,0,0,2093987.436,1127304.295,1389422.252,0,0,4927.029262,4927.029262,368541.7888,1553985.029,53211.91603,144854.6603,30547.58142,0,0,1729387.271,985.4058524,0,0,0,109380.0496,7883.246819,0,0,0,0,0,0,0,0,0,0,0,4927.029262,0,0,0,0,11824.87023,0,7883.246819,8744491.534,0,0,718360.8664,0,794237.117,0,0,0,0,0,0,26605.95801,0,0,0,0,0,0,0,0,137956.8193,0,19708.11705,0,5912.435114,0,49270.29262,8868.652671,0,0,0,0,0,0,0,0,0,0,0,0,0,10839.46438,0,0,135000.6018,4927.029262,42372.45165,0,0,56168.13358,0,0,0,557739.7124,0,0,10839.46438,933179.3422
sample138,0,29302.31897,0,0,0,0,0,0,0,0,0,4444575.742,0,2486008.742,0,0,0,0,14065.11311,0,0,4711812.891,0,0,0,0,0,0,414920.8367,0,0,0,0,0,0,0,0,0,2344.185518,0,1529581.05,2212911.129,0,223869.717,0,0,15237.20587,11720.92759,0,0,30474.41173,30474.41173,126586.018,0,12893.02035,399683.6308,232074.3663,0,0,0,0,0,0,695051.006,0,495795.237,0,0,0,0,52744.17415,546195.2257,0,0,0,0,0,0,0,0,0,22269.76242,0,0,148855.7804,575497.5446,0,0,0,0,0,15237.20587,0,0,0,0,0,186362.7487,0,0,857971.8995,0,0,0,0,0,0,0,32818.59725,0,0,0,394995.2598,0,0,0,0,0,0,0,125413.9252,0,0,0,0,0,0,0,0,0,43367.43208,0,44539.52484,0,26958.13346,0,0,0,0,13740443.41,0,0,0,0,0,0,0,0,0,0,323497.6015,1031441.628,15237.20587,0,11720.92759,0,0,0,29302.31897,0,0,411404.5584,1992557.69,0,83218.58588,0,1223664.84,0,336390.6218,0,411404.5584,267237.149,0,0,0,0,0,0,112520.9049,0,0,0,0,0,0,0,0,4688.371036,31646.50449,0,0,0,0,4688.371036,0,0,0,291851.097,27260533.39,355144.106,0,71497.65829,111348.8121,0,0,2564538.957,459460.3615,792334.705,0,0,0,10548.83483,186362.7487,780613.7774,48055.80312,162920.8935,83218.58588,0,0,4446919.927,0,0,0,0,41023.24656,5860.463795,0,0,0,0,0,0,0,0,0,0,0,2344.185518,0,0,0,0,5860.463795,0,0,6609431.068,0,0,453599.8977,0,393823.167,0,3516.278277,0,7032.556554,0,0,10548.83483,0,0,0,0,0,0,0,0,131274.389,0,35162.78277,0,0,0,305916.2101,32818.59725,0,0,0,0,0,0,0,0,0,0,0,0,8204.649313,0,3516.278277,3516.278277,239106.9228,0,38679.06104,0,0,58604.63795,0,0,0,709116.1192,0,0,0,471181.2891
sample139,0,113937.6804,2729.046237,0,0,0,0,0,0,0,0,2816375.717,0,699318.0982,0,0,0,10233.92339,8869.40027,0,0,523294.6159,0,0,0,0,20467.84678,0,255848.0847,0,0,6822.615592,0,0,0,0,0,0,0,0,357505.057,1445712.244,0,116666.7266,0,0,5458.092474,0,0,0,0,0,50487.35538,0,88011.74114,178070.267,77777.81775,0,0,0,0,0,0,648830.7428,0,307017.7017,0,0,0,0,194444.5444,835770.4101,0,0,0,0,0,0,0,0,23879.15457,14327.49274,0,6822.615592,146686.2352,657017.8816,9551.661829,0,0,0,0,25243.67769,0,0,0,0,0,0,0,0,374561.596,0,0,0,0,0,0,0,19103.32366,0,0,0,109844.111,0,0,0,0,0,15009.7543,0,66179.37125,0,0,0,0,0,0,0,4093.569355,12280.70807,8187.138711,0,6140.354033,0,37524.38576,0,0,0,0,21549231.35,0,0,7504.877152,0,0,0,0,0,0,0,218323.699,85282.69491,12962.96963,0,5458.092474,0,2046.784678,0,25243.67769,0,0,384113.2579,1666764.989,0,37524.38576,0,1692008.667,0,165789.5589,0,44347.00135,48440.57071,0,0,0,0,0,0,1783431.716,0,0,0,4093.569355,0,0,0,0,5458.092474,0,0,0,0,0,0,0,0,0,2873685.688,26717362.66,283138.5471,0,31384.03173,38206.64732,0,0,2139572.25,243567.3767,592203.0334,0,0,0,6140.354033,110526.3726,319298.4097,35477.60108,43664.73979,25925.93925,0,0,7440744.565,3411.307796,0,0,0,37524.38576,0,0,34795.33952,0,0,2046.784678,0,4775.830915,0,0,0,0,0,0,0,0,0,8869.40027,0,4093.569355,6453512.089,0,0,727973.0837,2046.784678,396393.9659,0,0,0,4775.830915,0,0,0,0,0,0,0,0,0,0,0,80506.86399,0,28654.98549,0,2729.046237,0,72319.72528,16374.27742,1364.523118,0,0,0,0,0,0,0,0,0,0,0,0,20467.84678,0,0,0,0,15009.7543,0,0,25925.93925,0,0,0,174658.9592,0,0,0,90740.78738
sample140,0,134327.7138,35482.79233,0,0,0,0,0,0,0,43086.24783,2770192.287,0,3010968.377,0,0,0,0,0,0,0,7910128.204,0,0,0,0,0,0,544914.3107,0,0,25344.85166,0,0,0,0,0,0,0,0,909880.1747,2521812.74,0,311741.6754,0,0,0,0,0,0,22810.3665,0,0,0,119120.8028,785690.4015,1279915.009,0,0,0,0,0,0,704586.8762,0,613345.4102,0,0,0,0,699517.9059,443534.9041,0,0,0,0,0,0,0,0,10137.94066,35482.79233,0,48155.21816,740069.6685,532241.8849,0,0,0,0,0,70965.58465,0,0,0,0,0,0,0,0,1480139.337,0,0,17741.39616,0,0,0,0,30413.82199,0,0,0,1023932.007,0,0,0,0,0,0,0,55758.67366,0,0,0,0,0,0,0,0,40551.76266,10137.94066,0,10137.94066,0,98844.92148,0,0,0,0,21104657.98,0,0,205293.2985,0,0,0,0,0,0,0,182482.932,1485208.307,0,0,0,0,0,0,111517.3473,0,0,778086.946,2978020.07,0,172344.9913,0,2392553.997,0,362431.3788,0,1546035.951,14231134.21,0,0,0,0,0,0,1193742.513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390310.7156,44766611.49,955500.9077,0,157138.0803,93775.95115,0,0,7514748.518,1155725.236,1505484.189,0,0,0,15206.911,288931.309,1143052.81,86172.49565,337086.5271,111517.3473,0,0,7735248.727,0,0,0,0,106448.377,17741.39616,0,0,0,0,0,0,0,0,0,0,0,15206.911,0,0,0,0,0,0,0,5568263.91,0,0,1540966.981,0,1267242.583,0,17741.39616,0,0,0,0,0,0,0,0,0,0,0,0,0,172344.9913,0,32948.30716,0,12672.42583,0,200224.3281,48155.21816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367500.3491,0,0,0,0,129258.7435,0,0,0,907345.6895,0,0,0,288931.309
