SampleID,Acholeplasmataceae,Akkermansiaceae,Alteromonadaceae,Anaerofustaceae,Anaerovoracaceae,Anaplasmataceae,Arcobacteraceae,Atopobiaceae,Bacillaceae,Bacilli,Bacteria,Bacteroidaceae,Bacteroidales,Beijerinckiaceae,Bifidobacteriaceae,Brevinemataceae,Burkholderiaceae,Burkholderiales,Butyricicoccaceae,Candidatus-Gastranaerophilales-bacterium-Zag_111,Caulobacteraceae,Chloroplast,Christensenellaceae,Clostridia,Clostridia-UCG-014,Clostridia-vadinBB60-group,Clostridiaceae,Comamonadaceae,Coriobacteriaceae,Corynebacteriaceae,Deferribacteraceae,Defluviitaleaceae,Dermabacteraceae,Desulfovibrionaceae,Devosiaceae,Eggerthellaceae,Endozoicomonadaceae,Enterobacterales,Enterobacteriaceae,Enterococcaceae,Erysipelatoclostridiaceae,Erysipelotrichaceae,Ethanoligenenaceae,Firmicutes,Flavobacteriaceae,Fusobacteriaceae,Gastranaerophilales,Helicobacteraceae,Lachnospiraceae,Lactobacillaceae,Lactobacillales,Leuconostocaceae,Marinifilaceae,Methylomonadaceae,Micrococcaceae,Monoglobaceae,Moraxellaceae,Morganellaceae,Muribaculaceae,Mycoplasmataceae,Nocardiaceae,Nostocaceae,Oscillospiraceae,Oscillospirales,Oxalobacteraceae,Pasteurellaceae,Peptococcaceae,Peptoniphilus,Peptostreptococcaceae,Planococcaceae,Porphyromonadaceae,Prevotellaceae,Promicromonosporaceae,Pseudomonadaceae,RF39,Rhizobiaceae,Rhodospirillales,Rickettsiaceae,Rikenellaceae,Rubritaleaceae,Ruminiclostridium,Ruminococcaceae,Saccharimonadaceae,Selenomonadaceae,Shewanellaceae,Sphingobacteriaceae,Sphingomonadaceae,Spirosomaceae,Streptococcaceae,Subgroup-2,Sutterellaceae,Tannerellaceae,UCG-010,Vagococcaceae,Veillonellaceae,Vibrionaceae,Victivallaceae,Weeksellaceae,Xanthobacteraceae,Xanthomonadaceae,[Clostridium]-methylpentosum-group,[Eubacterium]-coprostanoligenes-group,gut-metagenome,metagenome
sample131,0.001851511,0.041179151,0,0,0.000126019,0,0,3.87751E-05,0,0,0,0.027724193,0,0,4.84689E-05,0,0,0,0.001434679,0.001424985,0,0,0,0,0.001861205,0.0051377,0.000174488,0,0,0,0.021927316,0.000213263,0,0.004895356,0,0,0,0,0.000407138,9.69377E-05,0.000533158,0.237701025,0,0,0,0,0.003431596,5.81626E-05,0.099438731,0.003848428,0,0,0.028906833,0,0,0.0001551,0,0,0.248267238,0,0,0,0.01857327,0,0,0,0.000862746,0,0.000659177,0,0,0.106447329,0,0,0,0,0.000862746,0,0.085741428,0,0,0.012630987,0.000232651,0,0,0,0,0,4.84689E-05,0,0.026531859,0.015073818,7.75502E-05,0,0,0,0,0,0,0,0,0.001376516,0,0
sample132,0,0.022307782,0,0,0.000458912,0,0,1.55563E-05,0,0,0,0.068004511,0,0,0.00017112,0,0,0,0.002986816,0,0,0,0.000124451,0,0.000614475,0.001221172,0.000155563,0,0,0,0.114953525,0,0,0.033881694,0,0,0,0,0.00029557,0,0,0.148842998,0,0,0,0,0.000824486,0.000101116,0.184739237,0.003103489,0,0,0.02223,0,0,8.55598E-05,0,0.000116673,0.222766694,0,0,0,0.062303115,0,0,0,0.00157119,0,0,0,0,0.002434566,0,0,0,0,0.000194454,0,0.040026446,0,0,0.021452184,5.44472E-05,0,0,0,0,0,0.000124451,0,0.035810679,0.007288142,0,0,0,0,0,0,0,0,0,0.000715591,0,0
sample133,0.000148571,0.063827855,0,0,0.000156825,0,0,0,0,0,4.12698E-05,0.041822804,0,0,5.77777E-05,0,0,0,0.001114284,0.00273206,0,0,0,0.000107301,0.000949205,0.002996187,0.002476187,0,0,0,0.069399277,4.12698E-05,0,0.005703485,0,0.000156825,0,0,0.000198095,0,0.000140317,0.214776235,0,0,0,4.12698E-05,0.001345395,9.07935E-05,0.047955495,0.014749823,0,0,0.02740314,0,0,0,0,1.65079E-05,0.242369216,0,0,0,0.016648233,0,0,0,0.00047873,0,0,0,0,0.018125691,0,0,0,0,0.001518728,0,0.105031613,0,0,0.009879987,0.000264127,0,0,0,0,0,0.000264127,0,0.089464648,0.015179028,4.95237E-05,0,0,0,0,0,0,0,0,0.002278092,0,0
sample134,0,0.106147379,0,2.04051E-05,0.000299275,0,0,0,0,0,0,0.073519609,0,0,6.12153E-05,0,0,0,0.005026459,0.000850213,0,0,0.000170043,0.000312878,0.000326482,0.000911428,0.002346588,0,0,0,0.023860375,0,0,0.031083783,0,4.08102E-05,0,0,0.000231258,0,0.000136034,0.116880467,0,0,4.08102E-05,0,0.004081022,9.52238E-05,0.095523119,0.017398757,0,0,0.028682782,0,0,0,0,0,0.18801948,0,0,0,0.044870836,0,0,0,0.002176545,0,0,0,0,0.01745317,0,0,0,0,0.001210703,0,0.146488281,0,0,0.029519392,0.003557291,0,0,0,3.40085E-05,0,0.000244861,0,0.028383507,0.026812314,8.16204E-05,0,0,0,0,0,0,0,4.08102E-05,0.003060766,0,0
sample135,4.3555E-05,0.053452819,0,0,0.000195997,0,0,4.3555E-05,0,0,0,0.070156145,0,0,0.000108887,0,0,0,0.001328426,0.001535312,0,0,9.79986E-05,0.000141554,0.006032361,0.000511771,0.01424247,0,0,0,0.008612992,0,0,0.008079444,0,0.000141554,0,0,0.000402883,0,0.000293996,0.220377186,0,0,0,0,0.001001764,7.62212E-05,0.048639997,0.026535857,0,0,0.028484941,0,4.3555E-05,0,0,5.44437E-05,0.234695878,0,0,0,0.012914044,0,0,0,0.00034844,0,0.000206886,5.44437E-05,0,0.02063416,0,0,0,0,0.002090638,0,0.152801673,0,0,0.009680089,0.000217775,0,0,0,0,0,0.000370217,0,0.043141183,0.027537621,0.000119776,0,0,0,0,0,0,0,0,0.004551493,0,0
sample136,0,0.017487532,0,0,0.000291882,0,0,0,0,0,0,0.024886103,0,0,0.000355334,0.000342644,0,0,0.004352847,0.00025381,0,0,0.000139596,0,0.002081245,0.000571073,0.003236082,0,0,0,0.001916268,0.000126905,0,0.025431795,0,0.000164977,0,0,0.000583764,0.000203048,0,0.219165218,0,0,7.61431E-05,0,0.005330017,0.000114215,0.23495222,0.002487341,0,0,0.024035838,0,0.000152286,6.34526E-05,0,0,0.260828183,0,0,0,0.04865544,8.88336E-05,0,0,0.001878196,0,0,0,0,0.006903641,0,0,0,0,0.00024112,0,0.03711976,0,0,0.021802307,0.003642178,7.61431E-05,0,0,0,0,6.34526E-05,0,0.037157832,0.011408774,0,0,0,0,0,0,0,0,0,0.001332504,0,0
sample137,9.65577E-05,0.014664703,0,4.82789E-05,0.001653551,0,0,0,0,0,0,0.027193067,0,0,8.4488E-05,0.000181046,0,0,0.000603486,0.021037513,0,0,0.000313813,0.000120697,0.008352243,0.002088061,0.009462656,0,0,0,0.013180128,0,0,0.017102786,0,0,0,0,0.000229325,0,0.000229325,0.140250084,0,0,0,0,0.003669193,7.24183E-05,0.088133057,0.010186839,0,0,0.030596727,0,6.03486E-05,0,0,0,0.258014291,0.000144837,0,0,0.044319992,0,0,0,0.001436296,0,0,0.000168976,0,0.077704823,0,0,6.03486E-05,0,0.000941438,0,0.150461063,0,0,0.017464877,0.001665621,0,0,0,0,0,0.000325882,0,0.025068797,0.026348187,0.000108627,0,0,0,0,0,0,0,0.000132767,0.005890021,0,0.000132767
sample138,0,0.05026711,0,0,0.000477219,0,0,0,0,0,2.65122E-05,0.047284489,0,0,0.000145817,0,0,0,0.003459841,0.000596524,0,0,0.000251866,0,0.001683524,0.006508742,0.000172329,0,0,0,0.003300768,0.000371171,0,0.008987632,0,0,0,0,0.00030489,0,0.000490475,0.157323329,0,0,0.000198841,0,0.011665363,0.000132561,0.075175312,0.001272585,0,0,0.034611663,0,0,5.30244E-05,0,0,0.314991317,5.30244E-05,0,0,0.024669592,0,0,0,0.000530244,0,0,0,0,0.0532895,0,0,2.65122E-05,0,0.002651219,0,0.103092647,0,0,0.011559314,0.00617734,0,0,0,7.95366E-05,0,0.000119305,0,0.058154487,0.014263558,0.000371171,0,0,0,0,0,0,0,0,0.005209645,0,0
sample139,0.000234863,0.032317159,0,0,0.000336637,0,0,0,0,0,0,0.022672115,0,0,0.001009911,0,0,0,0.00082985,0.002231199,0,0,0.000438411,7.82877E-05,0.001683185,0.007539105,0.000289664,0,0,0,0.032974776,0.000219206,0,0.003303741,0,0.000140918,0,0,0.000430582,4.69726E-05,9.39452E-05,0.248101523,0,0,0.000109603,0,0.000978596,8.61165E-05,0.061322749,0.020464403,0,0,0.028073966,0,0,0,0,5.48014E-05,0.310481156,6.26302E-05,0,0,0.014279675,0,0,0,0.000430582,0,0.000399267,0,0,0.006028152,0,0,0,0,0.00038361,0,0.082444768,0,2.34863E-05,0.008760393,0.009590242,0,0,0,5.48014E-05,0,4.69726E-05,0,0.09286486,0.006137755,0.00018789,1.56575E-05,0,0,0,0,0,0,0.000234863,0.001510952,0,0
sample140,0,0.018657657,0,0,0.001529592,0,0,0.000117661,0,0,0,0.024977728,0,0,0.000790009,0,0,0,0.001327887,0.004639201,0,0,0.000302557,0.000319365,0.00490814,0.003529827,0.000470644,0,0,0,0.00258854,0.000201704,0,0.012001412,0,0.000268939,0,0,0.000655539,0,6.72348E-05,0.140403073,0,0,0,0,0.009849898,0,0.174440691,0.007916898,0,0,0.053905501,0,0,0,0,0,0.305145143,0,0,0,0.028591599,0,0,0,0.000823626,0,0,0,0,0.052459953,0,0,0.000100852,0,0.004168558,0,0.05689745,0,0,0.013816752,0.002941523,0,0,0,0,0,0,0,0.055972972,0.013043551,0.000319365,0,0,0,0,0,0,0,0,0.001848957,0,0
sample141,0,0.038236949,0,0,0.000290997,0,0,0.000135798,0,0,0,0.01868198,0,0,0.001338584,0,0,0,0.000931189,0.002230974,0,0,0.000232797,0,0.00256077,0.00510214,0.000232797,0,0,0,0.006440724,0,0,0.006188527,0,0.000717792,0,0,0.000504394,0.000174598,0,0.206646362,0,0,0,0,0.00337556,0.000135798,0.061458475,0.015907812,0,0,0.026073292,0.000193998,0,0,0,0,0.356878189,0,0,0,0.022639533,0,0,0,0.000640192,0,0,0,0,0.009389489,0,0,0,0,9.69989E-05,0,0.076648496,0,0,0.015093022,0,0,0,0,0,0,0.000310396,0,0.100316216,0.017556793,0,0,0,0,0,0,0,0,0,0.002638369,0,0
