SampleID,MiceID,Vendor,Day,Diet,RandomizedGroup
sample131,BC1,Beijing,0,Control,C
sample132,BC2,Beijing,0,Control,B
sample133,BC3,Beijing,0,Control,A
sample134,BC4,Beijing,0,Control,D
sample135,BC5,Beijing,0,Control,E
sample136,BR1,Beijing,0,Resistant starch,C
sample137,BR2,Beijing,0,Resistant starch,D
sample138,BR3,Beijing,0,Resistant starch,B
sample139,BR4,Beijing,0,Resistant starch,E
sample140,BR5,Beijing,0,Resistant starch,A
sample141,BI1,Beijing,0,Inulin,A
sample142,BI2,Beijing,0,Inulin,B
sample143,BI3,Beijing,0,Inulin,D
sample144,BI4,Beijing,0,Inulin,E
sample145,BI5,Beijing,0,Inulin,C
sample146,BC1,Beijing,1,Control,C
sample147,BC2,Beijing,1,Control,B
sample148,BC3,Beijing,1,Control,A
sample149,BC4,Beijing,1,Control,D
sample150,BC5,Beijing,1,Control,E
sample151,BR1,Beijing,1,Resistant starch,C
sample152,BR2,Beijing,1,Resistant starch,D
sample153,BR3,Beijing,1,Resistant starch,B
sample154,BR4,Beijing,1,Resistant starch,E
sample155,BR5,Beijing,1,Resistant starch,A
sample156,BI1,Beijing,1,Inulin,A
sample157,BI2,Beijing,1,Inulin,B
sample158,BI3,Beijing,1,Inulin,D
sample159,BI4,Beijing,1,Inulin,E
sample160,BI5,Beijing,1,Inulin,C
sample161,BC1,Beijing,3,Control,C
sample162,BC2,Beijing,3,Control,B
sample163,BC3,Beijing,3,Control,A
sample164,BC4,Beijing,3,Control,D
sample165,BC5,Beijing,3,Control,E
sample166,BR1,Beijing,3,Resistant starch,C
sample167,BR2,Beijing,3,Resistant starch,D
sample168,BR3,Beijing,3,Resistant starch,B
sample169,BR4,Beijing,3,Resistant starch,E
sample170,BR5,Beijing,3,Resistant starch,A
sample171,BI1,Beijing,3,Inulin,A
sample172,BI2,Beijing,3,Inulin,B
sample173,BI3,Beijing,3,Inulin,D
sample174,BI4,Beijing,3,Inulin,E
sample175,BI5,Beijing,3,Inulin,C
sample176,BC1,Beijing,5,Control,C
sample177,BC2,Beijing,5,Control,B
sample178,BC3,Beijing,5,Control,A
sample179,BC4,Beijing,5,Control,D
sample180,BC5,Beijing,5,Control,E
sample181,BR1,Beijing,5,Resistant starch,C
sample182,BR2,Beijing,5,Resistant starch,D
sample183,BR3,Beijing,5,Resistant starch,B
sample184,BR4,Beijing,5,Resistant starch,E
sample185,BR5,Beijing,5,Resistant starch,A
sample186,BI1,Beijing,5,Inulin,A
sample187,BI2,Beijing,5,Inulin,B
sample188,BI3,Beijing,5,Inulin,D
sample189,BI4,Beijing,5,Inulin,E
sample190,BI5,Beijing,5,Inulin,C
sample191,BC1,Beijing,8,Control,C
sample192,BC2,Beijing,8,Control,B
sample193,BC3,Beijing,8,Control,A
sample194,BC4,Beijing,8,Control,D
sample195,BC5,Beijing,8,Control,E
sample196,BR1,Beijing,8,Resistant starch,C
sample197,BR2,Beijing,8,Resistant starch,D
sample198,BR3,Beijing,8,Resistant starch,B
sample199,BR4,Beijing,8,Resistant starch,E
sample200,BR5,Beijing,8,Resistant starch,A
sample201,BI1,Beijing,8,Inulin,A
sample202,BI2,Beijing,8,Inulin,B
sample203,BI3,Beijing,8,Inulin,D
sample204,BI4,Beijing,8,Inulin,E
sample205,BI5,Beijing,8,Inulin,C
