pathway	description	sample100	sample111	sample112	sample113	sample114	sample115	sample126	sample127	sample128	sample129	sample130	sample141	sample142	sample143	sample144	sample145	sample156	sample157	sample158	sample159	sample160	sample171	sample172	sample173	sample174	sample175	sample186	sample187	sample188	sample189	sample190	sample201	sample202	sample203	sample204	sample205	sample216	sample217	sample218	sample219	sample220	sample231	sample232	sample233	sample234	sample235	sample246	sample247	sample248	sample249	sample250	sample261	sample262	sample263	sample264	sample265	sample276	sample277	sample278	sample279	sample280	sample291	sample292	sample293	sample294	sample295	sample306	sample307	sample308	sample309	sample31	sample310	sample32	sample321	sample322	sample323	sample324	sample325	sample33	sample336	sample337	sample338	sample339	sample34	sample340	sample35	sample351	sample352	sample353	sample354	sample355	sample366	sample367	sample368	sample369	sample370	sample381	sample382	sample383	sample384	sample385	sample396	sample397	sample398	sample399	sample400	sample411	sample412	sample413	sample414	sample415	sample426	sample427	sample428	sample429	sample430	sample441	sample442	sample443	sample444	sample445	sample456	sample457	sample458	sample459	sample46	sample460	sample47	sample471	sample472	sample473	sample474	sample475	sample48	sample486	sample487	sample488	sample489	sample49	sample490	sample50	sample501	sample502	sample503	sample504	sample505	sample516	sample517	sample518	sample519	sample520	sample531	sample532	sample533	sample534	sample535	sample61	sample62	sample63	sample64	sample65	sample76	sample77	sample78	sample79	sample80	sample81	sample82	sample83	sample84	sample85	sample96	sample97	sample98	sample99
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	46763.5504	63238.7701	36264.0027	44333.5813	45541.4437	57389.7331	62299.8461	61675.5349	53588.6584	62953.4615	72393.7448	24672.6556	43827.6571	84870.59599999999	35271.0236	63026.517	59290.2138	42291.2784	43934.5808	47766.665	96869.6966	44719.1434	52754.1766	94106.3614	55345.5226	62739.4621	27612.8569	41645.7117	38668.2908	42769.0903	40416.0783	51520.4748	56436.0585	75725.848	47707.9397	61051.505999999994	68284.1584	61660.8759	70540.3595	47720.2494	47859.2594	48876.3112	49840.2402	65890.2781	34145.1267	57739.6225	40777.6679	62146.1937	43426.5801	35242.9099	65182.2928	36123.5152	38112.1559	47108.6247	36524.5909	63065.2886	38473.4706	44464.3464	48330.1151	52101.1276	32421.7791	45073.2789	86831.6033	46416.3258	80114.6258	61608.0499	42944.6659	103433.3009	28129.3402	55148.3979	53374.1633	61877.7922	47991.6486	52086.2601	34561.0688	33516.3528	40364.5895	51775.8057	51766.9688	55797.7763	76270.5328	52956.9339	75690.8429	58119.1949	105213.5802	65445.1938	36991.4266	66597.2507	68883.1626	45490.257000000005	76690.7507	76096.6102	76584.2772	25912.4919	82687.3378	81082.3835	94869.528	86373.9249	53102.8281	85865.916	86170.18800000001	34373.0511	68407.7375	39674.4146	69037.0839	63332.8038	67507.3304	61506.2074	56514.3908	43476.9572	90916.4093	101921.2166	68923.9185	77892.4516	38971.2415	45194.1989	56157.1483	48178.167	69912.969	30170.7936	62306.4056	47608.4804	70513.4838	65405.0296	28646.2993	41559.9739	71807.8882	51042.2081	46406.4295	51827.2989	47097.6267	40091.1676	46950.619000000006	58271.9852	30343.1068	54730.1572	46514.0905	58690.1958	52679.7397	41869.5006	65603.3438	32363.8623	71101.3023	48932.7691	50688.1718	30975.7722	33935.015	61247.9962	40576.3931	22081.9391	30444.536	37696.7311	28088.872000000003	41178.9835	44576.1742	48217.6666	37071.2037	47776.9453	64779.417	37529.4873	48227.9176	36168.2701	51206.8749	42098.5591	45650.962999999996	44551.5276	31139.0254	52850.1534	45303.5063	37876.0539	56637.5261	40549.4678	63629.645	32409.3815	24426.9719
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	0.0	0.0	0.0	0.0	0.0	1.3734	0.0	0.0	0.0	0.0	0.0	14.9631	0.0	2.9225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.7903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0684	375.8535	64.3137	0.0	0.0	0.0	775.3528	0.0	0.0	9.2985	1.8207	0.0	0.0	6.2078	611.1246	0.0	0.0	0.0	0.0	1208.1813	12.3354	0.0	7.6565	0.0	0.0	0.0	2517.0101	0.0	0.0	0.0	0.0	3353.6859	0.0	3.9855	0.0	0.0	923.0309	0.0	0.0	0.0	0.0	1493.2903	0.0	0.0	0.0	0.0	0.0	0.0	85.8909	0.0	1.3094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0907	0.0	0.0	0.0	0.0	0.0	20.4344	0.0	0.0	0.0	2.7981	0.0	5.7222	0.0	0.0	0.0	0.0	2.4785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0421	0.0	0.0	0.0	4.0704	1.9896	0.0	0.0	0.649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.7683	2.5208	0.0	0.0
AEROBACTINSYN-PWY	aerobactin biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	74.1416	78.6458	80.1005	75.205	134.5792	117.7318	166.0671	215.0869	235.3549	88.6194	94.2152	187.8528	208.5212	304.3526	184.9978	278.3323	136.8639	175.8238	105.676	138.7452	98.9546	259.5918	213.2873	87.0628	208.6015	0.0	102.1979	98.9221	112.5066	130.5282	164.8598	179.5403	125.0165	202.2713	251.896	112.9064	149.3929	90.6566	242.67700000000002	237.3701	151.7034	199.3944	106.2917	228.2184	60.2433	172.8627	159.9051	233.123	134.7622	66.8817	219.8001	254.0056	177.2007	241.0875	126.1829	437.8955	159.0954	5455.784000000001	37825.0293	18845.0829	3964.2843	68.3799	3124.4501	45965.5708	13463.6062	5021.4931	130.8027	1390.6203	28945.9307	3780.8936	165.4574	2286.615	636.4099	186.7413	115.4911	4980.6909	37640.9461	940.5015	79.0665	191.0553	2586.9741	53557.1072	4151.0717	67.696	6560.6421	95.2873	92.3859	1499.8102	62030.7887	3205.5603	2414.0709	237.8899	290.8487	28803.4936	1718.8129999999999	800.8758	367.7975	1129.3876	53403.7553	8791.3905	271.3051	222.0323	280.8874	41912.482	2878.0057	1419.5202	7036.4126	1025.495	671.4680000000001	474.7412	46110.0424	1054.6193	7094.931	410.4376	234.1099	24165.5248	636.7656	258.8726	294.0098	222.2766	52544.1174	1129.9195	304.2514	236.0639	107.2988	106.7737	70436.6378	101.39	255.27599999999998	259.903	66.7103	134.2659	47849.7748	100.0393	78.6089	352.8469	268.6309	468.7642	93.3369	41327.6631	144.1971	124.4945	422.1497	237.1223	299.6728	162.2949	58.9802	125.0553	96.7283	50.284	110.6305	503.6665	2047.825	77.0228	148.8687	163.1776	121.8938	115.8828	74.4715	66.2501	104.5468	139.3719	939.4412	56.7142	104.791	68.2486	34.8172	79.7879	113.4288	96.7955	129.1466	91.3214	86.4723	83.8326	38.7244
ANAEROFRUCAT-PWY	homolactic fermentation	41001.1346	50358.4405	28842.1371	41136.5494	46828.127	49041.1096	65955.4771	56388.9192	49423.7679	66041.6894	68620.2822	26052.0408	42467.2541	66552.9178	44097.8447	48830.3172	44312.1844	32737.9852	22887.7081	43397.312999999995	56789.7905	39193.0723	51304.5998	37264.3174	48246.8286	52573.4708	22494.4963	40129.3063	37410.0529	40531.2304	38391.345	52585.4607	55464.4412	80407.4064	43002.4642	60624.7095	65670.8811	58087.5911	76589.0623	44443.8529	46242.7823	48366.3514	44639.8093	63607.0378	26850.7076	53268.9094	39748.2043	58008.9088	41250.1104	30827.8899	60571.0547	32081.9446	33996.4766	46938.2697	32436.6847	57490.2754	37483.4576	45640.4807	61600.9905	51661.7976	35591.4694	35597.6077	66950.6676	59558.5525	43270.6465	43853.1023	39851.9044	78374.5901	34823.9592	30738.1863	49894.508	44179.6267	46851.9834	45897.40900000001	24280.3951	23865.0328	52588.7038	35017.0312	53694.7798	39775.1785	45009.3773	69830.5521	53744.5551	51611.0195	59032.0478	64839.9778	33024.2962	43504.810999999994	86782.3835	22719.7585	53097.615	74526.3282	45648.056	34114.9605	44518.2196	58091.1229	93605.7043	65981.5734	66903.4302	47796.1287	45599.3401	28737.513	38673.358	49591.6231	39371.5534	37449.9347	69183.1234	75573.4539	72763.0593	55208.5885	106817.6441	109940.245	53119.0781	80020.8827	44193.5759	54944.5884	56116.9981	46592.0199	58452.9702	33373.3823	69166.7126	45527.2423	74722.9261	46492.6948	33746.3203	41457.1188	83542.8713	56447.9464	46033.6085	35016.52	37636.8995	38589.9446	56664.7268	63703.2739	27218.6183	59520.7993	38165.6741	78313.0154	59840.2262	43838.8725	72448.8834	31157.6843	59049.9492	45353.3588	50833.8748	44775.5087	28701.5706	57805.4297	29760.8726	22401.0742	27896.1297	33816.5133	25848.8461	31022.0023	34100.0654	35005.004	43882.6378	50193.1547	62122.0244	42702.4971	53556.51	37976.6804	52884.0394	37641.9251	53319.1555	43258.5818	34409.9356	56410.6012	50881.8933	43785.585999999996	58057.6112	37826.6437	56247.6804	31224.6197	26164.2105
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	54511.7849	70955.5428	40241.293	52272.1306	56294.8419	64876.5801	75677.8119	74347.9703	65953.616	82462.6467	89126.6145	30481.0974	54618.0803	106480.8438	51018.5042	77281.8461	70373.6642	51595.0297	53589.1885	60541.7843	110106.2218	51511.8693	61775.5068	106136.9816	66660.3634	73011.7646	32820.8712	52293.7389	45335.724	52175.2855	47635.8465	62064.9125	68197.8722	86679.0006	54243.1583	72023.9622	81871.99	70818.9992	85377.9809	54117.7014	54965.6796	56152.6622	56863.3155	77251.6982	39553.4029	67437.3053	46161.0534	68151.5589	50375.203	39754.5921	72644.3575	42011.7235	43815.8446	59973.3752	42704.0739	72466.9585	49153.1265	52184.7922	64918.0007	62798.6337	40010.1555	58603.3433	116968.9797	63023.0062	104309.3209	83952.9781	55174.0988	140424.0426	37474.6587	75916.9929	69309.3776	85253.8123	61577.8603	66614.0922	45317.7935	44868.1236	57119.5177	67078.5109	61770.0293	69420.9003	98254.5517	75470.5013	105494.8382	72915.2632	146681.8789	82831.3683	45893.1456	91678.1466	95847.6891	65803.5431	105623.8328	98851.9812	102642.0366	34419.7935	111438.9667	114134.1736	121227.201	124753.0153	67276.0572	117246.4256	125151.2237	42684.6296	99578.5867	49942.1766	97146.0693	88313.3716	88646.4253	92176.8686	86207.899	65316.2378	104694.1516	140078.1602	91121.2844	105639.3128	50471.8857	53195.2682	72994.2279	61951.1132	92119.6002	37354.4407	76904.1349	61365.5984	89479.7998	88459.3076	39997.336	51128.1014	90364.136	60214.5168	57767.664000000004	59797.3615	57917.6619	46289.5164	56149.8218	67680.701	38093.8805	70946.2639	59871.157999999996	81618.9825	64066.6881	51981.387	77135.8329	40330.7355	87202.5508	60418.3747	60853.2802	50756.6179	45437.4692	86271.2755	52814.6346	29655.9736	38495.9151	48337.4239	35945.6758	51912.8969	56950.0592	61746.8081	48605.8815	55076.4531	74136.4318	45193.7991	56882.0429	45602.1424	58840.0324	46445.2362	56371.2331	50125.4675	37416.6615	63313.2403	54143.209	47956.9573	65277.3332	48752.99	74321.3251	38831.3001	30629.47
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	5340.5968	6476.8946	4383.0653	13712.5529	19992.1433	8557.9497	11441.3666	18917.7301	15997.4057	19953.512	27266.6379	2774.1592	10226.0122	4305.1772	4377.9372	4230.2526	1973.9684	1736.4191	2405.6491	2922.5714	1479.9578	536.862	1673.2979	1933.2221	2822.0016	2476.8967	2030.4231	2766.9621	3482.4357	3990.5995	2354.1534	15173.4368	17383.2128	14805.2565	8504.583	12358.4413	14381.6088	16656.8843	11814.455	11979.161	17164.1096	5124.3679999999995	5745.1895	10855.0004	4829.432	5702.2033	3951.5748	9409.8419	2087.1591	7925.1308	12909.2554	5990.7636	10192.1727	17677.484	11595.1775	17135.583	7752.7373	11527.166000000001	43595.6072	23711.4183	6216.2203	2401.9244	7402.222	48943.9256	13293.6616	5617.2477	4958.0681	11631.476	31565.7285	6278.6159	9161.2546	10157.4044	15116.1308	9211.2574	2900.373	6965.9224	39880.1641	4152.5197	16831.7663	4070.6588	4343.2304	58307.7958	3647.842	9753.6963	9333.4062	17932.6426	5298.2866	10113.1363	68345.9936	3095.0797	10482.2649	21681.092	8925.3785	29085.8801	7553.0629	11786.6672	37256.02	14326.1715	53247.5494	13119.5523	6072.8014	8441.4402	7045.102	43600.4828	5700.321	5612.0034	12827.8232	9903.2106	8653.4038	6829.6161	76378.9708	2555.1386	7399.7047	3324.5186	1102.2653	26335.8384	5015.3679	8259.5059	13413.3346	2357.077	57925.5609	10143.2456	14834.7653	9648.0073	7869.5896	4186.1182	76572.0565	6020.075	6039.6713	7674.1674	4892.7985	14006.8253	49855.4625	3147.2885	3194.1513	13152.3826	7794.1181	17933.7417	4771.9947	38445.3073	3509.3741	6816.8566	16028.9662	4901.4923	22622.0693	5129.5492	7534.7931	17826.0339	2307.0331	1860.2409	4595.4685	6734.0678	5444.3173	3767.9487	4185.4561	4539.0931	10682.617	5173.4132	3808.2270000000003	7233.2613	9871.1724	13596.991000000002	14594.911	5919.6438	22319.487999999998	11263.5627	8582.9322	11339.1099	22427.6756	14763.9797	14232.8752	2707.6374	5054.7924	7326.3969	12364.1667
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	15.8042	21.3572	19.6024	11.5429	36.9845	32.3209	27.2404	30.9401	32.1294	12.2933	13.84	30.4941	25.5098	46.9009	50.0873	30.9712	30.3196	28.375999999999998	29.8829	22.4669	15.5076	28.3591	24.3025	28.4031	12.1591	0.0	12.6915	15.8862	12.4038	14.4474	16.1478	14.4376	21.8995	24.2438	26.6516	14.4103	11.3337	7.521	30.6927	33.5021	31.551	20.1872	17.2407	17.3326	5.7997	36.53	10.8555	18.565	15.1885	6.327000000000001	37.2635	41.9361	46.9829	39.3625	18.1373	66.2557	34.1233	2351.1349	27236.1188	10313.9686	1846.9439	20.6414	1180.0302	35601.1819	5821.0416	2069.3852	29.119	343.9194	22532.7865	1090.0377	52.5596	557.618	180.5357	48.3952	33.3698	1544.154	27676.4757	274.8438	27.0204	46.0195	689.7196	37178.7601	1200.9683	14.9618	1863.3958	25.4075	19.0535	398.5618	43155.4057	890.8108	673.4704	38.5855	81.2024	24201.3951	434.2375	214.8674	75.8018	292.3633	49165.2359	2255.7415	58.2514	32.3369	70.0481	37402.462999999996	755.7319	352.3107	2719.6207	258.4202	124.1023	98.4275	24054.9305	297.3765	2599.8474	100.7881	47.1414	12846.3313	155.4604	42.3743	42.3288	30.8157	31861.1146	224.0573	55.4289	37.8717	15.9542	28.9647	54901.1378	39.3236	43.6941	54.7593	15.81	20.4717	38222.2439	24.6803	12.0053	66.5037	48.515	59.9865	25.323	26086.4928	45.3384	19.3396	66.7712	58.7588	51.7706	26.9074	11.0563	30.1858	21.704	8.2757	20.7071	138.917	586.4868	19.0779	35.6981	36.8381	29.2886	27.3441	20.6864	23.2568	22.9535	31.5158	286.1428	16.2054	26.8769	21.4825	13.0699	33.5032	34.7805	27.7643	31.0429	7.7562	20.291	21.3426	9.0641
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	611.7016	352.5063	975.5082	1025.7451	1419.6959	389.0472	228.2773	1002.6072	579.3266	2538.919	709.8787	2654.2774	4377.5002	2764.1859	2729.2114	2666.9387	1668.6821	1003.6376	2053.5364	2187.4981	1073.4987	563.3633	1375.8153	471.0788	2343.3295	1169.3119	1130.8181	3602.0776	1077.282	2271.2277	1578.0119	2128.125	4080.2488	2647.6344	1845.1688	2601.4225	5588.2864	2131.0086	3120.929	1963.0923	1094.7983	3098.4635	2418.6977	4797.4419	1673.4094	3135.0	900.7871	1568.1122	2068.7779	1233.4082	1867.1292	1517.0641	1022.3265	2100.0259	1089.7329	2153.6069	3557.5175	1613.1568	888.7297	1506.7302	2361.7978	500.1676	1048.7442	451.0026	303.5358	474.1753	805.3034	811.6296	474.5483	416.4404	8355.9565	522.8266	5928.189	902.1984	13.4327	387.5296	934.8248	829.4698	8180.2775	589.1149	488.1838	1162.1019999999999	669.373	5242.5293	1553.1614	9718.4044	135.0601	399.3646	1868.8529	375.0011	1312.9785	618.9291	588.7561	1178.4654	729.9213	1407.4133	718.2396	1732.5558	814.2802	754.2187	1905.3352	1056.6832	736.1015	454.9282	715.9333	175.2057	6556.1086	4373.9009	5545.9213	5202.6455	1554.9054	1297.4589999999998	501.139	2038.6923	949.2289	641.3149	1745.7006	1448.9270000000001	1121.052	904.1322	2366.0705	1397.4167	2232.4683	801.4182	1315.3954	5611.2358	522.2894	2644.0768	603.3568	189.7686	271.5957	657.6776	610.6662	1485.1073	275.6148	858.288	460.75199999999995	1680.8348	2568.9021	951.6519	1289.9115	259.9578	899.1536	1056.2255	627.1759999999999	2042.8177	5040.5622	7947.6988	1979.1849	1268.4353	2577.7618	3369.5285	2532.9357	2209.2792	3319.2477	2853.4973	3249.3558	3312.8442	2230.4876	1376.329	1615.4260000000002	2962.7934	7883.3176	1489.0871	3564.1878	3241.6545	1021.418	4633.8264	849.9971	2709.8094	2676.1693	267.4999	2191.9619	91.9786	541.8195
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	51628.2168	68415.9165	35158.2368	51999.8737	51391.9225	64051.1827	67673.2789	65600.429	58516.9919	70364.7204	84695.2119	26128.9201	41419.724	49159.1704	42631.3953	48003.06	46369.3122	30945.9491	27737.1148	43313.682	59067.7562	40031.663	47159.4167	38657.0106	49573.8257	51320.7779	21947.5827	40068.5935	36459.973	38353.5297	36958.7942	54406.5554	53411.2667	90564.9638	38327.9406	57173.5354	72871.7315	56354.1361	99063.1926	41641.0891	45768.8095	47463.2558	43195.8947	68015.2025	26580.5397	51907.9439	37974.6689	57965.7536	41688.07	30425.212000000003	62763.8909	32386.7834	33767.8582	49791.5883	33067.5649	56626.365	41745.097	41534.9891	68218.4863	48167.3792	30875.01	40284.2009	70890.5455	67368.9811	45903.0415	37863.6798	40334.6533	93588.0536	42939.1464	37591.1809	55653.7837	48615.7995	57124.9796	47795.7741	31271.8942	29322.7562	62920.8281	44057.6203	58905.4912	48730.8246	64490.3968	98530.6602	64852.3243	60457.2641	81721.5139	71777.6503	34638.9306	57097.4788	117318.2094	34009.3584	65283.1251	80195.0988	66766.1664	30781.2358	71035.2681	69899.6344	106257.7724	76451.457	52087.5645	79466.7112	66133.62299999999	34052.0641	54887.2673	47472.7822	61849.3431	58933.9812	57805.6855	74004.2451	75581.2813	53223.4924	182001.8315	93253.7771	52707.199	69516.8675	37806.4597	84605.4008	49015.6754	48590.0878	62877.5006	31767.4585	99544.55099999999	45255.5136	70360.0677	49471.5967	37156.4766	43245.5977	102401.4699	67923.1131	37377.4726	31831.7974	33309.4812	41368.7722	54675.9996	76529.3895	22388.4551	60326.9481	36566.3472	82787.0967	72456.5058	57085.5507	94354.1393	28430.1371	53623.6578	37819.3318	54416.6973	48772.6891	38238.1248	72431.6593	41719.6883	25761.1336	30455.9752	36646.1033	28482.4928	34632.1079	39937.7889	42831.9502	45213.4989	55127.8179	82259.2373	53087.4773	66961.7248	43062.4484	60669.9247	47313.8187	64682.3025	51105.6842	43054.8728	63474.2802	65239.1417	53346.8274	69872.4113	47887.414000000004	70920.0032	38155.8864	29624.7047
