,Acetyl.CoA_assimilation,Aerobe,Biotin_prototroph,Carbon_fixation,Coenzyme_A_prototroph,Dissimilatory_sulfate_reduction,Fructose_utilizing,Galactose_utilizing,Glucose_utilizing,Glycine_prototroph,L.alanine_prototroph,L.arabinose_utilizing,L.arginine_prototroph,L.asparagine_prototroph,L.aspartate_prototroph,L.cysteine_prototroph,L.glutamate_prototroph,L.glutamine_prototroph,L.histidine_prototroph,L.isoleucine_prototroph,L.leucine_prototroph,L.lysine_prototroph,L.methionine_synthesis_with_homocysteine_as_intermediate,L.methionine_synthesis_with_methanethiol,L.phenylalanine_prototroph,L.proline_prototroph,L.selenocysteine_synthesis,L.serine_prototroph,L.threonine_prototroph,L.tryptophan_prototroph,L.tyrosine_prototroph,L.valine_prototroph,Lactose_utilizing,Maltose_utilizing,Nitrogen_fixer,Sucrose_utilizing,Sulfur_reducer,Trehalose_utilizing,Use_of_nitrate_as_electron_acceptor,Xylose_utilizing,IsAcetateProducer,IsButyrateProducer,IsPropionateProducer
sample131,37284.19245436656,45673135.75659903,37284.19245436656,0.0,77231.54151261644,189971.83774367723,46161.381133977644,37284.19245436656,50599.97547378318,91439481.99433398,12121801.14200894,37284.19245436656,41722.786794172105,86996449.06018864,78654554.8579581,18652748.853598814,91560211.76037669,81144606.282589,1113199.4604232302,2213083.137827044,2117209.5000872444,5448818.411545285,41722.786794172105,41722.786794172105,50599.97547378318,5732888.449292841,4403973.3039550595,3624556.1378852073,2688012.7321862374,866413.6151300423,50599.97547378318,2405718.132174605,0.0,345322.63963687123,0.0,37284.19245436656,2232612.9529221887,32845.59811456101,123392.92264659407,4438.594339805544,15314925.910065046,5901555.034205449,11076068.31555075
sample132,34590.07936219033,60434330.23722475,34590.07936219033,0.0,84654.66791272897,1004932.8319962661,32769.54886944347,34590.07936219033,71000.68921712752,116881698.69533388,26698989.941379063,34590.07936219033,49154.3233041652,113670282.90612842,92958107.49014741,31056429.67576868,117016417.95179717,95314784.21300821,831982.435185315,5338705.669980166,5237666.227632715,16068912.394230153,49154.3233041652,49154.3233041652,49154.3233041652,12443325.917924782,21490452.2016303,8565595.968373975,4469402.35969354,283092.4916221366,49154.3233041652,5595400.469457473,0.0,354093.1808392641,0.0,29128.487883949754,5420629.542153775,18205.304927468595,147462.9699124956,16384.774434721738,20405416.02795318,9247384.637907673,15406239.294870302
sample133,11574.27326411014,33236490.20066427,11574.27326411014,0.0,53048.75246050481,153841.38213546394,25077.592072238633,11574.27326411014,27488.89900226158,58266338.395688474,11682782.075961173,11574.27326411014,13503.318808128495,54032565.68795419,51935693.18160622,16387241.896435937,58419215.25505193,52500421.264617585,378575.18801360246,1767487.9797068196,1658979.1678557869,7987213.075008007,27006.63761625699,27006.63761625699,27006.63761625699,7560411.748393946,5451964.968781881,3262980.53770705,5385895.158899253,220875.71479010186,27006.63761625699,1918435.793526256,4340.352474041301,859389.7898601779,0.0,13021.057422123908,1758807.2747587368,9645.227720091783,141302.58609934465,6269.398018059657,11372205.743374215,3480962.6841811254,8935338.959893027
sample134,56550.2399069527,115100038.2967692,49300.20914965108,0.0,155150.65820625486,2347559.9592142673,92800.39369346085,49300.20914965108,101500.43060222281,212530301.6318429,52643923.33491858,49300.20914965108,79750.33833031793,187506095.46994057,169610119.5486172,76988076.611786,213074053.93864053,174740241.3124838,1046904.4413543551,11850900.275885241,11660949.470043939,28299770.05805118,101500.43060222281,101500.43060222281,101500.43060222281,22889797.1069527,20901838.673300594,20684337.75058155,6920879.360920134,436451.8515895581,101500.43060222281,12942754.907934869,13050.05536314293,3596015.255621608,0.0,53650.22760403205,12081451.253967434,40600.17224088912,503152.13455673296,21750.092271904883,70068647.2570173,21586241.576789863,54742082.23608168
sample135,39485.145176179794,45310648.66814836,35632.93589069884,0.0,74155.0287455084,272543.8069477776,66450.61017454648,35632.93589069884,68376.71481728696,87824593.39503756,13880473.107909251,35632.93589069884,40448.197497550034,82302451.3843006,79308321.71716055,27931406.47670104,88374496.27053997,80931064.87866943,356329.35890698835,5452802.243598293,5367090.586996341,10754405.27274146,72228.92410276792,72228.92410276792,68376.71481728696,8030893.307906422,3126067.8351677954,8439227.492167402,4139198.877249287,151199.2144551275,68376.71481728696,5847653.69536009,11556.627856442869,2276655.6877192445,0.0,33706.83124795836,5455691.400562403,33706.83124795836,495008.89318430284,13482.732499183347,23878882.308375075,7954812.174518174,17954184.427305363
sample136,150747.01875658322,81101896.09104176,119557.9803931522,0.0,119557.9803931522,1567249.1777624083,153346.1052868691,119557.9803931522,197530.57630172968,204568902.62574393,19152668.641676925,119557.9803931522,218323.26854401705,199555264.70882243,152771707.1636759,44145484.71690632,204805419.49999994,158684629.0200764,779725.9590857752,4215718.352123758,4098759.4582608915,17975282.443457402,163742.4514080128,163742.4514080128,174138.79752915647,16974634.129297327,12831690.200021572,6258600.364928489,8267694.252839505,402858.41219431726,174138.79752915647,4693950.273696367,12995.432651429584,564001.777072044,0.0,135152.4995748677,4444437.966788919,98765.28815086486,314489.470164596,33788.12489371693,30601644.807586394,17016219.513781894,24415818.865505904
sample137,23649.740456718013,40811568.781476386,18722.71119490176,0.0,46314.07506107277,399089.37020711636,45328.66920870952,18722.71119490176,56168.13358470527,81435910.45100373,12982722.10488582,18722.71119490176,34489.20483271376,79056155.3175465,72261781.96550187,24982994.57496548,81634962.4331811,74100549.2860117,464126.15646309085,1445590.3854168882,1329312.4948380245,5659185.810122146,62080.568698884774,62080.568698884774,45328.66920870952,6898826.372395113,5419732.187997877,4160383.508677643,2340338.8993627187,228614.15774827407,45328.66920870952,1667306.7021986195,0.0,824784.6984280405,0.0,21678.92875199151,1485006.619511418,18722.71119490176,190183.32950610734,0.0,17159857.51305364,9926978.556707382,11725344.237270314
sample138,33990.69001073744,49973346.872337975,26958.13345679176,0.0,57432.54519055635,394995.25977994886,37506.96828771027,26958.13345679176,37506.96828771027,88395719.60482018,14211624.702765219,26958.13345679176,36334.87552871933,82188316.35320413,76445061.83414847,24187306.17453716,88415645.18172301,78600540.41793284,464148.73256041453,2835292.383999098,2577431.97702109,10135086.08699471,44539.52484165595,44539.52484165595,37506.96828771027,9213821.178427827,2868110.9812508454,5355291.815829634,5522901.080365337,256688.31421901716,37506.96828771027,3110734.1823619707,0.0,109004.62658615799,0.0,26958.13345679176,2722771.4791359673,26958.13345679176,51572.08139560163,0.0,17718526.237666134,7282212.311610747,14409708.379034692
sample139,42300.216673869145,46320784.04256447,37524.385759077464,0.0,37524.385759077464,109844.11104020856,41617.955114613185,37524.385759077464,41617.955114613185,86803455.92257574,10530707.167115647,37524.385759077464,42982.47823312509,83706670.70511296,78173529.45954718,22092993.811826296,87138446.34817043,80899846.65033397,276998.19305791723,1745225.0685767294,1717934.6062064916,10384020.931875616,47076.04758866081,47076.04758866081,41617.955114613185,9426807.964239514,4531581.2765780445,2440449.597458547,8223980.835271267,184892.88255836352,41617.955114613185,1820273.8400948844,4093.5693555357234,1775926.8387432476,0.0,37524.385759077464,1712476.5137324438,37524.385759077464,326803.28688360186,4093.5693555357234,12245912.727085117,5015304.722090517,8848932.423549723
sample140,98844.92148656145,76105520.57431969,98844.92148656145,0.0,98844.92148656145,1023932.0071941237,98844.92148656145,98844.92148656145,98844.92148656145,150434367.04704756,14091737.52475081,98844.92148656145,98844.92148656145,146239794.0967845,120426062.67779404,32573203.35757149,150784126.0,123457306.93671523,773017.975728237,3609106.8768426543,3228934.101894341,14167772.079740472,98844.92148656145,98844.92148656145,98844.92148656145,14089203.039584488,5598677.732405492,5649367.435731935,9301560.560402066,509431.5184307398,98844.92148656145,3928452.007799238,0.0,1193742.5133377037,0.0,98844.92148656145,3152899.5469046785,98844.92148656145,395379.6859462458,0.0,26657714.979375724,14907841.748306522,20610433.372531224
sample141,36982.581859274054,42700657.97751566,24180.918907986885,0.0,62585.9077618484,217628.270171882,71120.34972937319,36982.581859274054,71120.34972937319,73020685.47414204,8005306.565538246,24180.918907986885,24180.918907986885,69742037.35161792,65789168.31365937,19457105.278961916,73205598.38343842,67275583.62300327,264567.7009932682,1035512.2920596737,980038.4192707625,9201550.847986303,59741.09377267348,59741.09377267348,58318.68677808601,9733531.063962013,2655633.8588947947,2584513.509165422,7477593.570546296,162154.39738297084,58318.68677808601,1119434.304740334,5689.627978349856,1068227.6529351855,0.0,24180.918907986885,1026977.8500921488,24180.918907986885,183490.5023017828,5689.627978349856,11598306.633866176,4513297.393826022,8299744.813417855
sample142,25862.53291950114,21186116.739784066,25862.53291950114,0.0,43496.07809188828,165755.3246204391,28801.457114898993,25862.53291950114,29389.241953978566,45415783.37632215,4460111.358935787,25862.53291950114,25862.53291950114,44799197.08012768,39663720.94108946,11646956.586361704,45607989.01870117,40605940.03813403,242167.3537007833,1782163.6320892598,1734553.0601238147,4545927.945441404,29389.241953978566,29389.241953978566,29389.241953978566,3474983.9686384248,1815079.583077716,2301177.6449965215,2210658.7797782673,128724.87975842609,29389.241953978566,1855636.7369742063,3526.7090344774274,596013.8268266852,0.0,25274.748080421567,1741606.4781927695,25274.748080421567,190442.28786178108,4702.27871263657,8291880.724895513,4968545.244739616,6288122.208473252
sample143,128230.98120701777,114157631.01954755,119868.09112829922,0.0,181195.9517055686,6729338.883342194,108717.57102334114,119868.09112829922,193740.28682364643,162295820.1276647,46206361.499933116,119868.09112829922,129624.79622013752,156943570.47728485,146700423.94586766,58131842.75218575,162543919.20000002,151716764.17808568,19295975.041629937,22302434.024929255,20561559.07354268,28663805.744807832,135200.05627261655,135200.05627261655,129624.79622013752,39786449.549503505,16027478.8358641,26609322.4154693,6131392.242713815,18993517.183782946,135200.05627261655,22609073.3278156,0.0,585402.3055102986,0.0,104536.12598398187,20497443.582939167,98960.86593150283,327546.5280831432,26482.485249275414,47081677.32817232,14615544.22757379,42535052.75537566
sample144,199693.95685678985,70916603.34537219,199693.95685678985,0.0,250191.27928034592,28820199.106825896,220351.95239369915,199693.95685678985,220351.95239369915,133751339.77013797,49503443.304946974,199693.95685678985,199693.95685678985,132569243.35885924,107573068.75919904,72231829.06122208,133767407.1,117768937.22308242,5460596.820256358,7232593.770755688,5963274.711654484,35752104.27587769,204284.6225316586,204284.6225316586,220351.95239369915,39025248.90205908,54121652.97386492,8646518.798615258,16705432.390847318,5497322.145655308,220351.95239369915,7480489.717198599,4590.665674868732,80336.64931020282,0.0,213465.95388139604,6006886.035565738,199693.95685678985,222647.28523113352,4590.665674868732,23956388.82430248,12263963.35041182,18527926.663770203
sample145,97646.1420542331,92721746.09718773,89228.37118748887,0.0,127950.11717451233,7621449.7427502265,95962.58788088425,95962.58788088425,95962.58788088425,160600966.81243986,39957474.75026152,89228.37118748887,90911.92536083772,157865191.280748,126185752.40084276,36300795.08574782,160616118.8,146900202.94972694,3533780.209859229,5352018.717075983,4121340.6163579766,12771441.959024347,106063.91292097734,106063.91292097734,95962.58788088425,18439968.860689916,14672174.620735193,10195604.073800614,5173561.974701003,3498425.572218904,95962.58788088425,5584349.192998124,13468.433386790777,31987.529293628086,37038.191813674624,124583.00882781464,4244240.071012443,89228.37118748887,104380.35874762849,0.0,30878067.09339119,11182166.819383036,20534310.252335884
