ASV,Confidence,Kingdom,Phylum,Class,Order,Family,Genus,Species,LowestClassifiedTaxon_Species,LowestClassifiedTaxon_Genus,LowestClassifiedTaxon_Family,LowestClassifiedTaxon_Order,LowestClassifiedTaxon_Class,LowestClassifiedTaxon_Phylum
672ec931466c5cbb3d24a0bfe429081a,0.868217175,Bacteria,Firmicutes,Clostridia,Clostridia-UCG-014,uncultured-Firmicutes-bacterium,unclassified,unclassified,Clostridia-UCG-014,Clostridia-UCG-014,Clostridia-UCG-014,Clostridia-UCG-014,Clostridia,Firmicutes
f9a0f152d1e38da0a8c3af4946338341,0.997811528,Bacteria,Firmicutes,Clostridia,Clostridia-vadinBB60-group,uncultured-bacterium,unclassified,unclassified,Clostridia-vadinBB60-group,Clostridia-vadinBB60-group,Clostridia-vadinBB60-group,Clostridia-vadinBB60-group,Clostridia,Firmicutes
9f0bbcabda2399eea0e437030f464f63,0.998060421,Bacteria,Firmicutes,Clostridia,Clostridia-vadinBB60-group,uncultured-bacterium,unclassified,unclassified,Clostridia-vadinBB60-group,Clostridia-vadinBB60-group,Clostridia-vadinBB60-group,Clostridia-vadinBB60-group,Clostridia,Firmicutes
44958330e81e18a06d9a9108d5469c4d,0.998535323,Bacteria,Firmicutes,Clostridia,Clostridia-vadinBB60-group,uncultured-bacterium,unclassified,unclassified,Clostridia-vadinBB60-group,Clostridia-vadinBB60-group,Clostridia-vadinBB60-group,Clostridia-vadinBB60-group,Clostridia,Firmicutes
e900e85f23b48faf3b225dd67d2cde43,0.986061189,Bacteria,Firmicutes,Clostridia,Clostridia-vadinBB60-group,uncultured-bacterium,unclassified,unclassified,Clostridia-vadinBB60-group,Clostridia-vadinBB60-group,Clostridia-vadinBB60-group,Clostridia-vadinBB60-group,Clostridia,Firmicutes
b8828078dd5dfcdf0ff385815c1ec784,0.995868731,Bacteria,Firmicutes,Clostridia,Clostridia-vadinBB60-group,uncultured-bacterium,unclassified,unclassified,Clostridia-vadinBB60-group,Clostridia-vadinBB60-group,Clostridia-vadinBB60-group,Clostridia-vadinBB60-group,Clostridia,Firmicutes
146317be84a15a07d947d856ba563229,0.997935793,Bacteria,Firmicutes,Clostridia,Clostridia-vadinBB60-group,uncultured-bacterium,unclassified,unclassified,Clostridia-vadinBB60-group,Clostridia-vadinBB60-group,Clostridia-vadinBB60-group,Clostridia-vadinBB60-group,Clostridia,Firmicutes
25e34b35f0e060d81b0cd66c99869fc7,0.998206301,Bacteria,Firmicutes,Clostridia,Clostridia-vadinBB60-group,uncultured-bacterium,unclassified,unclassified,Clostridia-vadinBB60-group,Clostridia-vadinBB60-group,Clostridia-vadinBB60-group,Clostridia-vadinBB60-group,Clostridia,Firmicutes
db215c0d22d1fae5daf88a2556ce2859,0.999962792,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,uncultured,unclassified,unclassified,Rhodospirillales,Rhodospirillales,Rhodospirillales,Rhodospirillales,Alphaproteobacteria,Proteobacteria
d1362a359f614db69cd56e9aa59eeb16,0.85438591,Bacteria,Firmicutes,Bacilli,RF39,uncultured-bacterium,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
79c431ca0db6829d01fbc2e6ccbc574b,1,Bacteria,Firmicutes,Bacilli,RF39,unclassified,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
7cf60f221ecda5333ea84051a1053a45,1,Bacteria,Firmicutes,Bacilli,RF39,unclassified,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
aacb3f2c42a3e3461c9f95d000a9dca1,1,Bacteria,Firmicutes,Bacilli,RF39,unclassified,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
ff830ce6aef7a06ce6eb04375094b680,0.81785656,Bacteria,Firmicutes,Bacilli,RF39,uncultured-bacterium,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
bedef4a41b940e00188a4058148ca7e5,1,Bacteria,Firmicutes,Bacilli,RF39,unclassified,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
d81e5971134008e59c9a6753f80f12cd,0.985198887,Bacteria,Firmicutes,Bacilli,RF39,unidentified,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
6b8ebdcd4dd24372ec14244f0620f6fd,1,Bacteria,Firmicutes,Bacilli,RF39,unclassified,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
475b206b5a66ff74a0bf4ac3a0e6bc0b,1,Bacteria,Firmicutes,Bacilli,RF39,unclassified,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
bdffcb5ffe72a370d73229bf085fa8bc,1,Bacteria,Firmicutes,Bacilli,RF39,unclassified,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
441df2448d56279bf33e41269f6fe0a9,0.978243219,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum,uncultured-bacterium,Faecalibaculum,Faecalibaculum,Erysipelotrichaceae,Erysipelotrichales,Bacilli,Firmicutes
bffbb2a55c02224038048b95c78d4a2c,0.850011175,Bacteria,Firmicutes,Bacilli,RF39,uncultured-bacterium,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
2f357da94565b804097cc58bd6a37ca5,0.879929204,Bacteria,Firmicutes,Bacilli,RF39,uncultured-bacterium,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
6bab34bcd5eb17af05eb082443668b9e,1,Bacteria,Firmicutes,Bacilli,RF39,unclassified,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
191bbdb756cc1f864c6a1da8c899309b,1,Bacteria,Firmicutes,Bacilli,RF39,unclassified,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
0d61307f1b2b87cd118b04ae46ae8cdd,0.746094562,Bacteria,Firmicutes,Bacilli,RF39,uncultured-bacterium,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
23f19fcc46e7eb07f3c686218cc0dbad,0.999999992,Bacteria,Firmicutes,Bacilli,RF39,unclassified,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
5eb9f1ad3106e8f164b9942f518669d6,1,Bacteria,Firmicutes,Bacilli,RF39,unclassified,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
b66df03ecf7bf11658f9f499563202fa,0.776063962,Bacteria,Firmicutes,Bacilli,RF39,uncultured-bacterium,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
ba3966d9e94859c10389c1100e5419f9,0.93073303,Bacteria,Firmicutes,Bacilli,RF39,uncultured-Lachnospiraceae-bacterium,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
278b8447eab2a6739366942c5b271800,0.97526799,Bacteria,Firmicutes,Bacilli,RF39,uncultured-bacterium,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
c6363baa6ff42c97639b2bdf922a7a76,0.796252631,Bacteria,Firmicutes,Bacilli,RF39,uncultured-Lachnospiraceae-bacterium,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
854ae2dd42daf9dd0a6ef6f076824972,0.799656464,Bacteria,Firmicutes,Bacilli,RF39,uncultured-bacterium,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
280cee65d2c6f4f04cb4c12450e0ce84,0.944206464,Bacteria,Firmicutes,Bacilli,RF39,uncultured-bacterium,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
476dec6d350d69020cb8577c98a95819,1,Bacteria,Firmicutes,Bacilli,RF39,unclassified,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
797a59c38b4394607ca51cc017bd2327,1,Bacteria,Firmicutes,Bacilli,RF39,unclassified,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
f269ad93e5b41f477b9824edcc7c8594,0.999999999,Bacteria,Firmicutes,Bacilli,RF39,unclassified,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
e35bcd1f710475dba3c6f07cbdf3d4b3,1,Bacteria,Firmicutes,Bacilli,RF39,unclassified,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
6236784e04d77dfc6479d23595fc9f2e,1,Bacteria,Firmicutes,Bacilli,RF39,unclassified,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
933afe82f053ea41749b072c814b958f,1,Bacteria,Firmicutes,Bacilli,RF39,unclassified,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
de8d2095ae79384c1c8d7a02a1dcc40e,0.978165539,Bacteria,Firmicutes,Bacilli,RF39,unidentified,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
5c7c13ff8b9de45033b987ef35d75fa9,0.958577423,Bacteria,Firmicutes,Bacilli,RF39,unidentified,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
f64256b1969b2f5459213b19bef94eaa,0.924475027,Bacteria,Firmicutes,Bacilli,RF39,gut-metagenome,unclassified,unclassified,gut-metagenome,gut-metagenome,gut-metagenome,RF39,Bacilli,Firmicutes
462023679067b28c643bf24ed334b93c,0.991965041,Bacteria,Firmicutes,Bacilli,RF39,uncultured-bacterium,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
e07101c8bb2bc4e8c2ed230b56938cf5,0.995128832,Bacteria,Firmicutes,Bacilli,RF39,uncultured-bacterium,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
5ce73899d131c9811fecfa5641809558,1,Bacteria,Firmicutes,Bacilli,RF39,unclassified,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
3491bffd5d4034405d25dad9030ff0f4,0.808654131,Bacteria,Firmicutes,Bacilli,RF39,unidentified,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
3a5ffda3eac8979d162ce0b7e826e642,0.863979719,Bacteria,Firmicutes,Bacilli,RF39,unidentified,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
003d482321961798e76392e737edc3b9,0.777933822,Bacteria,Firmicutes,Bacilli,RF39,metagenome,unclassified,unclassified,metagenome,metagenome,metagenome,RF39,Bacilli,Firmicutes
e14f273520892f7a686470b0a1eead9a,0.824826643,Bacteria,Firmicutes,Bacilli,RF39,metagenome,unclassified,unclassified,metagenome,metagenome,metagenome,RF39,Bacilli,Firmicutes
d1d315a27e28cf60ddc714aec90c0886,0.892868234,Bacteria,Firmicutes,Bacilli,RF39,metagenome,unclassified,unclassified,metagenome,metagenome,metagenome,RF39,Bacilli,Firmicutes
a0dae30006376b1a0926572872f0d409,0.751719789,Bacteria,Firmicutes,Bacilli,RF39,metagenome,unclassified,unclassified,metagenome,metagenome,metagenome,RF39,Bacilli,Firmicutes
0bdcb5ac2d446ab8763b5e771ce6662a,0.701908633,Bacteria,Firmicutes,Bacilli,RF39,metagenome,unclassified,unclassified,metagenome,metagenome,metagenome,RF39,Bacilli,Firmicutes
8d4c29fbb331474bc5deb8fc22a1b7fd,1,Bacteria,Firmicutes,Bacilli,RF39,unclassified,unclassified,unclassified,RF39,RF39,RF39,RF39,Bacilli,Firmicutes
e5d28b25de9a64d972750a074d08b518,0.91403432,Bacteria,Firmicutes,Clostridia,Oscillospirales,[Clostridium]-methylpentosum-group,uncultured-organism,unclassified,[Clostridium]-methylpentosum-group,[Clostridium]-methylpentosum-group,[Clostridium]-methylpentosum-group,Oscillospirales,Clostridia,Firmicutes
f9dc9ccd6ae2665f7e382538e5cc925b,0.898208197,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,uncultured,bacterium,Ruminococcaceae,Ruminococcaceae,Ruminococcaceae,Oscillospirales,Clostridia,Firmicutes
13c17eae11d52b1469b5f13b596d42e7,0.942157102,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,uncultured,bacterium,Ruminococcaceae,Ruminococcaceae,Ruminococcaceae,Oscillospirales,Clostridia,Firmicutes
e7f9434212ef9be4f431db7719c0b612,0.9910592,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,uncultured,bacterium,Ruminococcaceae,Ruminococcaceae,Ruminococcaceae,Oscillospirales,Clostridia,Firmicutes
b03456997a104b7ddb967c31adbbe9c6,0.988230301,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,uncultured,bacterium,Ruminococcaceae,Ruminococcaceae,Ruminococcaceae,Oscillospirales,Clostridia,Firmicutes
c24e538d235bfcf594f8dc3deb566780,0.985397667,Bacteria,Firmicutes,Clostridia,Oscillospirales,[Eubacterium]-coprostanoligenes-group,unclassified,unclassified,[Eubacterium]-coprostanoligenes-group,[Eubacterium]-coprostanoligenes-group,[Eubacterium]-coprostanoligenes-group,Oscillospirales,Clostridia,Firmicutes
0947305bdcca9a4fa263aafaa07006a8,0.905448261,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae-NK4A136-group,uncultured-bacterium,Lachnospiraceae-NK4A136-group,Lachnospiraceae-NK4A136-group,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes
2de0efc201ab455a81a041f340553d24,0.993105649,Bacteria,Firmicutes,Clostridia,Clostridia-vadinBB60-group,uncultured-bacterium,unclassified,unclassified,Clostridia-vadinBB60-group,Clostridia-vadinBB60-group,Clostridia-vadinBB60-group,Clostridia-vadinBB60-group,Clostridia,Firmicutes
453e5e5330ab2209502ec267912029ef,0.906382182,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,unclassified,Blautia,Blautia,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes
38a4fdb4545203eb814cc96580ad791c,0.999999102,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,unclassified,unclassified,Lachnospiraceae,Lachnospiraceae,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes
8a07b4d41a2c21aebd1182570cfd74ca,0.999999393,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,unclassified,unclassified,Lachnospiraceae,Lachnospiraceae,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes
2af1156faac391c31ae7bea30ffc3b48,0.81979925,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae-NK4A136-group,uncultured-bacterium,Lachnospiraceae-NK4A136-group,Lachnospiraceae-NK4A136-group,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes
c7c232f5cb1a83ce9a9ec7f32cce7fa9,0.999995976,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,unclassified,unclassified,Lachnospiraceae,Lachnospiraceae,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes
161898570d4ec0df71386146231fb290,0.84457632,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae-NK4A136-group,uncultured-bacterium,Lachnospiraceae-NK4A136-group,Lachnospiraceae-NK4A136-group,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes
210bca9ea85d37b59da666300e463391,0.809958342,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae-NK4A136-group,uncultured-bacterium,Lachnospiraceae-NK4A136-group,Lachnospiraceae-NK4A136-group,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes
f8ffd5aa4e18474232dae3f752d85037,0.999995923,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,unclassified,unclassified,Lachnospiraceae,Lachnospiraceae,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes
b62296fda4210afbee8b33ffff02a04b,0.896616245,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae-NK4A136-group,uncultured-bacterium,Lachnospiraceae-NK4A136-group,Lachnospiraceae-NK4A136-group,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes
bc44b9e3a059cf3b21b931947066ad68,0.762828563,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae-NK4A136-group,uncultured-bacterium,Lachnospiraceae-NK4A136-group,Lachnospiraceae-NK4A136-group,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes
8b80c6b927bb573a1f8c7ac777dafc78,0.857631761,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae-NK4A136-group,uncultured-bacterium,Lachnospiraceae-NK4A136-group,Lachnospiraceae-NK4A136-group,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes
d6d8d172c9d0b2f4ea06b8345039402f,0.999989839,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,unclassified,unclassified,Lachnospiraceae,Lachnospiraceae,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes
c02a2da6ab49c3732832cb7d41750122,0.999999844,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,unclassified,Helicobacter,Helicobacter,Helicobacteraceae,Campylobacterales,Campylobacteria,Campilobacterota
3c118102f97c7b184f46f5a5328dafb1,0.996939338,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae-NK4A136-group,Clostridiales-bacterium-CIEAF-020,Clostridiales-bacterium-CIEAF-020,Lachnospiraceae-NK4A136-group,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes
cd0ed38534b9e1823ee9d5334a9b3c19,0.992120722,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae-NK4A136-group,Clostridiales-bacterium-CIEAF-020,Clostridiales-bacterium-CIEAF-020,Lachnospiraceae-NK4A136-group,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes
85cc25fcee41e384f68386522e03248a,0.993988428,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae-NK4A136-group,unclassified,Lachnospiraceae-NK4A136-group,Lachnospiraceae-NK4A136-group,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes
63cfce4718687765f66384242fab2426,0.998362545,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae-NK4A136-group,unclassified,Lachnospiraceae-NK4A136-group,Lachnospiraceae-NK4A136-group,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes
1499e5ab221fb759ce2d3763ac56b759,0.98215117,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae-NK4A136-group,Clostridiales-bacterium-CIEAF-020,Clostridiales-bacterium-CIEAF-020,Lachnospiraceae-NK4A136-group,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes
fe56691a8caa54a5b4a2d74406764868,0.993240294,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae-NK4A136-group,Clostridiales-bacterium-CIEAF-020,Clostridiales-bacterium-CIEAF-020,Lachnospiraceae-NK4A136-group,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes
e5d3cf105a169bc2afe60f0258aad8ea,0.894085278,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae-NK4A136-group,Clostridiales-bacterium-CIEAF-020,Clostridiales-bacterium-CIEAF-020,Lachnospiraceae-NK4A136-group,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes
