sample-id	My_sample_ID	TRUEorBLANK	Sample_location	Subject	Cage	Vendor	Day	Group	Method	Batch	Tester	DNA_concentration	sample_DNA_concentration	16S_Copies_mg	Acetate_BJ	Propionate_BJ	Iso-butyrate_BJ	Butyrate_BJ	Iso-valerate_BJ	Valerate_BJ	Total_scfa_BJ	SCFA_Missing	Treat_Day0	Group_trans
sample1	1	True sample	Stool	SC1	Cage1	Shanghai	0	Cellulose	mBio	10	Liu	50.6	90.82051282	62827903.9	4.39951647	1.076939448	0.106446959	0.512477753	0.101657465	0.107951924	6.304990019	No	No	Cellulose
sample2	2	True sample	Stool	SC2	Cage1	Shanghai	0	Cellulose	mBio	10	Liu	66.3	91	87832072.48	5.60243034	1.296641954	0.156603349	1.245996739	0.139555897	0.239148092	8.680376369	No	No	Cellulose
sample3	3	True sample	Stool	SC3	Cage1	Shanghai	0	Cellulose	mBio	10	Liu	51.3	94.5	75602987.57	9.597360306	2.165910962	0.37568219	2.974905585	0.303334717	0.504106179	15.92129994	No	No	Cellulose
sample4	4	True sample	Stool	SC4	Cage1	Shanghai	0	Cellulose	mBio	10	Liu	97.9	195.8	181784883.9	3.767728437	1.246480779	0.249018491	1.002005681	0.216935783	0.271251881	6.753421051	No	No	Cellulose
sample5	5	True sample	Stool	SC5	Cage1	Shanghai	0	Cellulose	mBio	10	Liu	92.3	153.8333333	138514560.5	2.748731818	1.205416254	0.135581507	0.600512032	0.112802354	0.127893342	4.930937307	No	No	Cellulose
sample6	6	True sample	Stool	SR1	Cage2	Shanghai	0	Resistant starch	mBio	10	Liu	39.1	72.02631579	67663731.05	5.233730751	1.52498945	0.257233777	0.859212726	0.236654608	0.274658318	8.38647963	No	Yes	Cellulose
sample7	7	True sample	Stool	SR2	Cage2	Shanghai	0	Resistant starch	mBio	10	Liu	83.5	119.2857143	124796341.5	4.300590629	1.453169133	0.150644419	0.939640815	0.132005804	0.255006258	7.231057058	No	Yes	Cellulose
sample8	8	True sample	Stool	SR3	Cage2	Shanghai	0	Resistant starch	mBio	10	Liu	45	59.43396226	60508755.44	6.361185496	1.484173863	0.254379185	1.893673187	0.202781929	0.364433335	10.560627	No	Yes	Cellulose
sample9	9	True sample	Stool	SR4	Cage2	Shanghai	0	Resistant starch	mBio	10	Liu	50.5	107.1212121	97753011.24	6.54389096	1.863629646	0.290258203	0.808969095	0.247829641	0.277486229	10.03206377	No	Yes	Cellulose
sample10	10	True sample	Stool	SR5	Cage2	Shanghai	0	Resistant starch	mBio	10	Liu	81.2	129.1818182	109138115.9	11.9158883	1.413701404	0.146298178	1.783506366	0.078618492	0.141096284	15.47910903	No	Yes	Cellulose
sample11	11	True sample	Stool	SC1	Cage1	Shanghai	1	Cellulose	mBio	10	Liu	37.4	56.91304348	61213519.34	3.334032292	1.022602688	0.116129416	0.695120063	0.096846912	0.203373968	5.468105339	No	No	Cellulose
sample12	12	True sample	Stool	SC2	Cage1	Shanghai	1	Cellulose	mBio	10	Liu	30.4	62.58823529	60196576.71	3.448878644	0.683207493	0.065897105	0.503917278	0.060060298	0.125478824	4.88743964	No	No	Cellulose
sample13	13	True sample	Stool	SC3	Cage1	Shanghai	1	Cellulose	mBio	10	Liu	33.7	62.07894737	55915807.45	7.515467177	1.641818002	0.259361429	2.101126481	0.165886732	0.219110543	11.90277036	No	No	Cellulose
sample14	14	True sample	Stool	SC4	Cage1	Shanghai	1	Cellulose	mBio	10	Liu	53	77.29166667	83471632.27	6.280825776	1.590755312	0.246685532	2.139524679	0.199064801	0.36821634	10.82507244	No	No	Cellulose
sample15	15	True sample	Stool	SC5	Cage1	Shanghai	1	Cellulose	mBio	10	Liu	24.6	52.18181818	54218633.13	4.84797822	1.10708059	0.152063229	0.92056757	0.12871235	0.227246426	7.383648386	No	No	Cellulose
sample16	16	True sample	Stool	SR1	Cage2	Shanghai	1	Resistant starch	mBio	10	Liu	42.9	77	72011157.37	2.776962029	1.158223251	0.179586072	3.090047255	0.113862264	0.279921557	7.598602429	No	No	Resistant starch
sample17	17	True sample	Stool	SR2	Cage2	Shanghai	1	Resistant starch	mBio	10	Liu	70.9	130.6052632	123807614.3	4.2221545	1.160373267	0.150442365	2.769065818	0.105657664	0.308022906	8.715716519	No	No	Resistant starch
sample18	18	True sample	Stool	SR3	Cage2	Shanghai	1	Resistant starch	mBio	11	Liu	59	103.25	107841609.1	5.480970482	1.523209436	0.188459846	4.015196388	0.12418786	0.453818844	11.78584286	No	No	Resistant starch
sample19	19	True sample	Stool	SR4	Cage2	Shanghai	1	Resistant starch	mBio	11	Liu	56.1	115.5	106348391.8	6.694003355	2.294935843	0.308944561	3.650947661	0.206306425	0.483750586	13.63888843	No	No	Resistant starch
sample20	20	True sample	Stool	SR5	Cage2	Shanghai	1	Resistant starch	mBio	11	Liu	29.2	60.11764706	48193727.33	8.567149169	2.813580481	0.380114287	4.848191606	0.195726012	0.413095702	17.21785726	No	No	Resistant starch
sample21	21	True sample	Stool	SC1	Cage1	Shanghai	3	Cellulose	mBio	11	Liu	56.1	106.1351351	100173473.1	2.78918609	0.736371878	0.074576914	0.989160704	0.066009567	0.187180242	4.842485395	No	No	Cellulose
sample22	22	True sample	Stool	SC2	Cage1	Shanghai	3	Cellulose	mBio	11	Liu	73.6	132.1025641	105662529.4	3.605874615	0.664217604	0.073717648	1.333121931	0.067413921	0.208200624	5.952546342	No	No	Cellulose
sample23	23	True sample	Stool	SC3	Cage1	Shanghai	3	Cellulose	mBio	11	Liu	80	169.6969697	140416446.4	2.646565437	0.805951126	0.118462269	1.457256376	0.09528187	0.21541985	5.338936928	No	No	Cellulose
sample24	24	True sample	Stool	SC4	Cage1	Shanghai	3	Cellulose	mBio	11	Liu	103.3	144.62	122233482.3	5.40833828	1.25336191	0.192150095	2.783369299	0.128814874	0.350493411	10.11652787	No	No	Cellulose
sample25	25	True sample	Stool	SC5	Cage1	Shanghai	3	Cellulose	mBio	11	Liu	50.4	76.69565217	62279666.38	2.88694753	1.212714919	0.174750328	1.428617046	0.145795429	0.290229014	6.139054267	No	No	Cellulose
sample26	26	True sample	Stool	SR1	Cage2	Shanghai	3	Resistant starch	mBio	11	Liu	43	94.0625	90908585.28	7.680219406	1.879431447	0.141200836	3.237758981	0.090194946	0.327130641	13.35593626	No	No	Resistant starch
